,baseline,,,masterplan,,equal?,equal?
,B9011701,B3169989,,B9011701,B3169989,,
Es,0.9,0.9,Es,0.9,0.9,TRUE,TRUE
Hs,0.9,0.9,Hs,0.9,0.9,TRUE,TRUE
U_base,0.9,0.28,U_base,0.9,0.28,TRUE,TRUE
U_roof,0.45,0.2,U_roof,0.45,0.2,TRUE,TRUE
U_wall,1.2,0.2,U_wall,1.2,0.2,TRUE,TRUE
U_win,2.9,1.3,U_win,2.9,1.3,TRUE,TRUE
th_mass,T2,T2,th_mass,T2,T2,TRUE,TRUE
Blength,129.4584756,150.631773,Blength,129.4584756,150.631773,TRUE,TRUE
Bwidth,65.26252561,116.8387663,Bwidth,65.26252561,116.8387663,TRUE,TRUE
floors_ag,2,6,floors_ag,2,6,TRUE,TRUE
floors_bg,3,6,floors_bg,3,6,TRUE,TRUE
height_ag,6,18,height_ag,6,18,TRUE,TRUE
height_bg,9,18,height_bg,9,18,TRUE,TRUE
footprint,6069.605208,12205.21363,footprint,6069.605208,12205.21363,TRUE,TRUE
perimeter,458.2967706,684.5921001,perimeter,458.2967706,684.5921001,TRUE,TRUE
Occ_m2p,5,14,Occ_m2p,5,14,TRUE,TRUE
f_cros,1,0,f_cros,1,0,TRUE,TRUE
n50,6,2,n50,6,2,TRUE,TRUE
type_shade,T1,T1,type_shade,T1,T1,TRUE,TRUE
win_op,0.5,0.5,win_op,0.5,0.5,TRUE,TRUE
win_wall,0.2,0.31,win_wall,0.2,0.31,TRUE,TRUE
GYM,1,0,GYM,1,0,TRUE,TRUE
HOSPITAL,0,0,HOSPITAL,0,0,TRUE,TRUE
HOTEL,0,0,HOTEL,0,0,TRUE,TRUE
INDUSTRIAL,0,0,INDUSTRIAL,0,0,TRUE,TRUE
MULTI_RES,0,0,MULTI_RES,0,0,TRUE,TRUE
OFFICE,0,1,OFFICE,0,1,TRUE,TRUE
PARKING,0,0,PARKING,0,0,TRUE,TRUE
PFloor,1,1,PFloor,1,1,TRUE,TRUE
RETAIL,0,0,RETAIL,0,0,TRUE,TRUE
type_hs,T3,T1,type_hs,T3,T1,TRUE,TRUE
type_cs,T3,T3,type_cs,T3,T3,TRUE,TRUE
type_dhw,T1,T1,type_dhw,T1,T1,TRUE,TRUE
type_ctrl,T1,T1,type_ctrl,T1,T1,TRUE,TRUE
Tshs0_C,40,90,Tshs0_C,40,90,TRUE,TRUE
dThs0_C,20,20,dThs0_C,20,20,TRUE,TRUE
Qhsmax_Wm2,500,500,Qhsmax_Wm2,500,500,TRUE,TRUE
Tscs0_C,7,7,Tscs0_C,7,7,TRUE,TRUE
dTcs0_C,8,8,dTcs0_C,8,8,TRUE,TRUE
Qcsmax_Wm2,500,500,Qcsmax_Wm2,500,500,TRUE,TRUE
Tsww0_C,60,60,Tsww0_C,60,60,TRUE,TRUE
dTww0_C,50,50,dTww0_C,50,50,TRUE,TRUE
Qwwmax_Wm2,500,500,Qwwmax_Wm2,500,500,TRUE,TRUE
Awall_all,2406.578484,10701.13012,Awall_all,38496.92873,554519.6011,FALSE,FALSE
Atot,42948.88066,181691.5651,Atot,79039.23091,725510.0361,FALSE,FALSE
Aw,481.3156968,3317.350336,Aw,7699.385746,171901.0763,FALSE,FALSE
Am,68283.05859,329540.7681,Am,68283.05859,329540.7681,TRUE,TRUE
Aef,27313.22343,131816.3072,Aef,27313.22343,131816.3072,TRUE,TRUE
Af,27313.22343,131816.3072,Af,27313.22343,131816.3072,TRUE,TRUE
Cm,4506681867,21749690694,Cm,4506681867,21749690694,TRUE,TRUE
Htr_is,148173.6383,626835.8998,Htr_is,272685.3466,2503009.625,FALSE,FALSE
Htr_em,11679.51203,8750.72227,Htr_em,49806.80828,86179.64301,FALSE,FALSE
Htr_ms,621375.8331,2998820.99,Htr_ms,621375.8331,2998820.99,TRUE,TRUE
Htr_op,11464.03166,8725.261484,Htr_op,46110.7679,83772.21048,FALSE,FALSE
Hg,6422.39397,4807.462801,Hg,6422.39397,4807.462801,TRUE,TRUE
HD,5041.637688,3917.798682,HD,39688.37393,78964.74768,FALSE,FALSE
Aroof,6069.605208,12205.21363,Aroof,6069.605208,12205.21363,TRUE,TRUE
Htr_w,1395.815521,4312.555436,Htr_w,22328.21866,223471.3992,FALSE,FALSE
GFA_m2,30348.02604,146462.5636,GFA_m2,30348.02604,146462.5636,TRUE,TRUE
Tcs_set_C,22,24,Shape_Area,6069.605208,12205.21363,FALSE,FALSE
Tcs_setb_C,28,28,Shape_Leng,458.2967706,684.5921001,FALSE,FALSE
Ths_set_C,18,22,Tcs_set_C,22,24,FALSE,FALSE
Ths_setb_C,12,12,Tcs_setb_C,28,28,FALSE,FALSE
Ve_lps,10,10,Ths_set_C,18,22,FALSE,FALSE
Ea_Wm2,2,7,Ths_setb_C,12,12,FALSE,FALSE
Ed_Wm2,0,0,Ve_lps,10,10,FALSE,FALSE
El_Wm2,9.9,15.9,Ea_Wm2,2,7,FALSE,FALSE
Epro_Wm2,0,0,Ed_Wm2,0,0,TRUE,TRUE
Ere_Wm2,0,0,El_Wm2,9.9,15.9,FALSE,FALSE
Qs_Wp,110,70,Epro_Wm2,0,0,FALSE,FALSE
Vw_lpd,80,20,Ere_Wm2,0,0,FALSE,FALSE
Vww_lpd,40,10,Qs_Wp,110,70,FALSE,FALSE
X_ghp,255,80,Shape_Area,6069.605208,12205.21363,FALSE,FALSE
HVAC,0,1969,Shape_Leng,458.2967706,684.5921001,FALSE,FALSE
basement,0,1969,Vw_lpd,80,20,FALSE,FALSE
built,1977,1863,Vww_lpd,40,10,FALSE,FALSE
envelope,0,1969,X_ghp,255,80,FALSE,FALSE
partitions,0,1969,HVAC,0,1969,TRUE,TRUE
roof,0,1969,Shape_Area,6069.605208,12205.21363,FALSE,FALSE
windows,0,1969,Shape_Leng,458.2967706,684.5921001,FALSE,FALSE
,,,basement,0,1969,TRUE,FALSE
,,,built,1977,1863,FALSE,FALSE
,,,envelope,0,1969,TRUE,FALSE
,,,partitions,0,1969,TRUE,FALSE
,,,roof,0,1969,TRUE,FALSE
,,,windows,0,1969,TRUE,FALSE
,,,,,,TRUE,TRUE
,,,,,,TRUE,TRUE
,,,,,,TRUE,TRUE
,,,,,,TRUE,TRUE
