name,NameGerman,IdKbob,IdDisposal,Disposal,Density,DensityUnit,UBPEmbodied,UBPEoL,TotalEmbodied,TotalEoL,RenewableEmbodied,RenewableEoL,NonRenewableEmbodied,NonRenewableEoL,GHGEmbodied,GHGEoL,ThermalCond
"Excavation site security, Retaining wall, sprouted","Baugrubensicherung, Bohrpfahlwand, gespriesst",0.001,91.074,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, gespriesst",NULL,m2,877000,130000,2120,268,101,9.57,2020,258,778,50.2,NULL
"Excavation site security, pile wall, floating","Baugrubensicherung, Bohrpfahlwand, unverankert",0.002,91.075,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, unverankert",NULL,m2,822000,130000,1910,268,84.8,9.57,1830,258,738,50.2,NULL
"Excavation site security, pile wall anchored","Baugrubensicherung, Bohrpfahlwand, verankert",0.003,91.076,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, verankert",NULL,m2,692000,86200,1410,177,76.4,6.32,1340,170,478,33.1,NULL
"Excavation site security, nail wall","Baugrubensicherung, Nagelwand",0.004,91.077,"Entsorgung, Baugrubensicherung, Nagelwand",NULL,m2,152000,18900,303,38.8,16.6,1.39,286,37.5,109,7.28,NULL
"Excavation site security, Retaining wall cantilever","Baugrubensicherung, Ruehlwand, auskragend",0.005,91.078,"Entsorgung, Baugrubensicherung, Ruehlwand, auskragend",NULL,m2,302000,30100,980,61.7,106,2.2,874,59.5,254,11.6,NULL
"Excavation site security, Retaining wall sprouted","Baugrubensicherung, Ruehlwand, gespriesst",0.006,91.079,"Entsorgung, Baugrubensicherung, Ruehlwand, gespriesst",NULL,m2,222000,17800,687,36.5,45.4,1.31,642,35.2,177,6.84,NULL
"Excavation site security, Retaining wall anchored","Baugrubensicherung, Ruehlwand, verankert",0.007,91.08,"Entsorgung, Baugrubensicherung, Ruehlwand, verankert",NULL,m2,238000,20600,683,42.2,42.4,1.51,640,40.7,184,7.9,NULL
"Excavation site security, diaphragm wall, 400 mm","Baugrubensicherung, Schlitzwand, 400 mm",0.008,91.081,"Entsorgung, Baugrubensicherung, Schlitzwand, 400mm",NULL,m2,583000,65500,1190,135,68.6,4.76,1120,130,382,25.2,NULL
"Excavation site security, diaphragm wall, 800 mm","Baugrubensicherung, Schlitzwand, 800 mm",0.009,91.082,"Entsorgung, Baugrubensicherung, Schlitzwand, 800mm",NULL,m2,1100000,129000,2140,265,126,9.43,2010,256,728,49.6,NULL
"Excavation site security, piling cantilever","Baugrubensicherung, Spundwand, auskragend",0.01,91.083,"Entsorgung, Baugrubensicherung, Spundwand, auskragend",NULL,m2,228000,0,793,0,46.2,0,747,0,163,0,NULL
"Excavation site security, piling sprouted","Baugrubensicherung, Spundwand, gespriesst",0.011,91.084,"Entsorgung, Baugrubensicherung, Spundwand, gespriesst",NULL,m2,129000,0,446,0,25.3,0,421,0,92.3,0,NULL
"Excavation site security, piling anchored","Baugrubensicherung, Spundwand, verankert",0.012,91.085,"Entsorgung, Baugrubensicherung, Spundwand, verankert",NULL,m2,255000,0,868,0,55.3,0,813,0,181,0,NULL
"Deep foundation, Mikrobohrpfahl","Tiefgruendung, Mikrobohrpfahl",0.013,91.086,"Entsorgung, Tiefgruendung, Mikrobohrpfahl",NULL,m,48600,0,124,0,7.74,0,116,0,30.6,0,NULL
"Deep foundation, Cast-in-situ bored pole, 700 mm","Tiefgruendung, Ortbetonbohrpfahl, 700 mm",0.014,91.087,"Entsorgung, Tiefgruendung, Ortbetonbohrpfahl, 700mm",NULL,m,229000,0,427,0,22.4,0,404,0,159,0,NULL
"Deep foundation, Cast-in-situ bored pole, 900 mm","Tiefgruendung, Ortbetonbohrpfahl, 900 mm",0.015,91.088,"Entsorgung, Tiefgruendung, Ortbetonbohrpfahl, 900mm",NULL,m,331000,0,601,0,35,0,566,0,239,0,NULL
"Deep foundation, Cast-in-situ bored pole, 1200 mm","Tiefgruendung, Ortbetonbohrpfahl, 1200 mm",0.016,91.089,"Entsorgung, Tiefgruendung, Ortbetonbohrpfahl, 1200mm",NULL,m,506000,0,907,0,55.6,0,851,0,372,0,NULL
"Deep foundation, Cast-in-situ displacement pole 560/480 mm","Tiefgruendung, Ortbetonverdraengungspfahl 560/480 mm",0.017,91.09,"Entsorgung, Tiefgruendung, Ortbetonverdraengungspfahl 560/480mm",NULL,m,122000,0,236,0,9.87,0,226,0,72.2,0,NULL
"Deep foundation, Cast-in-situ displacement pole 660/580 mm","Tiefgruendung, Ortbetonverdraengungspfahl 660/580 mm",0.018,91.091,"Entsorgung, Tiefgruendung, Ortbetonverdraengungspfahl 660/580mm",NULL,m,152000,0,286,0,13.2,0,273,0,91.3,0,NULL
"Deep foundation, Vibrated stone columns","Tiefgruendung, Ruettelstopfsaeule",0.019,91.092,"Entsorgung, Tiefgruendung, Ruettelstopfsaeule",NULL,m,29900,0,32,0,1.1,0,30.9,0,6.45,0,NULL
"Deep foundation, prefabricated concrete pile","Tiefgruendung, Vorgefertigter Betonpfahl",0.02,91.093,"Entsorgung, Tiefgruendung, Vorgefertigter Betonpfahl",NULL,m,38800,0,70.3,0,4.22,0,66.1,0,28.6,0,NULL
"Water retention, pumping height 2.5 m","Wasserhaltung, Pumphoehe 2.5 m",0.021,91.094,"Entsorgung, Wasserhaltung, Pumphoehe 2.5m",NULL,m3,14.4,0,0.12,0,0.02,0,0.1,0,0,0,NULL
"Water retention, pumping height 5 m","Wasserhaltung, Pumphoehe 5 m",0.022,91.095,"Entsorgung, Wasserhaltung, Pumphoehe 5m",NULL,m3,16.8,0,0.14,0,0.02,0,0.12,0,0.01,0,NULL
"Water retention, pumping height 7.5 m","Wasserhaltung, Pumphoehe 7.5 m",0.023,91.096,"Entsorgung, Wasserhaltung, Pumphoehe 7.5m",NULL,m3,19.6,0,0.17,0,0.03,0,0.14,0,0.01,0,NULL
"Water retention, pumping height 10 m","Wasserhaltung, Pumphoehe 10 m",0.024,91.097,"Entsorgung, Wasserhaltung, Pumphoehe 10m",NULL,m3,22.5,0,0.19,0,0.03,0,0.16,0,0.01,0,NULL
Lean concrete (without reinforcement),Magerbeton (ohne Bewehrung),1.001,91.061,"Entsorgungsmix, Beton unbewehrt",2150,kg,40.2,24.9,0.1,0.05,0.01,0,0.09,0.05,0.05,0.01,0.8
Building construction concrete (without reinforcement),Hochbaubeton (ohne Bewehrung),1.002,91.06,"Entsorgungsmix, Beton bewehrt",2300,kg,67.3,27,0.16,0.06,0.01,0,0.15,0.05,0.09,0.01,1.8
Civil engineering concrete (without reinforcement),Tiefbaubeton (ohne Bewehrung),1.003,91.06,"Entsorgungsmix, Beton bewehrt",2350,kg,72.9,27,0.18,0.06,0.01,0,0.16,0.05,0.1,0.01,1.8
Bored pile concrete (without reinforcement),Bohrpfahlbeton (ohne Bewehrung),1.004,91.06,"Entsorgungsmix, Beton bewehrt",2325,kg,79,26.9,0.188,0.055,0.014,0.002,0.175,0.053,0.107,0.01,NULL
"Precast concrete, high-strength concrete, ex works","Betonfertigteil, hochfester Beton, ab Werk",1.041,91.06,"Entsorgungsmix, Beton bewehrt",2770,kg,454,23.8,0.777,0.049,0.056,0.002,0.721,0.047,0.255,0.009,NULL
"Precast concrete, normal concrete, ex works","Betonfertigteil, Normalbeton, ab Werk",1.042,91.06,"Entsorgungsmix, Beton bewehrt",2500,kg,218,26.1,0.53,0.05,0.09,0,0.43,0.05,0.16,0.01,0.8
Hemp concrete,Hanfbeton,1.043,91.073,"Entsorgungsmix, Hanfbeton",600,kg,370,0.743,1.86,0.003,0.882,0,0.982,0.003,0.288,0,NULL
"Hemp concrete, ARBIO","Hanfbeton, ARBIO",01.043.01,91.073,"Entsorgungsmix, Hanfbeton",600,kg,356,0.743,1.79,0.003,0.848,0,0.944,0.003,0.277,0,NULL
Brick,Backstein,2.001,91.059,"Entsorgungsmix, Backstein",900,kg,191,25.8,0.82,0.05,0.08,0,0.74,0.05,0.25,0.01,0.6
Sand-lime brick,Kalksandstein,2.002,91.065,"Entsorgungsmix, Kalksandstein",1400,kg,132,25.1,0.39,0.05,0.04,0,0.35,0.05,0.13,0.01,1
"Sand-lime brick, FBB","Kalksandstein, FBB",02.002.01,91.065,"Entsorgungsmix, Kalksandstein",1400,kg,97.4,25.1,0.3,0.05,0.033,0.002,0.267,0.048,0.1,0.009,NULL
Light earth brick,Leichtlehmstein,2.003,91.059,"Entsorgungsmix, Backstein",700,kg,212,25.8,1.5,0.052,0.791,0.002,0.712,0.051,0.161,0.009,NULL
