Name,Af_m2,Aroof_m2,GFA_m2,NFA_m2people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B001,113355.561,2499.020,134947.097,,0.000,19063.061,41446.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6027.306,20738.922,0.000,0.000,0.000,-871.686,0.000,11558.579,0.000,0.000,0.000,0.000,0.000,0.000,6864.999,0.000,2295.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2622.517,0.000,0.000,-21690.306,0.000,0.000,0.000,0.000,-40572.226,0.000,0.000,0.000,0.000,9180.343,0.000,0.000,0.000,0.000,12948.390,-16440.545,61.045,0.000,0.000,-2.802,0.000,0.000,0.000,-5044.027,2356.495,0.000,111.297,0.000,-21509.164,0.000,0.000,0.000,0.000,0.000,0.000,41446.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-16465.137,0.000,0.000,0.000,0.000,0.000,0.000,3670.811,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11447.282,0.000,0.000,0.000,0.000,12948.390,-19756.407,0.000
B002,23416.725,4646.175,27877.053,,0.000,3937.782,8460.624,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1213.378,4240.848,0.000,0.000,0.000,-175.652,0.000,2366.059,0.000,0.000,0.000,0.000,0.000,0.000,1417.980,0.000,474.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-541.768,0.000,0.000,-4481.432,0.000,0.000,0.000,0.000,-8280.402,0.000,0.000,0.000,0.000,1874.789,0.000,0.000,0.000,0.000,2604.947,-3396.014,0.700,0.000,0.000,-4.571,0.000,0.000,0.000,-1041.950,474.889,0.000,1.306,0.000,-4342.619,0.000,0.000,0.000,0.000,0.000,0.000,8460.624,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3300.669,0.000,0.000,0.000,0.000,0.000,0.000,738.491,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2364.753,0.000,0.000,0.000,0.000,2604.947,-3979.192,0.000
B003,29271.632,2903.932,34847.181,,0.000,4922.142,11574.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1608.106,5528.263,0.000,0.000,0.000,-257.756,0.000,2960.744,0.000,0.000,0.000,0.000,0.000,0.000,1772.475,0.000,592.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-677.078,0.000,0.000,-5601.276,0.000,0.000,0.000,0.000,-11314.153,0.000,0.000,0.000,0.000,2567.519,0.000,0.000,0.000,0.000,3579.553,-4245.064,2.632,0.000,0.000,-2.660,0.000,0.000,0.000,-1302.700,595.382,0.000,4.730,0.000,-6392.011,0.000,0.000,0.000,0.000,0.000,0.000,11574.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5089.311,0.000,0.000,0.000,0.000,0.000,0.000,1012.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2956.014,0.000,0.000,0.000,0.000,3579.553,-5973.293,0.000
B004,30611.752,6073.760,36442.562,,0.000,5148.045,10456.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1549.221,5408.686,0.000,0.000,0.000,-206.666,0.000,3092.956,0.000,0.000,0.000,0.000,0.000,0.000,1853.871,0.000,619.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-708.301,0.000,0.000,-5858.518,0.000,0.000,0.000,0.000,-10243.933,0.000,0.000,0.000,0.000,2315.730,0.000,0.000,0.000,0.000,3275.050,-4439.745,0.871,0.000,0.000,-5.436,0.000,0.000,0.000,-1361.941,620.759,0.000,1.609,0.000,-5095.887,0.000,0.000,0.000,0.000,0.000,0.000,10456.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3733.947,0.000,0.000,0.000,0.000,0.000,0.000,928.462,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3091.347,0.000,0.000,0.000,0.000,3275.050,-4597.518,0.000
B005,28036.581,1854.271,33376.882,,0.000,4715.048,10559.846,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1501.589,5179.157,0.000,0.000,0.000,-227.242,0.000,2839.265,0.000,0.000,0.000,0.000,0.000,0.000,1698.043,0.000,567.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-648.621,0.000,0.000,-5365.378,0.000,0.000,0.000,0.000,-10330.356,0.000,0.000,0.000,0.000,2339.892,0.000,0.000,0.000,0.000,3278.529,-4066.428,4.412,0.000,0.000,-2.248,0.000,0.000,0.000,-1247.718,572.153,0.000,7.973,0.000,-5615.307,0.000,0.000,0.000,0.000,0.000,0.000,10559.846,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4367.590,0.000,0.000,0.000,0.000,0.000,0.000,929.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2831.292,0.000,0.000,0.000,0.000,3278.529,-5194.468,0.000
B006,18129.113,1798.523,21582.277,,0.000,3048.493,7318.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1010.231,3457.426,0.000,0.000,0.000,-165.370,0.000,1833.849,0.000,0.000,0.000,0.000,0.000,0.000,1097.756,0.000,367.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-419.365,0.000,0.000,-3469.193,0.000,0.000,0.000,0.000,-7150.991,0.000,0.000,0.000,0.000,1623.577,0.000,0.000,0.000,0.000,2262.498,-2629.128,1.709,0.000,0.000,-2.158,0.000,0.000,0.000,-806.833,368.824,0.000,3.069,0.000,-4102.498,0.000,0.000,0.000,0.000,0.000,0.000,7318.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3295.665,0.000,0.000,0.000,0.000,0.000,0.000,641.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1830.780,0.000,0.000,0.000,0.000,2262.498,-3849.326,0.000
B007,14100.055,1398.815,16785.780,,0.000,2371.429,5764.898,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,793.234,2705.276,0.000,0.000,0.000,-131.428,0.000,1426.287,0.000,0.000,0.000,0.000,0.000,0.000,854.110,0.000,285.526,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-326.174,0.000,0.000,-2698.757,0.000,0.000,0.000,0.000,-5631.865,0.000,0.000,0.000,0.000,1278.989,0.000,0.000,0.000,0.000,1791.907,-2045.255,1.337,0.000,0.000,-1.605,0.000,0.000,0.000,-627.670,286.863,0.000,2.384,0.000,-3260.437,0.000,0.000,0.000,0.000,0.000,0.000,5764.898,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2632.767,0.000,0.000,0.000,0.000,0.000,0.000,506.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1423.903,0.000,0.000,0.000,0.000,1791.907,-3066.141,0.000
B008,13602.678,1349.472,16193.664,,0.000,2287.252,5354.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,744.194,2563.616,0.000,0.000,0.000,-118.820,0.000,1376.022,0.000,0.000,0.000,0.000,0.000,0.000,823.585,0.000,275.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-314.675,0.000,0.000,-2602.861,0.000,0.000,0.000,0.000,-5233.727,0.000,0.000,0.000,0.000,1187.594,0.000,0.000,0.000,0.000,1648.844,-1972.577,1.300,0.000,0.000,-1.668,0.000,0.000,0.000,-605.326,276.754,0.000,2.347,0.000,-2946.475,0.000,0.000,0.000,0.000,0.000,0.000,5354.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2341.149,0.000,0.000,0.000,0.000,0.000,0.000,467.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1373.675,0.000,0.000,0.000,0.000,1648.844,-2751.355,0.000
B009,15339.960,1521.821,18261.857,,0.000,2579.769,6234.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,858.940,2934.685,0.000,0.000,0.000,-141.554,0.000,1551.688,0.000,0.000,0.000,0.000,0.000,0.000,929.078,0.000,310.634,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-354.849,0.000,0.000,-2935.808,0.000,0.000,0.000,0.000,-6090.886,0.000,0.000,0.000,0.000,1382.998,0.000,0.000,0.000,0.000,1935.210,-2224.921,1.439,0.000,0.000,-1.664,0.000,0.000,0.000,-682.800,312.073,0.000,2.572,0.000,-3511.117,0.000,0.000,0.000,0.000,0.000,0.000,6234.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2828.317,0.000,0.000,0.000,0.000,0.000,0.000,546.866,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1549.115,0.000,0.000,0.000,0.000,1935.210,-3298.295,0.000
B010,28495.062,5653.782,33922.693,,0.000,4792.303,10197.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1478.985,5138.425,0.000,0.000,0.000,-210.124,0.000,2879.094,0.000,0.000,0.000,0.000,0.000,0.000,1725.889,0.000,577.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-659.273,0.000,0.000,-5453.926,0.000,0.000,0.000,0.000,-9982.065,0.000,0.000,0.000,0.000,2259.331,0.000,0.000,0.000,0.000,3178.650,-4133.030,0.828,0.000,0.000,-5.241,0.000,0.000,0.000,-1268.051,577.853,0.000,1.502,0.000,-5189.762,0.000,0.000,0.000,0.000,0.000,0.000,10197.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3921.711,0.000,0.000,0.000,0.000,0.000,0.000,901.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2877.592,0.000,0.000,0.000,0.000,3178.650,-4743.504,0.000
