AREA_m2,BUILDING,SURFACE,TYPE,Xcoor,Xdir,Ycoor,Ydir,Zcoor,Zdir,orientation
20.8945732243,B002,srf0,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,2.75,0.0,west
16.0494262276,B002,srf1,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,2.54710025294,0.0,west
16.0494262276,B002,srf2,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,1.20289974706,0.0,west
20.8945732243,B002,srf3,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,1.20289974706,0.0,west
16.0494262276,B002,srf4,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,2.95289974706,0.0,west
20.8945732243,B002,srf5,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,2.75,0.0,west
20.8945732243,B002,srf6,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,4.29710025294,0.0,west
16.0494262276,B002,srf7,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,4.29710025294,0.0,west
20.8945732243,B002,srf8,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,6.25,0.0,west
16.0494262276,B002,srf9,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,6.04710025294,0.0,west
16.0494262276,B002,srf10,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,4.70289974706,0.0,west
20.8945732243,B002,srf11,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,4.70289974706,0.0,west
16.0494262276,B002,srf12,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,6.45289974706,0.0,west
20.8945732243,B002,srf13,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,6.25,0.0,west
20.8945732243,B002,srf14,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,7.79710025294,0.0,west
16.0494262276,B002,srf15,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,7.79710025294,0.0,west
20.8945732243,B002,srf16,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,9.75,0.0,west
16.0494262276,B002,srf17,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,9.54710025294,0.0,west
16.0494262276,B002,srf18,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,8.20289974706,0.0,west
20.8945732243,B002,srf19,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,8.20289974706,0.0,west
16.0494262276,B002,srf20,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,9.95289974706,0.0,west
20.8945732243,B002,srf21,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,9.75,0.0,west
20.8945732243,B002,srf22,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,11.2971002529,0.0,west
16.0494262276,B002,srf23,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,11.2971002529,0.0,west
20.8945732243,B002,srf24,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,13.25,0.0,west
16.0494262276,B002,srf25,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,13.0471002529,0.0,west
16.0494262276,B002,srf26,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,11.7028997471,0.0,west
20.8945732243,B002,srf27,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,11.7028997471,0.0,west
16.0494262276,B002,srf28,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,13.4528997471,0.0,west
20.8945732243,B002,srf29,walls,371657.241987,-0.742674946271,140354.050282,-0.669652091896,13.25,0.0,west
20.8945732243,B002,srf30,walls,371687.724562,-0.742674946271,140320.243706,-0.669652091896,14.7971002529,0.0,west
16.0494262276,B002,srf31,walls,371683.72682,-0.742674946271,140324.677385,-0.669652091896,14.7971002529,0.0,west
20.8945732243,B002,srf32,walls,371718.207136,-0.742674946271,140286.43713,-0.669652091896,16.75,0.0,west
