Name,Af_m2,Aroof_m2,GFA_m2,NFA_m2people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B001,86285.174,2499.020,134947.097,,0.000,10429.334,27427.623,0.000,0.000,0.000,0.000,0.000,954.587,0.000,0.000,0.000,0.000,5156.533,21826.325,0.000,0.000,0.000,-881.715,0.000,12383.538,0.000,0.000,954.587,238.502,0.000,0.000,2492.630,0.000,2262.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10429.334,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-26543.916,0.000,0.000,0.000,0.000,8382.134,0.000,0.000,0.000,0.000,7081.391,0.000,50.272,0.000,0.000,-1.992,0.000,0.000,0.000,0.000,2312.334,0.000,91.793,0.000,-16114.581,0.000,0.000,1060.652,0.000,0.000,0.000,27427.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,265.002,235.361,0.000,0.000,0.000,0.000,238.502,-16114.581,0.000,0.000,0.000,0.000,0.000,0.000,2580.318,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12291.745,0.000,0.000,939.528,0.000,7081.391,-27427.623,0.000
B002,17824.588,4646.175,27877.053,,0.000,2026.339,5063.648,0.000,0.000,0.000,0.000,0.000,205.422,0.000,0.000,0.000,0.000,1057.298,4331.274,0.000,0.000,0.000,-152.730,0.000,2540.006,0.000,0.000,205.422,50.941,0.000,0.000,571.608,0.000,467.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2026.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4907.892,0.000,0.000,0.000,0.000,1563.022,0.000,0.000,0.000,0.000,1438.979,0.000,0.469,0.000,0.000,-3.026,0.000,0.000,0.000,0.000,467.761,0.000,0.806,0.000,-2881.553,0.000,0.000,228.246,0.000,0.000,0.000,5063.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.601,48.620,0.000,0.000,0.000,0.000,50.941,-2881.553,0.000,0.000,0.000,0.000,0.000,0.000,533.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2539.200,0.000,0.000,194.085,0.000,1438.979,-5063.648,0.000
B003,22281.288,2903.932,34847.181,,0.000,2446.029,6551.377,0.000,0.000,0.000,0.000,0.000,249.964,0.000,0.000,0.000,0.000,1406.016,5494.429,0.000,0.000,0.000,-202.038,0.000,3177.773,0.000,0.000,249.964,62.071,0.000,0.000,746.829,0.000,584.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2446.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6347.745,0.000,0.000,0.000,0.000,2038.918,0.000,0.000,0.000,0.000,2009.068,0.000,2.064,0.000,0.000,-1.594,0.000,0.000,0.000,0.000,586.193,0.000,3.694,0.000,-3901.716,0.000,0.000,277.738,0.000,0.000,0.000,6551.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.968,60.777,0.000,0.000,0.000,0.000,62.071,-3901.716,0.000,0.000,0.000,0.000,0.000,0.000,751.239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3174.078,0.000,0.000,242.613,0.000,2009.068,-6551.377,0.000
B004,23301.374,6073.760,36442.562,,0.000,2744.951,6648.972,0.000,0.000,0.000,0.000,0.000,266.308,0.000,0.000,0.000,0.000,1330.254,5652.500,0.000,0.000,0.000,-200.936,0.000,3320.451,0.000,0.000,266.308,66.195,0.000,0.000,666.271,0.000,610.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2744.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6444.102,0.000,0.000,0.000,0.000,2036.151,0.000,0.000,0.000,0.000,1754.983,0.000,0.582,0.000,0.000,-3.934,0.000,0.000,0.000,0.000,611.454,0.000,1.056,0.000,-3699.151,0.000,0.000,295.898,0.000,0.000,0.000,6648.972,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,73.550,63.559,0.000,0.000,0.000,0.000,66.195,-3699.151,0.000,0.000,0.000,0.000,0.000,0.000,645.764,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3319.395,0.000,0.000,253.720,0.000,1754.983,-6648.972,0.000
B005,21341.179,1854.271,33376.882,,0.000,2510.986,6658.643,0.000,0.000,0.000,0.000,0.000,241.535,0.000,0.000,0.000,0.000,1287.195,5361.308,0.000,0.000,0.000,-211.448,0.000,3046.561,0.000,0.000,241.535,59.967,0.000,0.000,627.497,0.000,559.483,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2510.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6445.677,0.000,0.000,0.000,0.000,2046.376,0.000,0.000,0.000,0.000,1806.601,0.000,3.514,0.000,0.000,-1.518,0.000,0.000,0.000,0.000,562.997,0.000,6.405,0.000,-3934.691,0.000,0.000,268.372,0.000,0.000,0.000,6658.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.630,58.213,0.000,0.000,0.000,0.000,59.967,-3934.691,0.000,0.000,0.000,0.000,0.000,0.000,657.926,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3040.155,0.000,0.000,232.376,0.000,1806.601,-6658.643,0.000
B006,13799.708,1798.523,21582.277,,0.000,1511.686,4115.906,0.000,0.000,0.000,0.000,0.000,157.739,0.000,0.000,0.000,0.000,877.442,3425.257,0.000,0.000,0.000,-127.939,0.000,1968.187,0.000,0.000,157.739,38.985,0.000,0.000,458.737,0.000,361.775,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1511.686,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3986.695,0.000,0.000,0.000,0.000,1281.805,0.000,0.000,0.000,0.000,1275.037,0.000,1.321,0.000,0.000,-1.271,0.000,0.000,0.000,0.000,363.096,0.000,2.351,0.000,-2475.009,0.000,0.000,175.265,0.000,0.000,0.000,4115.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43.316,37.642,0.000,0.000,0.000,0.000,38.985,-2475.009,0.000,0.000,0.000,0.000,0.000,0.000,471.307,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1965.836,0.000,0.000,150.260,0.000,1275.037,-4115.906,0.000
B007,10732.828,1398.815,16785.780,,0.000,1173.706,3228.733,0.000,0.000,0.000,0.000,0.000,123.011,0.000,0.000,0.000,0.000,691.136,2673.638,0.000,0.000,0.000,-100.799,0.000,1530.770,0.000,0.000,123.011,30.286,0.000,0.000,349.783,0.000,281.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1173.706,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3127.009,0.000,0.000,0.000,0.000,1006.189,0.000,0.000,0.000,0.000,1019.896,0.000,1.032,0.000,0.000,-0.925,0.000,0.000,0.000,0.000,282.405,0.000,1.826,0.000,-1953.303,0.000,0.000,136.679,0.000,0.000,0.000,3228.733,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.651,29.276,0.000,0.000,0.000,0.000,30.286,-1953.303,0.000,0.000,0.000,0.000,0.000,0.000,375.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1528.944,0.000,0.000,116.866,0.000,1019.896,-3228.733,0.000
B008,10354.229,1349.472,16193.664,,0.000,1115.682,2939.735,0.000,0.000,0.000,0.000,0.000,119.388,0.000,0.000,0.000,0.000,641.749,2526.214,0.000,0.000,0.000,-89.240,0.000,1476.795,0.000,0.000,119.388,29.381,0.000,0.000,359.569,0.000,271.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1115.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2849.498,0.000,0.000,0.000,0.000,916.765,0.000,0.000,0.000,0.000,904.957,0.000,1.001,0.000,0.000,-0.998,0.000,0.000,0.000,0.000,272.449,0.000,1.785,0.000,-1733.815,0.000,0.000,132.653,0.000,0.000,0.000,2939.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.645,28.243,0.000,0.000,0.000,0.000,29.381,-1733.815,0.000,0.000,0.000,0.000,0.000,0.000,337.692,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1475.011,0.000,0.000,112.743,0.000,904.957,-2939.735,0.000
B009,11676.631,1521.821,18261.857,,0.000,1281.776,3529.861,0.000,0.000,0.000,0.000,0.000,133.257,0.000,0.000,0.000,0.000,750.724,2912.788,0.000,0.000,0.000,-110.447,0.000,1665.372,0.000,0.000,133.257,32.850,0.000,0.000,409.708,0.000,306.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1281.776,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3418.449,0.000,0.000,0.000,0.000,1099.353,0.000,0.000,0.000,0.000,1106.658,0.000,1.115,0.000,0.000,-0.965,0.000,0.000,0.000,0.000,307.231,0.000,1.979,0.000,-2136.673,0.000,0.000,148.063,0.000,0.000,0.000,3529.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.500,31.850,0.000,0.000,0.000,0.000,32.850,-2136.673,0.000,0.000,0.000,0.000,0.000,0.000,407.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1663.393,0.000,0.000,127.143,0.000,1106.658,-3529.861,0.000
B010,21690.170,5653.782,33922.693,,0.000,2467.149,6110.936,0.000,0.000,0.000,0.000,0.000,248.376,0.000,0.000,0.000,0.000,1263.906,5251.449,0.000,0.000,0.000,-183.668,0.000,3090.837,0.000,0.000,248.376,61.702,0.000,0.000,667.700,0.000,568.632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2467.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5923.707,0.000,0.000,0.000,0.000,1884.639,0.000,0.000,0.000,0.000,1703.051,0.000,0.547,0.000,0.000,-3.561,0.000,0.000,0.000,0.000,569.179,0.000,0.966,0.000,-3456.557,0.000,0.000,275.974,0.000,0.000,0.000,6110.936,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.558,59.165,0.000,0.000,0.000,0.000,61.702,-3456.557,0.000,0.000,0.000,0.000,0.000,0.000,626.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3089.871,0.000,0.000,236.176,0.000,1703.051,-6110.936,0.000
