Name,Af_m2,Aroof_m2,GFA_m2,NFA_m2people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B001,33736.774,2499.020,134947.097,,0.000,4322.111,12219.413,0.000,0.000,0.000,0.000,0.000,2166.219,0.000,0.000,0.000,0.000,2553.324,11245.565,0.000,0.000,0.000,-397.712,0.000,5090.982,0.000,0.000,2166.219,659.103,0.000,0.000,1179.678,0.000,850.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4322.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-11819.576,0.000,0.000,0.000,0.000,3747.672,0.000,0.000,0.000,0.000,2967.916,0.000,68.968,0.000,0.000,-2.125,0.000,0.000,0.000,0.000,850.631,0.000,126.009,0.000,-7497.464,0.000,0.000,2406.910,0.000,0.000,0.000,12219.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,732.337,655.600,0.000,0.000,0.000,0.000,659.103,-7497.464,0.000,0.000,0.000,0.000,0.000,0.000,1070.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4964.974,0.000,0.000,2153.646,0.000,2967.916,-12219.413,0.000
B002,6969.263,4646.175,27877.053,,0.000,775.128,2069.290,0.000,0.000,0.000,0.000,0.000,453.331,0.000,0.000,0.000,0.000,528.664,2175.440,0.000,0.000,0.000,-62.338,0.000,1026.522,0.000,0.000,453.331,138.008,0.000,0.000,251.847,0.000,175.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-775.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2003.945,0.000,0.000,0.000,0.000,645.218,0.000,0.000,0.000,0.000,597.344,0.000,0.486,0.000,0.000,-3.007,0.000,0.000,0.000,0.000,175.822,0.000,0.869,0.000,-1228.817,0.000,0.000,503.701,0.000,0.000,0.000,2069.290,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,153.342,135.432,0.000,0.000,0.000,0.000,138.008,-1228.817,0.000,0.000,0.000,0.000,0.000,0.000,228.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1025.653,0.000,0.000,444.895,0.000,597.344,-2069.290,0.000
B003,8711.795,2903.932,34847.181,,0.000,900.513,2718.580,0.000,0.000,0.000,0.000,0.000,561.419,0.000,0.000,0.000,0.000,721.183,2768.382,0.000,0.000,0.000,-85.563,0.000,1286.975,0.000,0.000,561.419,170.777,0.000,0.000,344.529,0.000,219.537,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-900.513,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2631.542,0.000,0.000,0.000,0.000,857.608,0.000,0.000,0.000,0.000,912.236,0.000,2.705,0.000,0.000,-1.475,0.000,0.000,0.000,0.000,219.715,0.000,4.877,0.000,-1731.029,0.000,0.000,623.799,0.000,0.000,0.000,2718.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,189.753,169.295,0.000,0.000,0.000,0.000,170.777,-1731.029,0.000,0.000,0.000,0.000,0.000,0.000,343.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1282.097,0.000,0.000,556.133,0.000,912.236,-2718.580,0.000
B004,9110.641,6073.760,36442.562,,0.000,1099.922,2728.238,0.000,0.000,0.000,0.000,0.000,591.156,0.000,0.000,0.000,0.000,646.039,2838.262,0.000,0.000,0.000,-80.957,0.000,1341.969,0.000,0.000,591.156,179.933,0.000,0.000,275.570,0.000,229.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1099.922,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2643.086,0.000,0.000,0.000,0.000,839.453,0.000,0.000,0.000,0.000,678.102,0.000,0.605,0.000,0.000,-4.196,0.000,0.000,0.000,0.000,229.818,0.000,1.174,0.000,-1543.164,0.000,0.000,656.840,0.000,0.000,0.000,2728.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,199.925,177.045,0.000,0.000,0.000,0.000,179.933,-1543.164,0.000,0.000,0.000,0.000,0.000,0.000,249.543,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1340.795,0.000,0.000,581.594,0.000,678.102,-2728.238,0.000
B005,8344.221,1854.271,33376.882,,0.000,998.921,2889.970,0.000,0.000,0.000,0.000,0.000,539.432,0.000,0.000,0.000,0.000,661.089,2730.861,0.000,0.000,0.000,-92.921,0.000,1236.563,0.000,0.000,539.432,164.107,0.000,0.000,307.220,0.000,210.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-998.921,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2795.536,0.000,0.000,0.000,0.000,894.928,0.000,0.000,0.000,0.000,791.688,0.000,4.690,0.000,0.000,-1.514,0.000,0.000,0.000,0.000,210.474,0.000,8.561,0.000,-1796.615,0.000,0.000,599.369,0.000,0.000,0.000,2889.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,182.341,162.152,0.000,0.000,0.000,0.000,164.107,-1796.615,0.000,0.000,0.000,0.000,0.000,0.000,291.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1228.002,0.000,0.000,532.668,0.000,791.688,-2889.970,0.000
B006,5395.569,1798.523,21582.277,,0.000,555.498,1715.991,0.000,0.000,0.000,0.000,0.000,349.662,0.000,0.000,0.000,0.000,441.229,1727.255,0.000,0.000,0.000,-54.569,0.000,797.131,0.000,0.000,349.662,106.374,0.000,0.000,213.407,0.000,135.968,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-555.498,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1660.216,0.000,0.000,0.000,0.000,541.611,0.000,0.000,0.000,0.000,566.879,0.000,1.707,0.000,0.000,-1.206,0.000,0.000,0.000,0.000,136.108,0.000,3.076,0.000,-1104.719,0.000,0.000,388.513,0.000,0.000,0.000,1715.991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,118.193,104.851,0.000,0.000,0.000,0.000,106.374,-1104.719,0.000,0.000,0.000,0.000,0.000,0.000,213.827,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,794.055,0.000,0.000,344.436,0.000,566.879,-1715.991,0.000
B007,4196.445,1398.815,16785.780,,0.000,429.516,1347.846,0.000,0.000,0.000,0.000,0.000,271.948,0.000,0.000,0.000,0.000,350.792,1348.056,0.000,0.000,0.000,-43.087,0.000,619.978,0.000,0.000,271.948,82.695,0.000,0.000,165.997,0.000,105.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-429.516,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1303.878,0.000,0.000,0.000,0.000,425.913,0.000,0.000,0.000,0.000,452.601,0.000,1.331,0.000,0.000,-0.881,0.000,0.000,0.000,0.000,105.864,0.000,2.395,0.000,-874.362,0.000,0.000,302.165,0.000,0.000,0.000,1347.846,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.883,81.549,0.000,0.000,0.000,0.000,82.695,-874.362,0.000,0.000,0.000,0.000,0.000,0.000,174.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,617.582,0.000,0.000,267.887,0.000,452.601,-1347.846,0.000
B008,4048.416,1349.472,16193.664,,0.000,407.835,1203.889,0.000,0.000,0.000,0.000,0.000,262.902,0.000,0.000,0.000,0.000,316.567,1270.577,0.000,0.000,0.000,-37.299,0.000,598.117,0.000,0.000,262.902,79.961,0.000,0.000,160.149,0.000,102.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-407.835,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1165.649,0.000,0.000,0.000,0.000,380.347,0.000,0.000,0.000,0.000,397.627,0.000,1.288,0.000,0.000,-0.941,0.000,0.000,0.000,0.000,102.130,0.000,2.319,0.000,-757.814,0.000,0.000,292.113,0.000,0.000,0.000,1203.889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88.846,78.672,0.000,0.000,0.000,0.000,79.961,-757.814,0.000,0.000,0.000,0.000,0.000,0.000,153.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,595.797,0.000,0.000,258.438,0.000,397.627,-1203.889,0.000
B009,4565.464,1521.821,18261.857,,0.000,470.515,1476.317,0.000,0.000,0.000,0.000,0.000,295.499,0.000,0.000,0.000,0.000,384.332,1468.923,0.000,0.000,0.000,-47.281,0.000,674.487,0.000,0.000,295.499,89.857,0.000,0.000,180.587,0.000,115.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-470.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1428.121,0.000,0.000,0.000,0.000,466.104,0.000,0.000,0.000,0.000,494.555,0.000,1.441,0.000,0.000,-0.915,0.000,0.000,0.000,0.000,115.168,0.000,2.596,0.000,-957.606,0.000,0.000,328.333,0.000,0.000,0.000,1476.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.841,88.720,0.000,0.000,0.000,0.000,89.857,-957.606,0.000,0.000,0.000,0.000,0.000,0.000,184.405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,671.890,0.000,0.000,291.444,0.000,494.555,-1476.317,0.000
B010,8480.673,5653.782,33922.693,,0.000,947.901,2486.859,0.000,0.000,0.000,0.000,0.000,550.603,0.000,0.000,0.000,0.000,629.047,2634.820,0.000,0.000,0.000,-74.470,0.000,1249.148,0.000,0.000,550.603,167.622,0.000,0.000,306.440,0.000,213.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-947.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2408.735,0.000,0.000,0.000,0.000,773.891,0.000,0.000,0.000,0.000,681.128,0.000,0.570,0.000,0.000,-3.653,0.000,0.000,0.000,0.000,213.936,0.000,1.065,0.000,-1460.835,0.000,0.000,611.781,0.000,0.000,0.000,2486.859,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,186.246,164.803,0.000,0.000,0.000,0.000,167.622,-1460.835,0.000,0.000,0.000,0.000,0.000,0.000,252.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1248.084,0.000,0.000,541.379,0.000,681.128,-2486.859,0.000
