Name,Af_m2,Aroof_m2,GFA_m2,NFA_m2people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B001,113355.561,2499.020,134947.097,,0.000,19612.107,51383.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8040.071,32328.177,0.000,0.000,0.000,-1202.845,0.000,20724.500,0.000,0.000,0.000,0.000,0.000,0.000,7669.318,0.000,3858.542,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3342.882,0.000,0.000,-21602.121,0.000,0.000,0.000,0.000,-50177.562,0.000,0.000,0.000,0.000,11603.677,0.000,0.000,0.000,0.000,15124.180,-16269.225,21.214,0.000,0.000,-3.058,0.000,0.000,0.000,-5132.570,3879.756,0.000,39.497,0.000,-30565.455,0.000,0.000,0.000,0.000,0.000,0.000,51383.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-25432.885,0.000,0.000,0.000,0.000,0.000,0.000,4160.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20685.002,0.000,0.000,0.000,0.000,15124.180,-29781.345,0.000
B002,23416.725,4646.175,27877.053,,0.000,4051.229,10413.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1629.501,6627.362,0.000,0.000,0.000,-240.286,0.000,4274.551,0.000,0.000,0.000,0.000,0.000,0.000,1584.329,0.000,797.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-690.571,0.000,0.000,-4462.978,0.000,0.000,0.000,0.000,-10167.887,0.000,0.000,0.000,0.000,2352.811,0.000,0.000,0.000,0.000,3002.022,-3360.657,0.600,0.000,0.000,-5.048,0.000,0.000,0.000,-1060.160,797.688,0.000,1.492,0.000,-6116.658,0.000,0.000,0.000,0.000,0.000,0.000,10413.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5056.498,0.000,0.000,0.000,0.000,0.000,0.000,831.812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4273.059,0.000,0.000,0.000,0.000,3002.022,-5950.243,0.000
B003,29271.632,2903.932,34847.181,,0.000,5064.637,13906.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2118.216,8486.969,0.000,0.000,0.000,-333.660,0.000,5343.925,0.000,0.000,0.000,0.000,0.000,0.000,1980.310,0.000,996.385,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-863.326,0.000,0.000,-5578.930,0.000,0.000,0.000,0.000,-13569.869,0.000,0.000,0.000,0.000,3143.044,0.000,0.000,0.000,0.000,4025.187,-4201.310,1.186,0.000,0.000,-2.941,0.000,0.000,0.000,-1325.552,997.571,0.000,2.469,0.000,-8505.232,0.000,0.000,0.000,0.000,0.000,0.000,13906.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7179.680,0.000,0.000,0.000,0.000,0.000,0.000,1120.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5341.456,0.000,0.000,0.000,0.000,4025.187,-8327.540,0.000
B004,30611.752,6073.760,36442.562,,0.000,5296.431,13106.785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2096.495,8548.915,0.000,0.000,0.000,-295.364,0.000,5587.825,0.000,0.000,0.000,0.000,0.000,0.000,2071.097,0.000,1042.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-902.787,0.000,0.000,-5834.614,0.000,0.000,0.000,0.000,-12805.330,0.000,0.000,0.000,0.000,2961.090,0.000,0.000,0.000,0.000,3835.367,-4393.644,0.722,0.000,0.000,-6.091,0.000,0.000,0.000,-1385.876,1042.725,0.000,1.825,0.000,-7508.899,0.000,0.000,0.000,0.000,0.000,0.000,13106.785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6123.023,0.000,0.000,0.000,0.000,0.000,0.000,1053.781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5586.000,0.000,0.000,0.000,0.000,3835.367,-7272.172,0.000
B005,28036.581,1854.271,33376.882,,0.000,4850.489,12943.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1998.579,8043.292,0.000,0.000,0.000,-306.088,0.000,5119.760,0.000,0.000,0.000,0.000,0.000,0.000,1896.765,0.000,954.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-826.798,0.000,0.000,-5342.954,0.000,0.000,0.000,0.000,-12635.058,0.000,0.000,0.000,0.000,2923.533,0.000,0.000,0.000,0.000,3777.562,-4023.691,1.823,0.000,0.000,-2.432,0.000,0.000,0.000,-1269.443,956.169,0.000,3.674,0.000,-7784.569,0.000,0.000,0.000,0.000,0.000,0.000,12943.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6515.127,0.000,0.000,0.000,0.000,0.000,0.000,1042.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5116.086,0.000,0.000,0.000,0.000,3777.562,-7600.624,0.000
B006,18129.113,1798.523,21582.277,,0.000,3136.865,8751.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1328.674,5287.501,0.000,0.000,0.000,-211.861,0.000,3309.798,0.000,0.000,0.000,0.000,0.000,0.000,1226.713,0.000,617.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-534.686,0.000,0.000,-3455.528,0.000,0.000,0.000,0.000,-8537.042,0.000,0.000,0.000,0.000,1977.702,0.000,0.000,0.000,0.000,2553.865,-2602.179,0.789,0.000,0.000,-2.336,0.000,0.000,0.000,-821.026,617.891,0.000,1.617,0.000,-5400.178,0.000,0.000,0.000,0.000,0.000,0.000,8751.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4579.151,0.000,0.000,0.000,0.000,0.000,0.000,710.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3308.181,0.000,0.000,0.000,0.000,2553.865,-5295.712,0.000
B007,14100.055,1398.815,16785.780,,0.000,2439.438,6871.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1038.843,4127.104,0.000,0.000,0.000,-167.254,0.000,2574.225,0.000,0.000,0.000,0.000,0.000,0.000,953.922,0.000,479.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-415.860,0.000,0.000,-2687.177,0.000,0.000,0.000,0.000,-6702.474,0.000,0.000,0.000,0.000,1552.879,0.000,0.000,0.000,0.000,2005.880,-2023.579,0.617,0.000,0.000,-1.716,0.000,0.000,0.000,-638.482,480.573,0.000,1.262,0.000,-4263.036,0.000,0.000,0.000,0.000,0.000,0.000,6871.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3624.554,0.000,0.000,0.000,0.000,0.000,0.000,558.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2572.963,0.000,0.000,0.000,0.000,2005.880,-4184.267,0.000
B008,13602.678,1349.472,16193.664,,0.000,2353.100,6424.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,975.931,3935.405,0.000,0.000,0.000,-153.632,0.000,2483.569,0.000,0.000,0.000,0.000,0.000,0.000,920.250,0.000,463.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-401.139,0.000,0.000,-2592.076,0.000,0.000,0.000,0.000,-6268.748,0.000,0.000,0.000,0.000,1451.836,0.000,0.000,0.000,0.000,1840.608,-1951.961,0.634,0.000,0.000,-1.816,0.000,0.000,0.000,-615.850,463.659,0.000,1.367,0.000,-3915.647,0.000,0.000,0.000,0.000,0.000,0.000,6424.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3299.797,0.000,0.000,0.000,0.000,0.000,0.000,512.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2482.202,0.000,0.000,0.000,0.000,1840.608,-3832.121,0.000
B009,15339.960,1521.821,18261.857,,0.000,2654.313,7441.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1129.491,4482.317,0.000,0.000,0.000,-180.668,0.000,2800.630,0.000,0.000,0.000,0.000,0.000,0.000,1037.893,0.000,522.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-452.428,0.000,0.000,-2923.943,0.000,0.000,0.000,0.000,-7259.030,0.000,0.000,0.000,0.000,1681.687,0.000,0.000,0.000,0.000,2179.692,-2201.885,0.685,0.000,0.000,-1.788,0.000,0.000,0.000,-694.739,522.846,0.000,1.410,0.000,-4604.717,0.000,0.000,0.000,0.000,0.000,0.000,7441.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3909.977,0.000,0.000,0.000,0.000,0.000,0.000,606.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2799.220,0.000,0.000,0.000,0.000,2179.692,-4517.543,0.000
B010,28495.062,5653.782,33922.693,,0.000,4930.178,12580.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1974.612,8043.668,0.000,0.000,0.000,-289.123,0.000,5201.440,0.000,0.000,0.000,0.000,0.000,0.000,1927.880,0.000,969.952,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-840.338,0.000,0.000,-5431.271,0.000,0.000,0.000,0.000,-12285.216,0.000,0.000,0.000,0.000,2842.228,0.000,0.000,0.000,0.000,3654.175,-4089.839,0.680,0.000,0.000,-5.784,0.000,0.000,0.000,-1290.175,970.631,0.000,1.692,0.000,-7355.038,0.000,0.000,0.000,0.000,0.000,0.000,12580.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6064.864,0.000,0.000,0.000,0.000,0.000,0.000,1003.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5199.749,0.000,0.000,0.000,0.000,3654.175,-7148.852,0.000
