Name,Af_m2,Aroof_m2,GFA_m2,NFA_m2people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B001,113355.561,2499.020,134947.097,,0.000,19800.422,47234.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6926.337,26640.719,0.000,0.000,0.000,-1063.486,0.000,16141.028,0.000,0.000,0.000,0.000,0.000,0.000,7194.704,0.000,3076.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3208.038,0.000,0.000,-21906.961,0.000,0.000,0.000,0.000,-46167.681,0.000,0.000,0.000,0.000,10499.692,0.000,0.000,0.000,0.000,13361.000,-16592.383,41.142,0.000,0.000,-3.384,0.000,0.000,0.000,-5107.751,3118.139,0.000,74.885,0.000,-26367.260,0.000,0.000,0.000,0.000,0.000,0.000,47234.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-21259.508,0.000,0.000,0.000,0.000,0.000,0.000,3808.199,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16066.142,0.000,0.000,0.000,0.000,13361.000,-25327.590,0.000
B002,23416.725,4646.175,27877.053,,0.000,4090.107,9634.960,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1392.947,5462.817,0.000,0.000,0.000,-214.383,0.000,3320.093,0.000,0.000,0.000,0.000,0.000,0.000,1486.023,0.000,635.639,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-662.713,0.000,0.000,-4526.186,0.000,0.000,0.000,0.000,-9415.075,0.000,0.000,0.000,0.000,2142.724,0.000,0.000,0.000,0.000,2668.585,-3427.393,0.660,0.000,0.000,-5.501,0.000,0.000,0.000,-1055.105,636.298,0.000,1.187,0.000,-5324.969,0.000,0.000,0.000,0.000,0.000,0.000,9634.960,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4269.864,0.000,0.000,0.000,0.000,0.000,0.000,756.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3318.906,0.000,0.000,0.000,0.000,2668.585,-5108.774,0.000
B003,29271.632,2903.932,34847.181,,0.000,5112.867,13038.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1833.012,7053.759,0.000,0.000,0.000,-305.952,0.000,4152.099,0.000,0.000,0.000,0.000,0.000,0.000,1857.741,0.000,794.568,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-828.381,0.000,0.000,-5657.456,0.000,0.000,0.000,0.000,-12729.005,0.000,0.000,0.000,0.000,2901.661,0.000,0.000,0.000,0.000,3643.782,-4284.486,1.877,0.000,0.000,-3.101,0.000,0.000,0.000,-1319.180,796.445,0.000,3.363,0.000,-7616.138,0.000,0.000,0.000,0.000,0.000,0.000,13038.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6296.958,0.000,0.000,0.000,0.000,0.000,0.000,1036.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4148.735,0.000,0.000,0.000,0.000,3643.782,-7380.602,0.000
B004,30611.752,6073.760,36442.562,,0.000,5347.165,12004.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1786.925,7008.768,0.000,0.000,0.000,-257.862,0.000,4340.090,0.000,0.000,0.000,0.000,0.000,0.000,1943.184,0.000,830.945,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-866.307,0.000,0.000,-5917.179,0.000,0.000,0.000,0.000,-11739.723,0.000,0.000,0.000,0.000,2668.678,0.000,0.000,0.000,0.000,3374.645,-4480.858,0.810,0.000,0.000,-6.553,0.000,0.000,0.000,-1379.227,831.755,0.000,1.417,0.000,-6392.559,0.000,0.000,0.000,0.000,0.000,0.000,12004.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5013.332,0.000,0.000,0.000,0.000,0.000,0.000,955.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4338.674,0.000,0.000,0.000,0.000,3374.645,-6086.959,0.000
B005,28036.581,1854.271,33376.882,,0.000,4896.979,11980.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1721.400,6643.114,0.000,0.000,0.000,-274.221,0.000,3979.250,0.000,0.000,0.000,0.000,0.000,0.000,1779.274,0.000,761.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-793.438,0.000,0.000,-5418.358,0.000,0.000,0.000,0.000,-11703.379,0.000,0.000,0.000,0.000,2663.865,0.000,0.000,0.000,0.000,3358.603,-4103.541,3.085,0.000,0.000,-2.678,0.000,0.000,0.000,-1263.324,764.128,0.000,5.561,0.000,-6806.400,0.000,0.000,0.000,0.000,0.000,0.000,11980.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5543.076,0.000,0.000,0.000,0.000,0.000,0.000,957.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3973.689,0.000,0.000,0.000,0.000,3358.603,-6561.919,0.000
B006,18129.113,1798.523,21582.277,,0.000,3166.717,8224.936,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1142.933,4402.242,0.000,0.000,0.000,-195.213,0.000,2571.689,0.000,0.000,0.000,0.000,0.000,0.000,1150.683,0.000,492.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-513.076,0.000,0.000,-3504.100,0.000,0.000,0.000,0.000,-8027.293,0.000,0.000,0.000,0.000,1830.553,0.000,0.000,0.000,0.000,2306.554,-2653.640,1.233,0.000,0.000,-2.429,0.000,0.000,0.000,-817.067,493.341,0.000,2.208,0.000,-4860.577,0.000,0.000,0.000,0.000,0.000,0.000,8224.936,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4043.510,0.000,0.000,0.000,0.000,0.000,0.000,649.604,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2569.480,0.000,0.000,0.000,0.000,2306.554,-4720.836,0.000
B007,14100.055,1398.815,16785.780,,0.000,2462.646,6469.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,898.374,3440.028,0.000,0.000,0.000,-154.644,0.000,2000.149,0.000,0.000,0.000,0.000,0.000,0.000,894.766,0.000,382.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-399.036,0.000,0.000,-2724.964,0.000,0.000,0.000,0.000,-6312.984,0.000,0.000,0.000,0.000,1439.880,0.000,0.000,0.000,0.000,1818.594,-2063.610,0.965,0.000,0.000,-1.797,0.000,0.000,0.000,-635.406,383.706,0.000,1.716,0.000,-3850.338,0.000,0.000,0.000,0.000,0.000,0.000,6469.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3214.932,0.000,0.000,0.000,0.000,0.000,0.000,514.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1998.433,0.000,0.000,0.000,0.000,1818.594,-3744.462,0.000
B008,13602.678,1349.472,16193.664,,0.000,2376.183,6030.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,844.573,3271.791,0.000,0.000,0.000,-141.077,0.000,1929.647,0.000,0.000,0.000,0.000,0.000,0.000,863.463,0.000,369.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-384.972,0.000,0.000,-2629.380,0.000,0.000,0.000,0.000,-5887.996,0.000,0.000,0.000,0.000,1342.144,0.000,0.000,0.000,0.000,1673.379,-1991.210,0.940,0.000,0.000,-1.923,0.000,0.000,0.000,-613.084,370.180,0.000,1.709,0.000,-3511.813,0.000,0.000,0.000,0.000,0.000,0.000,6030.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2898.729,0.000,0.000,0.000,0.000,0.000,0.000,474.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1927.939,0.000,0.000,0.000,0.000,1673.379,-3401.616,0.000
B009,15339.960,1521.821,18261.857,,0.000,2679.012,7000.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,973.772,3734.008,0.000,0.000,0.000,-166.808,0.000,2176.012,0.000,0.000,0.000,0.000,0.000,0.000,973.235,0.000,416.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-434.124,0.000,0.000,-2964.322,0.000,0.000,0.000,0.000,-6831.744,0.000,0.000,0.000,0.000,1557.996,0.000,0.000,0.000,0.000,1970.412,-2244.888,1.039,0.000,0.000,-1.883,0.000,0.000,0.000,-691.217,417.436,0.000,1.844,0.000,-4152.733,0.000,0.000,0.000,0.000,0.000,0.000,7000.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3461.516,0.000,0.000,0.000,0.000,0.000,0.000,556.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2174.168,0.000,0.000,0.000,0.000,1970.412,-4036.114,0.000
B010,28495.062,5653.782,33922.693,,0.000,4977.280,11625.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1696.519,6625.216,0.000,0.000,0.000,-257.253,0.000,4040.015,0.000,0.000,0.000,0.000,0.000,0.000,1808.670,0.000,773.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-806.436,0.000,0.000,-5507.900,0.000,0.000,0.000,0.000,-11362.178,0.000,0.000,0.000,0.000,2585.201,0.000,0.000,0.000,0.000,3253.174,-4170.844,0.771,0.000,0.000,-6.303,0.000,0.000,0.000,-1283.953,774.259,0.000,1.345,0.000,-6384.898,0.000,0.000,0.000,0.000,0.000,0.000,11625.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5100.945,0.000,0.000,0.000,0.000,0.000,0.000,922.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4038.670,0.000,0.000,0.000,0.000,3253.174,-6117.834,0.000
