,OFFICE_ahu_heat_air_flow,OFFICE_ahu_cool_air_flow,OFFICE_tu_heat_air_flow,OFFICE_tu_cool_air_flow,OFFICE_window_air_flow
2005-01-01 00:00:00,-0.0,0.0,-0.0,19.4701487253,6.32383034826e-13
2005-01-01 01:00:00,-0.0,0.0,-0.0,19.6033122684,9.09494701773e-13
2005-01-01 02:00:00,-0.0,0.0,-0.0,19.5700213826,9.09494701773e-13
2005-01-01 03:00:00,-0.0,0.0,-0.0,19.5589244207,0.0
2005-01-01 04:00:00,-0.0,0.0,-0.0,19.5478274588,0.0
2005-01-01 05:00:00,-0.0,0.0,-0.0,19.5367304968,0.0
2005-01-01 06:00:00,-0.0,0.0,-0.0,29.3995443876,2.33896166725
2005-01-01 07:00:00,-0.0,0.0,-0.0,29.4106413495,2.33896166725
2005-01-01 08:00:00,-0.0,0.0,-0.0,43.9149722032,9.01433814922
2005-01-01 09:00:00,-0.0,0.0,-0.0,44.0037478986,9.01433814922
2005-01-01 10:00:00,-0.0,0.0,-0.0,44.0592327083,9.01433814922
2005-01-01 11:00:00,-0.0,0.0,-0.0,44.1369114418,9.01433814922
2005-01-01 12:00:00,-0.0,0.0,-0.0,26.5392142803,2.33896166725
2005-01-01 13:00:00,-0.0,0.0,-0.0,26.5614082041,2.33896166725
2005-01-01 14:00:00,-0.0,0.0,-0.0,26.5503112422,2.33896166725
2005-01-01 15:00:00,-0.0,0.0,-0.0,26.5281173183,2.33896166725
2005-01-01 16:00:00,-0.0,0.0,-0.0,26.5059233945,2.33896166725
2005-01-01 17:00:00,-0.0,0.0,-0.0,21.2249621483,0.670117546759
2005-01-01 18:00:00,-0.0,0.0,-0.0,21.1472834148,0.670117546759
2005-01-01 19:00:00,-0.0,0.0,-0.0,19.7142818737,0.0
2005-01-01 20:00:00,-0.0,0.0,-0.0,19.6477001161,0.0
2005-01-01 21:00:00,-0.0,0.0,-0.0,19.6255062063,0.0
2005-01-01 22:00:00,-0.0,0.0,-0.0,19.6033122684,0.0
2005-01-01 23:00:00,-0.0,0.0,-0.0,0.0,0.0
