Name,Af_m2,Aroof_m2,GFA_m2,people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B001,113355.561,2499.020,134947.097,9854.000,0.000,22366.600,43294.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2228.601,0.000,-0.162,4557.721,18460.961,0.000,0.000,0.000,-832.051,0.000,9034.212,0.000,0.000,0.000,0.000,0.000,0.000,5166.765,0.000,1728.146,0.000,0.000,0.000,0.000,0.000,-46.600,0.000,0.000,-436.227,-112.526,0.000,-960.201,0.000,0.000,-2724.209,0.000,0.000,-25766.729,0.000,0.000,0.000,0.000,-42458.183,-1488.370,0.000,0.000,0.000,9426.749,0.000,0.000,0.000,0.000,9809.164,-19642.392,74.176,0.000,0.000,-4.046,0.000,0.000,0.000,-5874.118,1761.879,0.000,135.399,0.000,-20091.582,0.000,0.000,0.000,0.000,-445.508,0.000,43294.279,-299.859,-818.829,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-14217.464,0.000,0.000,0.000,0.000,0.000,0.000,2795.842,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8898.813,0.000,0.000,0.000,0.000,9809.164,-17527.551,0.000
B002,23416.725,4646.175,27877.053,3627.000,0.000,7872.487,13086.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1580.687,5274.273,0.000,0.000,0.000,-203.346,0.000,2373.066,0.000,0.000,0.000,0.000,0.000,0.000,2960.382,0.000,469.775,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-559.521,0.000,0.000,-9637.810,0.000,0.000,0.000,0.000,-12877.793,0.000,0.000,0.000,0.000,2901.207,0.000,0.000,0.000,0.000,4043.978,-7312.966,0.841,0.000,0.000,-5.016,0.000,0.000,0.000,-2231.916,470.249,0.000,1.415,0.000,-5005.306,0.000,0.000,0.000,0.000,0.000,0.000,13086.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2773.389,0.000,0.000,0.000,0.000,0.000,0.000,1118.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2371.652,0.000,0.000,0.000,0.000,4043.978,-3448.346,0.000
B003,8711.795,2903.932,34847.181,996.000,0.000,901.136,2722.360,0.000,0.000,0.000,0.000,0.000,561.419,0.000,0.000,0.000,0.000,720.451,2769.483,0.000,0.000,0.000,-85.736,0.000,1286.979,0.000,0.000,561.419,170.777,0.000,0.000,328.865,0.000,219.537,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-901.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2635.136,0.000,0.000,0.000,0.000,858.706,0.000,0.000,0.000,0.000,905.434,0.000,2.705,0.000,0.000,-1.488,0.000,0.000,0.000,0.000,219.715,0.000,4.881,0.000,-1734.000,0.000,0.000,623.799,0.000,0.000,0.000,2722.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,189.753,169.295,0.000,0.000,0.000,0.000,170.777,-1734.000,0.000,0.000,0.000,0.000,0.000,0.000,343.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1282.097,0.000,0.000,556.133,0.000,905.434,-2722.360,0.000
B004,30611.752,6073.760,36442.562,7535.000,0.000,19928.435,27972.818,0.000,0.000,0.000,0.000,0.000,855.185,0.000,0.000,0.000,0.000,3382.218,10917.729,0.000,0.000,0.000,-310.941,0.000,3739.874,0.000,0.000,855.185,188.465,0.000,0.000,7870.782,0.000,710.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-512.539,0.000,0.000,-25529.327,0.000,0.000,0.000,0.000,-27657.184,0.000,0.000,0.000,0.000,6227.649,0.000,0.000,0.000,0.000,9600.991,-19415.896,1.167,0.000,0.000,-4.693,0.000,0.000,0.000,-5874.604,711.407,0.000,2.317,0.000,-7728.750,0.000,0.000,950.205,0.000,0.000,0.000,27972.818,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,209.405,185.557,0.000,0.000,0.000,0.000,188.465,-1854.146,0.000,0.000,0.000,0.000,0.000,0.000,2540.417,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3737.557,0.000,0.000,840.132,0.000,9600.991,-2443.491,0.000
B005,28036.581,1854.271,33376.882,4016.000,0.000,10255.502,17441.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-595.058,0.000,-0.075,1813.766,6978.412,0.000,0.000,0.000,-283.211,0.000,3133.344,0.000,0.000,0.000,0.000,0.000,0.000,3446.160,0.000,583.325,0.000,0.000,0.000,0.000,0.000,-15.119,0.000,0.000,-48.327,-11.061,0.000,-252.010,0.000,0.000,-724.086,0.000,0.000,-12542.892,0.000,0.000,0.000,0.000,-17155.430,-382.659,0.000,0.000,0.000,3845.069,0.000,0.000,0.000,0.000,4685.063,-9531.417,5.523,0.000,0.000,-2.729,0.000,0.000,0.000,-2891.694,583.786,0.000,10.195,0.000,-6899.928,0.000,0.000,0.000,0.000,-111.846,0.000,17441.370,-35.250,-248.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4008.234,0.000,0.000,0.000,0.000,0.000,0.000,1246.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3123.149,0.000,0.000,0.000,0.000,4685.063,-4898.478,0.000
B006,5395.569,1798.523,21582.277,617.000,0.000,555.626,1716.161,0.000,0.000,0.000,0.000,0.000,349.662,0.000,0.000,0.000,0.000,444.642,1727.311,0.000,0.000,0.000,-54.568,0.000,797.133,0.000,0.000,349.662,106.374,0.000,0.000,213.408,0.000,135.968,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-555.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1660.382,0.000,0.000,0.000,0.000,541.666,0.000,0.000,0.000,0.000,564.673,0.000,1.708,0.000,0.000,-1.211,0.000,0.000,0.000,0.000,136.109,0.000,3.077,0.000,-1104.756,0.000,0.000,388.513,0.000,0.000,0.000,1716.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,118.193,104.851,0.000,0.000,0.000,0.000,106.374,-1104.756,0.000,0.000,0.000,0.000,0.000,0.000,214.562,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,794.055,0.000,0.000,344.436,0.000,564.673,-1716.161,0.000
B007,4196.445,1398.815,16785.780,480.000,0.000,431.549,1358.455,0.000,0.000,0.000,0.000,0.000,271.948,0.000,0.000,0.000,0.000,353.426,1351.111,0.000,0.000,0.000,-43.560,0.000,619.965,0.000,0.000,271.948,82.695,0.000,0.000,165.996,0.000,105.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-431.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1314.053,0.000,0.000,0.000,0.000,428.982,0.000,0.000,0.000,0.000,476.758,0.000,1.333,0.000,0.000,-0.842,0.000,0.000,0.000,0.000,105.864,0.000,2.382,0.000,-882.504,0.000,0.000,302.164,0.000,0.000,0.000,1358.455,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.883,81.549,0.000,0.000,0.000,0.000,82.695,-882.504,0.000,0.000,0.000,0.000,0.000,0.000,175.428,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,617.582,0.000,0.000,267.887,0.000,476.758,-1358.455,0.000
B008,4048.416,1349.472,16193.664,463.000,0.000,408.296,1202.906,0.000,0.000,0.000,0.000,0.000,262.902,0.000,0.000,0.000,0.000,315.461,1270.155,0.000,0.000,0.000,-37.254,0.000,598.107,0.000,0.000,262.902,79.961,0.000,0.000,160.149,0.000,102.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-408.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1164.738,0.000,0.000,0.000,0.000,379.935,0.000,0.000,0.000,0.000,409.093,0.000,1.289,0.000,0.000,-0.914,0.000,0.000,0.000,0.000,102.129,0.000,2.309,0.000,-756.442,0.000,0.000,292.113,0.000,0.000,0.000,1202.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88.846,78.672,0.000,0.000,0.000,0.000,79.961,-756.442,0.000,0.000,0.000,0.000,0.000,0.000,157.559,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,595.797,0.000,0.000,258.438,0.000,409.093,-1202.906,0.000
B009,4565.464,1648.666,18261.857,522.000,0.000,471.913,1484.849,0.000,0.000,0.000,0.000,0.000,295.499,0.000,0.000,0.000,0.000,395.345,1471.439,0.000,0.000,0.000,-47.661,0.000,674.475,0.000,0.000,295.499,89.857,0.000,0.000,180.587,0.000,115.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-471.913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1436.309,0.000,0.000,0.000,0.000,468.631,0.000,0.000,0.000,0.000,517.289,0.000,1.445,0.000,0.000,-0.879,0.000,0.000,0.000,0.000,115.171,0.000,2.585,0.000,-964.396,0.000,0.000,328.332,0.000,0.000,0.000,1484.849,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.841,88.720,0.000,0.000,0.000,0.000,89.857,-964.396,0.000,0.000,0.000,0.000,0.000,0.000,192.991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,671.890,0.000,0.000,291.444,0.000,517.289,-1484.849,0.000
B010,28495.062,5653.782,33922.693,6403.000,0.000,15911.778,23836.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2783.761,9132.591,0.000,0.000,0.000,-307.918,0.000,3825.205,0.000,0.000,0.000,0.000,0.000,0.000,6250.180,0.000,723.455,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-635.714,0.000,0.000,-20137.904,0.000,0.000,0.000,0.000,-23523.386,0.000,0.000,0.000,0.000,5307.385,0.000,0.000,0.000,0.000,7819.885,-15276.064,1.094,0.000,0.000,-5.512,0.000,0.000,0.000,-4670.083,723.837,0.000,1.961,0.000,-7611.608,0.000,0.000,0.000,0.000,0.000,0.000,23836.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2941.525,0.000,0.000,0.000,0.000,0.000,0.000,2069.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3823.245,0.000,0.000,0.000,0.000,7819.885,-3698.912,0.000
