Name,Hs,void_deck,wwr_north,wwr_west,wwr_east,wwr_south,type_cons,type_leak,type_roof,type_wall,type_win,type_shade
"B001",0.25,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B002",0.25,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B003",0.25,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B004",0.25,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B005",0.25,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B006",0.25,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B007",0.25,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B008",0.25,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B009",0.25,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B010",0.84,0,0.59,0.59,0.59,0.59,"T2","T1","T7","T7","T10","T1"
