Name,HOTEL,COOLROOM,PARKING,SCHOOL,OFFICE,GYM,HOSPITAL,INDUSTRIAL,RETAIL,RESTAURANT,SINGLE_RES,MULTI_RES,SERVERROOM,SWIMMING,FOODSTORE,LIBRARY
"B001",0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
"B002",0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
"B003",0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
"B004",0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
"B005",0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
"B006",0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
"B007",0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
"B008",0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
"B009",0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
"B010",0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
