"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Feb 2005","1","85.88","3616.500"
"USEP","01 Feb 2005","2","83.84","3537.934"
"USEP","01 Feb 2005","3","81.73","3467.380"
"USEP","01 Feb 2005","4","80.68","3406.691"
"USEP","01 Feb 2005","5","75.93","3361.753"
"USEP","01 Feb 2005","6","74.30","3331.093"
"USEP","01 Feb 2005","7","70.87","3299.499"
"USEP","01 Feb 2005","8","69.15","3291.621"
"USEP","01 Feb 2005","9","70.86","3297.953"
"USEP","01 Feb 2005","10","74.27","3327.713"
"USEP","01 Feb 2005","11","80.66","3392.323"
"USEP","01 Feb 2005","12","81.72","3504.700"
"USEP","01 Feb 2005","13","84.81","3612.146"
"USEP","01 Feb 2005","14","84.82","3675.360"
"USEP","01 Feb 2005","15","71.20","3798.467"
"USEP","01 Feb 2005","16","77.53","4044.790"
"USEP","01 Feb 2005","17","82.75","4316.465"
"USEP","01 Feb 2005","18","77.70","4510.558"
"USEP","01 Feb 2005","19","77.75","4622.617"
"USEP","01 Feb 2005","20","79.80","4700.805"
"USEP","01 Feb 2005","21","81.02","4770.927"
"USEP","01 Feb 2005","22","81.39","4822.232"
"USEP","01 Feb 2005","23","82.66","4836.009"
"USEP","01 Feb 2005","24","81.59","4801.527"
"USEP","01 Feb 2005","25","81.22","4768.412"
"USEP","01 Feb 2005","26","81.39","4791.975"
"USEP","01 Feb 2005","27","83.05","4855.501"
"USEP","01 Feb 2005","28","85.88","4892.702"
"USEP","01 Feb 2005","29","85.88","4912.910"
"USEP","01 Feb 2005","30","85.88","4911.061"
"USEP","01 Feb 2005","31","86.36","4914.734"
"USEP","01 Feb 2005","32","86.36","4914.883"
"USEP","01 Feb 2005","33","86.37","4917.914"
"USEP","01 Feb 2005","34","85.92","4894.048"
"USEP","01 Feb 2005","35","82.41","4828.261"
"USEP","01 Feb 2005","36","80.63","4689.061"
"USEP","01 Feb 2005","37","78.44","4574.338"
"USEP","01 Feb 2005","38","78.05","4558.390"
"USEP","01 Feb 2005","39","77.75","4551.024"
"USEP","01 Feb 2005","40","77.75","4512.432"
"USEP","01 Feb 2005","41","85.65","4453.657"
"USEP","01 Feb 2005","42","83.83","4379.236"
"USEP","01 Feb 2005","43","83.83","4294.776"
"USEP","01 Feb 2005","44","82.86","4188.234"
"USEP","01 Feb 2005","45","81.72","4076.419"
"USEP","01 Feb 2005","46","81.57","3961.259"
"USEP","01 Feb 2005","47","78.08","3854.717"
"USEP","01 Feb 2005","48","79.29","3712.227"
"USEP","02 Feb 2005","1","81.12","3579.603"
"USEP","02 Feb 2005","2","83.73","3501.981"
"USEP","02 Feb 2005","3","81.69","3470.730"
"USEP","02 Feb 2005","4","81.04","3421.264"
"USEP","02 Feb 2005","5","80.64","3378.044"
"USEP","02 Feb 2005","6","80.20","3344.129"
"USEP","02 Feb 2005","7","77.42","3313.857"
"USEP","02 Feb 2005","8","77.42","3310.184"
"USEP","02 Feb 2005","9","75.95","3299.190"
"USEP","02 Feb 2005","10","77.41","3322.052"
"USEP","02 Feb 2005","11","80.65","3381.419"
"USEP","02 Feb 2005","12","81.68","3498.756"
"USEP","02 Feb 2005","13","85.82","3607.022"
"USEP","02 Feb 2005","14","85.76","3675.161"
"USEP","02 Feb 2005","15","77.66","3799.833"
"USEP","02 Feb 2005","16","80.65","4050.058"
"USEP","02 Feb 2005","17","83.78","4289.135"
"USEP","02 Feb 2005","18","82.76","4494.088"
"USEP","02 Feb 2005","19","84.77","4617.160"
"USEP","02 Feb 2005","20","82.76","4696.168"
"USEP","02 Feb 2005","21","85.90","4764.848"
"USEP","02 Feb 2005","22","88.95","4815.254"
"USEP","02 Feb 2005","23","89.00","4823.201"
"USEP","02 Feb 2005","24","86.37","4789.544"
"USEP","02 Feb 2005","25","83.85","4760.266"
"USEP","02 Feb 2005","26","83.84","4784.788"
"USEP","02 Feb 2005","27","84.81","4845.293"
"USEP","02 Feb 2005","28","84.87","4882.737"
"USEP","02 Feb 2005","29","84.87","4904.446"
"USEP","02 Feb 2005","30","84.88","4903.149"
"USEP","02 Feb 2005","31","85.32","4908.432"
"USEP","02 Feb 2005","32","84.88","4906.732"
"USEP","02 Feb 2005","33","84.89","4897.980"
"USEP","02 Feb 2005","34","84.77","4872.668"
"USEP","02 Feb 2005","35","81.31","4800.821"
