"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jul 2005","1","88.24","4021.088"
"USEP","01 Jul 2005","2","112.24","3928.005"
"USEP","01 Jul 2005","3","87.39","3759.243"
"USEP","01 Jul 2005","4","85.89","3650.301"
"USEP","01 Jul 2005","5","85.87","3616.997"
"USEP","01 Jul 2005","6","85.85","3598.772"
"USEP","01 Jul 2005","7","85.29","3571.084"
"USEP","01 Jul 2005","8","84.68","3546.602"
"USEP","01 Jul 2005","9","85.82","3534.719"
"USEP","01 Jul 2005","10","84.84","3546.204"
"USEP","01 Jul 2005","11","85.83","3573.823"
"USEP","01 Jul 2005","12","86.90","3653.691"
"USEP","01 Jul 2005","13","90.40","3764.084"
"USEP","01 Jul 2005","14","107.18","3911.365"
"USEP","01 Jul 2005","15","88.54","4101.105"
"USEP","01 Jul 2005","16","90.92","4358.362"
"USEP","01 Jul 2005","17","99.50","4509.813"
"USEP","01 Jul 2005","18","103.00","4708.906"
"USEP","01 Jul 2005","19","100.99","4827.386"
"USEP","01 Jul 2005","20","103.29","4903.208"
"USEP","01 Jul 2005","21","103.48","5006.266"
"USEP","01 Jul 2005","22","108.17","5045.494"
"USEP","01 Jul 2005","23","103.44","5025.271"
"USEP","01 Jul 2005","24","99.68","4963.594"
"USEP","01 Jul 2005","25","98.75","4917.651"
"USEP","01 Jul 2005","26","99.51","4937.004"
"USEP","01 Jul 2005","27","98.72","4986.118"
"USEP","01 Jul 2005","28","103.31","5033.278"
"USEP","01 Jul 2005","29","103.40","5043.596"
"USEP","01 Jul 2005","30","103.48","5065.543"
"USEP","01 Jul 2005","31","103.48","5072.596"
"USEP","01 Jul 2005","32","103.53","5079.608"
"USEP","01 Jul 2005","33","106.11","5053.804"
"USEP","01 Jul 2005","34","104.42","5001.579"
"USEP","01 Jul 2005","35","101.04","4900.564"
"USEP","01 Jul 2005","36","95.90","4746.042"
"USEP","01 Jul 2005","37","88.59","4631.528"
"USEP","01 Jul 2005","38","102.01","4641.920"
"USEP","01 Jul 2005","39","99.99","4677.774"
"USEP","01 Jul 2005","40","106.14","4625.927"
"USEP","01 Jul 2005","41","122.28","4582.618"
"USEP","01 Jul 2005","42","149.41","4540.512"
"USEP","01 Jul 2005","43","149.36","4477.940"
"USEP","01 Jul 2005","44","110.33","4396.551"
"USEP","01 Jul 2005","45","101.06","4324.014"
"USEP","01 Jul 2005","46","119.00","4260.120"
"USEP","01 Jul 2005","47","122.78","4190.207"
"USEP","01 Jul 2005","48","95.92","4037.161"
"USEP","02 Jul 2005","1","87.93","3963.774"
"USEP","02 Jul 2005","2","86.89","3933.874"
"USEP","02 Jul 2005","3","92.65","3832.387"
