"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jun 2005","1","95.95","3993.648"
"USEP","01 Jun 2005","2","134.41","3921.022"
"USEP","01 Jun 2005","3","131.25","3868.081"
"USEP","01 Jun 2005","4","124.16","3799.818"
"USEP","01 Jun 2005","5","120.36","3747.047"
"USEP","01 Jun 2005","6","116.20","3706.030"
"USEP","01 Jun 2005","7","112.05","3663.412"
"USEP","01 Jun 2005","8","111.14","3640.938"
"USEP","01 Jun 2005","9","106.06","3605.660"
"USEP","01 Jun 2005","10","106.06","3610.884"
"USEP","01 Jun 2005","11","111.14","3651.201"
"USEP","01 Jun 2005","12","116.20","3743.493"
"USEP","01 Jun 2005","13","117.19","3843.097"
"USEP","01 Jun 2005","14","117.21","3924.113"
"USEP","01 Jun 2005","15","88.52","4065.207"
"USEP","01 Jun 2005","16","98.49","4366.746"
"USEP","01 Jun 2005","17","118.20","4658.212"
"USEP","01 Jun 2005","18","102.79","4856.127"
"USEP","01 Jun 2005","19","99.00","4947.958"
"USEP","01 Jun 2005","20","102.80","5020.818"
"USEP","01 Jun 2005","21","106.83","5081.000"
"USEP","01 Jun 2005","22","104.95","5102.441"
"USEP","01 Jun 2005","23","103.01","5060.956"
"USEP","01 Jun 2005","24","101.32","4989.721"
"USEP","01 Jun 2005","25","99.13","4948.137"
"USEP","01 Jun 2005","26","100.33","4976.655"
"USEP","01 Jun 2005","27","102.21","5016.981"
"USEP","01 Jun 2005","28","102.22","5031.365"
"USEP","01 Jun 2005","29","102.46","5030.530"
"USEP","01 Jun 2005","30","104.28","5057.850"
"USEP","01 Jun 2005","31","104.28","5063.501"
"USEP","01 Jun 2005","32","104.21","5060.210"
"USEP","01 Jun 2005","33","101.38","5048.456"
"USEP","01 Jun 2005","34","101.35","5022.324"
"USEP","01 Jun 2005","35","99.11","4958.107"
"USEP","01 Jun 2005","36","88.78","4828.842"
"USEP","01 Jun 2005","37","88.91","4736.171"
"USEP","01 Jun 2005","38","91.02","4752.036"
"USEP","01 Jun 2005","39","93.27","4735.083"
"USEP","01 Jun 2005","40","94.52","4715.571"
"USEP","01 Jun 2005","41","122.20","4674.847"
"USEP","01 Jun 2005","42","123.26","4618.129"
"USEP","01 Jun 2005","43","121.10","4563.116"
"USEP","01 Jun 2005","44","121.06","4477.622"
"USEP","01 Jun 2005","45","117.13","4393.316"
"USEP","01 Jun 2005","46","101.01","4317.171"
"USEP","01 Jun 2005","47","96.91","4220.375"
"USEP","01 Jun 2005","48","93.62","4089.440"
"USEP","02 Jun 2005","1","95.96","3959.360"
"USEP","02 Jun 2005","2","145.57","3881.779"
"USEP","02 Jun 2005","3","143.46","3864.881"
"USEP","02 Jun 2005","4","133.29","3804.908"
"USEP","02 Jun 2005","5","125.21","3733.583"
"USEP","02 Jun 2005","6","117.12","3694.295"
"USEP","02 Jun 2005","7","113.00","3673.735"
"USEP","02 Jun 2005","8","112.06","3655.579"
"USEP","02 Jun 2005","9","112.00","3651.732"
"USEP","02 Jun 2005","10","112.98","3661.439"
"USEP","02 Jun 2005","11","113.00","3690.170"
"USEP","02 Jun 2005","12","131.21","3772.250"
"USEP","02 Jun 2005","13","137.39","3865.949"
"USEP","02 Jun 2005","14","137.54","3955.598"
"USEP","02 Jun 2005","15","88.84","4103.227"
"USEP","02 Jun 2005","16","98.51","4379.972"
"USEP","02 Jun 2005","17","119.08","4667.735"
"USEP","02 Jun 2005","18","100.86","4862.638"
"USEP","02 Jun 2005","19","102.88","4975.671"
"USEP","02 Jun 2005","20","100.32","5038.884"
"USEP","02 Jun 2005","21","100.40","5092.063"
"USEP","02 Jun 2005","22","104.22","5142.747"
"USEP","02 Jun 2005","23","104.42","5146.261"
"USEP","02 Jun 2005","24","104.22","5101.387"
"USEP","02 Jun 2005","25","99.09","5038.005"
"USEP","02 Jun 2005","26","99.14","5053.670"
"USEP","02 Jun 2005","27","102.87","5126.277"
"USEP","02 Jun 2005","28","104.39","5167.915"
"USEP","02 Jun 2005","29","104.42","5171.916"
"USEP","02 Jun 2005","30","120.26","5169.864"
"USEP","02 Jun 2005","31","119.19","5166.345"
"USEP","02 Jun 2005","32","104.40","5155.411"
"USEP","02 Jun 2005","33","103.01","5144.283"
"USEP","02 Jun 2005","34","100.97","5130.735"
"USEP","02 Jun 2005","35","100.95","5057.730"
"USEP","02 Jun 2005","36","99.13","4931.413"
"USEP","02 Jun 2005","37","86.51","4807.173"
"USEP","02 Jun 2005","38","87.68","4809.196"
"USEP","02 Jun 2005","39","102.74","4832.097"
"USEP","02 Jun 2005","40","87.74","4819.339"
"USEP","02 Jun 2005","41","123.21","4756.146"
"USEP","02 Jun 2005","42","144.59","4718.036"
"USEP","02 Jun 2005","43","134.44","4633.372"
"USEP","02 Jun 2005","44","129.28","4552.088"
"USEP","02 Jun 2005","45","123.91","4427.485"
"USEP","02 Jun 2005","46","112.13","4333.224"
"USEP","02 Jun 2005","47","102.53","4241.840"
"USEP","02 Jun 2005","48","100.85","4117.565"
"USEP","03 Jun 2005","1","98.48","3988.003"
"USEP","03 Jun 2005","2","155.64","3910.287"
"USEP","03 Jun 2005","3","155.70","3898.021"
"USEP","03 Jun 2005","4","145.67","3847.729"
"USEP","03 Jun 2005","5","145.63","3841.994"
"USEP","03 Jun 2005","6","138.38","3783.070"
"USEP","03 Jun 2005","7","134.20","3741.332"
"USEP","03 Jun 2005","8","133.28","3705.195"
"USEP","03 Jun 2005","9","132.20","3703.296"
"USEP","03 Jun 2005","10","133.28","3705.731"
"USEP","03 Jun 2005","11","133.30","3738.687"
"USEP","03 Jun 2005","12","137.31","3829.246"
"USEP","03 Jun 2005","13","150.49","3947.646"
"USEP","03 Jun 2005","14","145.53","4027.892"
