"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Mar 2005","1","88.01","3953.749"
"USEP","01 Mar 2005","2","90.88","3864.086"
"USEP","01 Mar 2005","3","87.72","3684.341"
"USEP","01 Mar 2005","4","87.70","3649.471"
"USEP","01 Mar 2005","5","86.81","3603.846"
"USEP","01 Mar 2005","6","85.65","3562.759"
"USEP","01 Mar 2005","7","84.81","3533.238"
"USEP","01 Mar 2005","8","84.76","3513.109"
"USEP","01 Mar 2005","9","84.72","3506.017"
"USEP","01 Mar 2005","10","84.76","3524.694"
"USEP","01 Mar 2005","11","84.80","3569.847"
"USEP","01 Mar 2005","12","86.82","3680.767"
"USEP","01 Mar 2005","13","85.64","3748.111"
"USEP","01 Mar 2005","14","84.82","3818.128"
"USEP","01 Mar 2005","15","75.52","3958.868"
"USEP","01 Mar 2005","16","82.40","4279.374"
"USEP","01 Mar 2005","17","88.78","4529.385"
"USEP","01 Mar 2005","18","85.26","4687.828"
"USEP","01 Mar 2005","19","88.51","4805.269"
"USEP","01 Mar 2005","20","85.71","4888.999"
"USEP","01 Mar 2005","21","213.58","4945.369"
"USEP","01 Mar 2005","22","239.23","4993.170"
"USEP","01 Mar 2005","23","234.65","5011.470"
"USEP","01 Mar 2005","24","86.92","4992.022"
"USEP","01 Mar 2005","25","85.53","4957.237"
"USEP","01 Mar 2005","26","85.83","4979.736"
"USEP","01 Mar 2005","27","87.86","5036.504"
"USEP","01 Mar 2005","28","88.77","5083.147"
"USEP","01 Mar 2005","29","89.45","5116.496"
"USEP","01 Mar 2005","30","89.59","5120.213"
"USEP","01 Mar 2005","31","88.84","5102.446"
"USEP","01 Mar 2005","32","88.86","5113.439"
"USEP","01 Mar 2005","33","88.84","5101.392"
"USEP","01 Mar 2005","34","88.87","5075.369"
"USEP","01 Mar 2005","35","86.23","4976.829"
"USEP","01 Mar 2005","36","83.71","4845.760"
"USEP","01 Mar 2005","37","81.73","4747.463"
"USEP","01 Mar 2005","38","81.72","4748.562"
"USEP","01 Mar 2005","39","82.73","4743.239"
"USEP","01 Mar 2005","40","82.71","4714.800"
"USEP","01 Mar 2005","41","86.91","4680.095"
"USEP","01 Mar 2005","42","87.74","4653.143"
"USEP","01 Mar 2005","43","87.79","4593.875"
"USEP","01 Mar 2005","44","86.86","4505.752"
"USEP","01 Mar 2005","45","86.88","4427.818"
"USEP","01 Mar 2005","46","86.29","4326.748"
"USEP","01 Mar 2005","47","85.70","4227.890"
"USEP","01 Mar 2005","48","84.84","4111.502"
"USEP","02 Mar 2005","1","97.59","3986.472"
"USEP","02 Mar 2005","2","97.58","3892.509"
"USEP","02 Mar 2005","3","97.35","3799.600"
"USEP","02 Mar 2005","4","97.35","3769.989"
"USEP","02 Mar 2005","5","91.23","3733.066"
"USEP","02 Mar 2005","6","90.70","3688.550"
