"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Sep 2005","1","134.54","3921.807"
"USEP","01 Sep 2005","2","148.97","3842.933"
"USEP","01 Sep 2005","3","147.44","3761.843"
"USEP","01 Sep 2005","4","126.75","3692.094"
"USEP","01 Sep 2005","5","121.08","3648.099"
"USEP","01 Sep 2005","6","97.68","3609.433"
"USEP","01 Sep 2005","7","96.41","3573.937"
"USEP","01 Sep 2005","8","96.15","3549.624"
"USEP","01 Sep 2005","9","95.40","3528.765"
"USEP","01 Sep 2005","10","95.23","3537.010"
"USEP","01 Sep 2005","11","95.98","3576.109"
"USEP","01 Sep 2005","12","96.32","3660.360"
"USEP","01 Sep 2005","13","97.31","3751.937"
"USEP","01 Sep 2005","14","96.22","3816.185"
"USEP","01 Sep 2005","15","96.09","3954.897"
"USEP","01 Sep 2005","16","98.00","4240.344"
"USEP","01 Sep 2005","17","123.46","4531.924"
"USEP","01 Sep 2005","18","101.20","4688.365"
"USEP","01 Sep 2005","19","127.48","4814.986"
"USEP","01 Sep 2005","20","125.74","4888.472"
"USEP","01 Sep 2005","21","135.21","4948.738"
"USEP","01 Sep 2005","22","135.24","4995.272"
"USEP","01 Sep 2005","23","137.89","4989.671"
"USEP","01 Sep 2005","24","135.55","4953.072"
"USEP","01 Sep 2005","25","127.71","4924.152"
"USEP","01 Sep 2005","26","135.10","4946.159"
"USEP","01 Sep 2005","27","139.75","4992.618"
"USEP","01 Sep 2005","28","139.75","5023.934"
"USEP","01 Sep 2005","29","139.75","5032.050"
"USEP","01 Sep 2005","30","139.74","5021.807"
"USEP","01 Sep 2005","31","121.51","5022.776"
"USEP","01 Sep 2005","32","121.53","5029.362"
"USEP","01 Sep 2005","33","113.53","5016.400"
"USEP","01 Sep 2005","34","108.52","4956.044"
"USEP","01 Sep 2005","35","101.11","4857.683"
"USEP","01 Sep 2005","36","100.01","4724.025"
"USEP","01 Sep 2005","37","99.89","4626.608"
"USEP","01 Sep 2005","38","100.02","4636.145"
"USEP","01 Sep 2005","39","100.11","4669.618"
"USEP","01 Sep 2005","40","100.33","4646.428"
"USEP","01 Sep 2005","41","129.49","4592.350"
"USEP","01 Sep 2005","42","134.15","4535.075"
"USEP","01 Sep 2005","43","107.82","4449.214"
"USEP","01 Sep 2005","44","99.63","4341.061"
"USEP","01 Sep 2005","45","99.62","4253.758"
"USEP","01 Sep 2005","46","105.06","4166.634"
"USEP","01 Sep 2005","47","117.29","4066.007"
"USEP","01 Sep 2005","48","109.33","3930.311"
"USEP","02 Sep 2005","1","101.67","3876.844"
"USEP","02 Sep 2005","2","100.97","3791.797"
"USEP","02 Sep 2005","3","115.17","3746.923"
"USEP","02 Sep 2005","4","98.47","3685.141"
"USEP","02 Sep 2005","5","97.83","3628.791"
"USEP","02 Sep 2005","6","97.56","3591.213"
"USEP","02 Sep 2005","7","96.54","3552.273"
"USEP","02 Sep 2005","8","96.57","3548.148"
"USEP","02 Sep 2005","9","96.47","3540.215"
"USEP","02 Sep 2005","10","96.34","3540.126"
"USEP","02 Sep 2005","11","97.03","3584.861"
"USEP","02 Sep 2005","12","97.84","3685.434"
"USEP","02 Sep 2005","13","97.85","3791.901"
"USEP","02 Sep 2005","14","97.56","3872.868"
"USEP","02 Sep 2005","15","97.05","4046.504"
"USEP","02 Sep 2005","16","97.77","4303.906"
"USEP","02 Sep 2005","17","100.15","4538.778"
"USEP","02 Sep 2005","18","100.11","4728.885"
"USEP","02 Sep 2005","19","110.22","4848.846"
"USEP","02 Sep 2005","20","121.54","4930.329"
"USEP","02 Sep 2005","21","124.30","4989.254"
"USEP","02 Sep 2005","22","132.02","5018.666"
"USEP","02 Sep 2005","23","122.54","5011.942"
"USEP","02 Sep 2005","24","120.27","4947.749"
"USEP","02 Sep 2005","25","105.33","4903.780"
"USEP","02 Sep 2005","26","121.72","4931.582"
"USEP","02 Sep 2005","27","125.92","4994.030"
"USEP","02 Sep 2005","28","140.26","5039.983"
"USEP","02 Sep 2005","29","139.74","5039.307"
"USEP","02 Sep 2005","30","139.73","5011.897"
"USEP","02 Sep 2005","31","132.35","5009.323"
"USEP","02 Sep 2005","32","139.76","4998.970"
"USEP","02 Sep 2005","33","121.70","4973.211"
"USEP","02 Sep 2005","34","121.70","4928.898"
"USEP","02 Sep 2005","35","102.31","4833.479"
"USEP","02 Sep 2005","36","102.25","4708.086"
"USEP","02 Sep 2005","37","100.18","4601.514"
"USEP","02 Sep 2005","38","100.17","4612.006"
"USEP","02 Sep 2005","39","101.40","4638.526"
"USEP","02 Sep 2005","40","100.22","4607.498"
"USEP","02 Sep 2005","41","102.63","4528.903"
"USEP","02 Sep 2005","42","101.66","4454.069"
"USEP","02 Sep 2005","43","113.72","4378.495"
"USEP","02 Sep 2005","44","142.27","4303.558"
"USEP","02 Sep 2005","45","143.90","4223.764"
"USEP","02 Sep 2005","46","132.59","4145.268"
"USEP","02 Sep 2005","47","112.69","4050.500"
"USEP","02 Sep 2005","48","105.87","3954.549"
"USEP","03 Sep 2005","1","103.35","3852.317"
"USEP","03 Sep 2005","2","88.24","3766.410"
"USEP","03 Sep 2005","3","103.66","3712.501"
"USEP","03 Sep 2005","4","104.35","3653.318"
"USEP","03 Sep 2005","5","107.60","3587.406"
"USEP","03 Sep 2005","6","104.38","3526.309"
"USEP","03 Sep 2005","7","103.57","3497.518"
"USEP","03 Sep 2005","8","103.47","3473.299"
"USEP","03 Sep 2005","9","103.45","3469.950"
"USEP","03 Sep 2005","10","102.56","3457.848"
"USEP","03 Sep 2005","11","97.91","3460.507"
"USEP","03 Sep 2005","12","92.51","3454.354"
"USEP","03 Sep 2005","13","92.68","3524.426"
"USEP","03 Sep 2005","14","88.17","3569.529"
"USEP","03 Sep 2005","15","88.12","3649.555"
"USEP","03 Sep 2005","16","94.82","3838.555"
"USEP","03 Sep 2005","17","96.95","4070.768"
"USEP","03 Sep 2005","18","103.03","4241.537"
"USEP","03 Sep 2005","19","103.56","4337.334"
"USEP","03 Sep 2005","20","104.54","4402.560"
"USEP","03 Sep 2005","21","105.24","4469.153"
"USEP","03 Sep 2005","22","104.53","4510.136"
"USEP","03 Sep 2005","23","104.52","4517.988"
"USEP","03 Sep 2005","24","104.52","4514.778"
"USEP","03 Sep 2005","25","112.46","4494.515"
"USEP","03 Sep 2005","26","106.97","4452.260"
"USEP","03 Sep 2005","27","104.30","4370.717"
"USEP","03 Sep 2005","28","103.03","4283.345"
"USEP","03 Sep 2005","29","103.18","4226.940"
"USEP","03 Sep 2005","30","96.37","4181.296"
