Name,type_cs,type_hs,type_dhw,type_ctrl,type_vent
"B001","T2","T0","T4","T2","T0"
"B002","T2","T0","T4","T2","T0"
"B003","T2","T0","T4","T2","T0"
"B004","T2","T0","T4","T2","T0"
"B005","T2","T0","T4","T2","T0"
"B006","T2","T0","T4","T2","T0"
"B007","T2","T0","T4","T2","T0"
"B008","T2","T0","T4","T2","T0"
"B009","T2","T0","T4","T2","T0"
"B010","T2","T0","T4","T2","T0"
"B011","T2","T0","T4","T2","T0"
"B012","T2","T0","T4","T2","T0"
"B013","T2","T0","T4","T2","T0"
"B014","T2","T0","T4","T2","T0"
"B015","T2","T0","T4","T2","T0"
"B016","T2","T0","T4","T2","T0"
"B017","T2","T0","T4","T2","T0"
"B018","T2","T0","T4","T2","T0"
"B019","T2","T0","T4","T2","T0"
"B020","T2","T0","T4","T2","T0"
"B021","T2","T0","T4","T2","T0"
"B022","T2","T0","T4","T2","T0"
