AREA_m2,BUILDING,SURFACE,TYPE,Xcoor,Xdir,Ycoor,Ydir,Zcoor,Zdir,orientation
167.139594315,B006,srf0,walls,371714.575681,-0.742674700327,140193.418332,-0.669652364659,16.75,0.0,west
90.0074261183,B006,srf1,walls,371714.575681,-0.742674700327,140193.418332,-0.669652364659,13.1158172856,0.0,west
90.007426118,B006,srf2,walls,371699.1767,-0.742674700327,140210.496497,-0.669652364659,4.63418271438,0.0,west
167.139594314,B006,srf3,walls,371702.729888,-0.742674700327,140206.555851,-0.669652364659,4.63418271438,0.0,west
90.0074261183,B006,srf4,walls,371690.884095,-0.742674700327,140219.693371,-0.669652364659,20.3841827144,0.0,west
167.139594315,B006,srf5,walls,371690.884095,-0.742674700327,140219.693371,-0.669652364659,16.75,0.0,west
167.139594314,B006,srf6,walls,371702.729888,-0.742674700327,140206.555851,-0.669652364659,28.8658172856,0.0,west
90.007426118,B006,srf7,walls,371699.1767,-0.742674700327,140210.496497,-0.669652364659,28.8658172856,0.0,west
123.537963996,B006,srf8,walls,371704.109988,-0.742674571071,140136.34639,-0.66965250801,16.75,0.0,west
66.5272296056,B006,srf9,walls,371704.109988,-0.742674571071,140136.34639,-0.66965250801,13.1158172856,0.0,west
66.5272296055,B006,srf10,walls,371692.72813,-0.742674571071,140148.96938,-0.66965250801,4.63418271438,0.0,west
123.537963996,B006,srf11,walls,371695.3544,-0.742674571071,140146.056729,-0.66965250801,4.63418271438,0.0,west
66.5272296054,B006,srf12,walls,371686.598811,-0.742674571071,140155.767068,-0.66965250801,20.3841827144,0.0,west
66.5272296055,B006,srf13,walls,371692.72813,-0.742674571071,140148.96938,-0.66965250801,28.8658172856,0.0,west
123.537963996,B006,srf14,walls,371695.3544,-0.742674571071,140146.056729,-0.66965250801,28.8658172856,0.0,west
123.537963996,B006,srf15,walls,371686.598811,-0.742674571071,140155.767068,-0.66965250801,16.75,0.0,west
290.677513284,B006,srf16,walls,371726.939022,0.742674739041,140246.922552,0.669652321724,16.75,-0.0,east
156.534631476,B006,srf17,walls,371726.939022,0.742674739041,140246.922552,0.669652321724,13.1158172856,-0.0,east
156.534631476,B006,srf18,walls,371753.719853,0.742674739041,140217.221397,0.669652321724,4.63418271438,-0.0,east
290.677513284,B006,srf19,walls,371747.540397,0.742674739041,140224.074694,0.669652321724,4.63418271438,-0.0,east
156.534631476,B006,srf20,walls,371768.141773,0.742674739041,140201.226836,0.669652321724,20.3841827144,-0.0,east
290.677513284,B006,srf21,walls,371768.141773,0.742674739041,140201.226836,0.669652321724,16.75,-0.0,east
290.677513284,B006,srf22,walls,371747.540397,0.742674739041,140224.074694,0.669652321724,28.8658172856,-0.0,east
156.534631476,B006,srf23,walls,371753.719853,0.742674739041,140217.221397,0.669652321724,28.8658172856,-0.0,east
163.506124294,B006,srf24,walls,371691.186617,-0.669652286322,140227.124085,0.742674770962,16.75,-0.0,north
88.0507426301,B006,srf25,walls,371691.186617,-0.669652286322,140227.124085,0.742674770962,13.1158172856,-0.0,north
88.0507426299,B006,srf26,walls,371707.89352,-0.669652286322,140242.188304,0.742674770962,4.63418271438,-0.0,north
163.506124294,B006,srf27,walls,371704.038539,-0.669652286322,140238.712359,0.742674770962,4.63418271438,-0.0,north
88.0507426297,B006,srf28,walls,371716.890462,-0.669652286322,140250.300634,0.742674770962,20.3841827144,-0.0,north
163.506124294,B006,srf29,walls,371716.890462,-0.669652286322,140250.300634,0.742674770962,16.75,-0.0,north
163.506124294,B006,srf30,walls,371704.038539,-0.669652286322,140238.712359,0.742674770962,28.8658172856,-0.0,north
88.0507426299,B006,srf31,walls,371707.89352,-0.669652286322,140242.188304,0.742674770962,28.8658172856,-0.0,north
167.139595485,B006,srf32,walls,371687.913917,-0.66965244111,140162.247031,0.742674631394,16.75,-0.0,north
90.0074267484,B006,srf33,walls,371687.913917,-0.66965244111,140162.247031,0.742674631394,13.1158172856,-0.0,north
90.0074267481,B006,srf34,walls,371704.992081,-0.66965244111,140177.646014,0.742674631394,4.63418271438,-0.0,north
167.139595485,B006,srf35,walls,371701.051436,-0.66965244111,140174.092826,0.742674631394,4.63418271438,-0.0,north
90.0074267484,B006,srf36,walls,371714.188954,-0.66965244111,140185.938621,0.742674631394,20.3841827144,-0.0,north
167.139595485,B006,srf37,walls,371714.188954,-0.66965244111,140185.938621,0.742674631394,16.75,-0.0,north
167.139595485,B006,srf38,walls,371701.051436,-0.66965244111,140174.092826,0.742674631394,28.8658172856,-0.0,north
90.0074267481,B006,srf39,walls,371704.992081,-0.66965244111,140177.646014,0.742674631394,28.8658172856,-0.0,north
330.645679129,B006,srf40,walls,371766.524875,0.669652465702,140187.330282,-0.742674609219,16.75,-0.0,south
178.058147488,B006,srf41,walls,371766.524875,0.669652465702,140187.330282,-0.742674609219,13.1158172856,-0.0,south
178.058147488,B006,srf42,walls,371732.739816,0.669652465702,140156.867079,-0.742674609219,4.63418271438,-0.0,south
330.645679129,B006,srf43,walls,371740.53544,0.669652465702,140163.896212,-0.742674609219,4.63418271438,-0.0,south
178.058147488,B006,srf44,walls,371714.546006,0.669652465702,140140.462142,-0.742674609219,20.3841827144,-0.0,south
330.645679129,B006,srf45,walls,371714.546006,0.669652465702,140140.462142,-0.742674609219,16.75,-0.0,south
330.645679129,B006,srf46,walls,371740.53544,0.669652465702,140163.896212,-0.742674609219,28.8658172856,-0.0,south
178.058147488,B006,srf47,walls,371732.739816,0.669652465702,140156.867079,-0.742674609219,28.8658172856,-0.0,south
420.12752634,B006,srf48,windows,371702.729888,-0.742674700327,140206.555851,-0.669652364659,16.75,0.0,west
310.529048701,B006,srf49,windows,371695.3544,-0.742674571071,140146.056729,-0.66965250801,16.75,0.0,west
730.656461861,B006,srf50,windows,371747.540397,0.742674739041,140224.074694,0.669652321724,16.75,-0.0,east
410.994317791,B006,srf51,windows,371704.038539,-0.669652286322,140238.712359,0.742674770962,16.75,-0.0,north
420.127529281,B006,srf52,windows,371701.051436,-0.66965244111,140174.092826,0.742674631394,16.75,-0.0,north
831.121744895,B006,srf53,windows,371740.53544,0.669652465702,140163.896212,-0.742674609219,16.75,-0.0,south
7.11483369331,B006,srf54,roofs,371771.300089,0.0,140191.649447,0.0,32.51,1.0,top
17.0428100308,B006,srf55,roofs,371771.813802,0.0,140195.940436,0.0,32.51,1.0,top
0.976382144369,B006,srf56,roofs,371769.977271,0.0,140199.176252,0.0,32.51,1.0,top
5.29587354715,B006,srf57,roofs,371766.027477,0.0,140186.895255,0.0,32.51,1.0,top
23.884972676,B006,srf58,roofs,371766.813802,0.0,140190.940436,0.0,32.51,1.0,top
25.0,B006,srf59,roofs,371766.813802,0.0,140195.940436,0.0,32.51,1.0,top
19.3873468023,B006,srf60,roofs,371766.813802,0.0,140200.940436,0.0,32.51,1.0,top
1.83388457986,B006,srf61,roofs,371765.223079,0.0,140204.448865,0.0,32.51,1.0,top
3.74495432998,B006,srf62,roofs,371760.754865,0.0,140182.141063,0.0,32.51,1.0,top
22.977811914,B006,srf63,roofs,371761.813802,0.0,140185.940436,0.0,32.51,1.0,top
25.0,B006,srf64,roofs,371761.813802,0.0,140190.940436,0.0,32.51,1.0,top
25.0,B006,srf65,roofs,371761.813802,0.0,140195.940436,0.0,32.51,1.0,top
25.0,B006,srf66,roofs,371761.813802,0.0,140200.940436,0.0,32.51,1.0,top
20.9879331328,B006,srf67,roofs,371761.813802,0.0,140205.940436,0.0,32.51,1.0,top
2.95942996516,B006,srf68,roofs,371760.468888,0.0,140209.721478,0.0,32.51,1.0,top
2.46207604181,B006,srf69,roofs,371755.482253,0.0,140177.386871,0.0,32.51,1.0,top
21.8026102231,B006,srf70,roofs,371756.813802,0.0,140180.940436,0.0,32.51,1.0,top
25.0,B006,srf71,roofs,371756.813802,0.0,140185.940436,0.0,32.51,1.0,top
25.0,B006,srf72,roofs,371756.813802,0.0,140190.940436,0.0,32.51,1.0,top
25.0,B006,srf73,roofs,371756.813802,0.0,140195.940436,0.0,32.51,1.0,top
