building_name,zone_name,zone_type,zone_height,zone_area,zone_comment
create_level_8_1a,zone1,open_space_zone,4.8,754.0,754
create_level_8_2a,zone1,open_space_zone,4.8,367.0,367
create_level_8_2a,zone2,open_space_zone,4.8,373.0,373
create_level_8_3a,zone1,open_space_zone,4.8,303.0,303
create_level_8_3a,zone2,open_space_zone,4.8,373.0,373
create_level_8_3a,zone3,open_space_zone,4.8,64.2712,9.98*6.44
create_level_8_4a,zone1,open_space_zone,4.8,295.0,295
create_level_8_4a,zone2,open_space_zone,4.8,282.0,282
create_level_8_4a,zone3,group_office_zone,3.0,68.2968,3.98*17.16
create_level_8_4a,zone4,group_office_zone,3.0,95.36,4*23.84
create_level_8_4b,zone1,open_space_zone,4.8,250.0,250
create_level_8_4b,zone2,open_space_zone,4.8,358.0,358
create_level_8_4b,zone3,open_space_zone,4.8,80.0,80
create_level_8_4b,zone4,open_space_zone,4.8,64.2712,9.98*6.44
create_level_8_5a,zone1,open_space_zone,4.8,235.0,235
create_level_8_5a,zone2,open_space_zone,4.8,282.0,282
create_level_8_5a,zone3,group_office_zone,3.0,68.2968,3.98*17.16
create_level_8_5a,zone4,group_office_zone,3.0,95.36,4*23.84
create_level_8_5a,zone5,open_space_zone,4.8,64.2712,9.98*6.44
create_level_8_6a,zone1,open_space_zone,4.8,178.464,17.16*10.4
create_level_8_6a,zone2,open_space_zone,4.8,248.8896,10.44*23.84
create_level_8_6a,zone3,group_office_zone,3.0,68.2968,3.98*17.16
create_level_8_6a,zone4,group_office_zone,3.0,95.36,4*23.84
create_level_8_6a,zone5,open_space_zone,4.8,80.0,80
create_level_8_6a,zone6,open_space_zone,4.8,64.2712,9.98*6.44
create_level_8_6b,zone1,open_space_zone,4.8,295.0,295
create_level_8_6b,zone2,open_space_zone,4.8,282.0,282
create_level_8_6b,zone3,group_office_zone,3.0,41.7502,3.98*(7.29+3.2)
create_level_8_6b,zone4,group_office_zone,3.0,25.3924,3.98*(3.2+3.18)
create_level_8_6b,zone5,group_office_zone,3.0,51.8,4*(3.25+3.2+6.5)
create_level_8_6b,zone6,group_office_zone,3.0,41.96,4*(3.2+7.29)
create_level_8_7a,zone1,open_space_zone,4.8,178.464,17.16*10.4
create_level_8_7a,zone2,open_space_zone,4.8,248.8896,10.44*23.84
create_level_8_7a,zone3,group_office_zone,3.0,68.2968,3.98*17.16
create_level_8_7a,zone4,group_office_zone,3.0,95.36,4*23.84
create_level_8_7a,zone5,open_space_zone,4.8,52.0,52
create_level_8_7a,zone6,open_space_zone,4.8,28.0,28
create_level_8_7a,zone7,open_space_zone,4.8,64.2712,9.98*6.44
create_level_8_7b,zone1,open_space_zone,4.8,235.0,235
create_level_8_7b,zone2,open_space_zone,4.8,282.0,282
create_level_8_7b,zone3,group_office_zone,3.0,41.7502,3.98*(7.29+3.2)
create_level_8_7b,zone4,group_office_zone,3.0,25.3924,3.98*(3.2+3.18)
create_level_8_7b,zone5,group_office_zone,3.0,51.8,4*(3.25+3.2+6.5)
create_level_8_7b,zone6,group_office_zone,3.0,41.96,4*(3.2+7.29)
create_level_8_7b,zone7,open_space_zone,4.8,64.2712,9.98*6.44
create_level_8_8a,zone1,open_space_zone,4.8,178.464,17.16*10.4
create_level_8_8a,zone2,open_space_zone,4.8,248.8896,10.44*23.84
create_level_8_8a,zone3,group_office_zone,3.0,68.2968,3.98*17.16
create_level_8_8a,zone4,group_office_zone,3.0,95.36,4*23.84
create_level_8_8a,zone5,group_office_zone,3.0,51.8,4*(3.25+3.2+6.5)
create_level_8_8a,zone6,group_office_zone,3.0,41.96,4*(3.2+7.29)
create_level_8_8a,zone7,open_space_zone,4.8,80.0,80
create_level_8_8a,zone8,open_space_zone,4.8,64.2712,9.98*6.44
