building_name,weather_type
create_level_8_1a,singapore_nus
create_level_8_2a,singapore_nus
create_level_8_3a,singapore_nus
create_level_8_4a,singapore_nus
create_level_8_4b,singapore_nus
create_level_8_5a,singapore_nus
create_level_8_6a,singapore_nus
create_level_8_6b,singapore_nus
create_level_8_7a,singapore_nus
create_level_8_7b,singapore_nus
create_level_8_8a,singapore_nus
create_level_8_9a,singapore_nus
create_level_8_9b,singapore_nus
create_level_8_10a,singapore_nus
create_level_8_11a,singapore_nus
create_level_8_11b,singapore_nus
create_level_8_11c,singapore_nus
create_level_8_12a,singapore_nus
create_level_8_12b,singapore_nus
create_level_8_13a,singapore_nus
create_level_8_14a,singapore_nus
