hour,occupancy,appliances,lighting,hot_water,heating,cooling,processes,servers,electromobility
Weekday_00,1.0,0.2,0.2,0.9,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_01,1.0,0.1,0.1,0.9,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_02,1.0,0.1,0.1,0.9,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_03,1.0,0.1,0.1,0.9,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_04,1.0,0.1,0.1,0.91,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_05,1.0,0.1,0.1,0.91,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_06,0.8,0.2,0.2,0.76,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_07,0.4,0.4,0.4,0.46,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_08,0.2,0.8,0.8,0.1,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_09,0.0,0.2,0.2,0.04,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_10,0.0,0.1,0.1,0.04,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_11,0.0,0.1,0.1,0.04,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_12,0.0,0.1,0.1,0.04,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_13,0.0,0.1,0.1,0.04,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_14,0.0,0.1,0.1,0.04,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_15,0.0,0.1,0.1,0.04,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_16,0.0,0.1,0.1,0.04,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_17,0.2,0.2,0.2,0.1,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_18,0.4,0.4,0.4,0.1,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_19,0.6,1.0,1.0,0.1,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_20,0.8,0.6,0.6,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_21,0.8,0.4,0.4,0.58,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_22,1.0,0.2,0.2,0.76,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_23,1.0,0.2,0.2,0.91,SETBACK,SETBACK,0.0,0.0,0.0
