description,code,material_name_1,thickness_1_m,material_name_2,thickness_2_m,material_name_3,thickness_3_m,a_roof,e_roof,r_roof,Service_Life_roof,Reference
concrete or rock pebbles finishing - new construction,ROOF_AS1,phenolic_resin_pf,0.116,steel_sheet_galvanised,0.002,concrete_1_percent_steel_reinforcement,0.1,0.6,0.94,0.4,60,artificial construction with U value and GHG emission matched with original code ROOF_AS1. Material selection does not have any physical meaning. Original reference: None
clay tiles - old contruction,ROOF_AS2,phenolic_resin_pf,0.077,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.002,0.55,0.91,0.44999999999999996,60,artificial construction with U value and GHG emission matched with original code ROOF_AS2. Material selection does not have any physical meaning. Original reference: None
aluminum tiles - old construction,ROOF_AS3,phenolic_resin_pf,0.077,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.002,0.3,0.09,0.7,60,artificial construction with U value and GHG emission matched with original code ROOF_AS3. Material selection does not have any physical meaning. Original reference: None
greenery - new roof,ROOF_AS4,phenolic_resin_pf,0.157,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.001,0.5,0.95,0.5,60,artificial construction with U value and GHG emission matched with original code ROOF_AS4. Material selection does not have any physical meaning. Original reference: None
white paint  over plaster over concrete - new roof,ROOF_AS5,phenolic_resin_pf,0.156,steel_sheet_galvanised,0.001,concrete_1_percent_steel_reinforcement,0.1,0.3,0.84,0.7,60,artificial construction with U value and GHG emission matched with original code ROOF_AS5. Material selection does not have any physical meaning. Original reference: None
dark paint over plaster over concrete - new roof,ROOF_AS6,phenolic_resin_pf,0.156,steel_sheet_galvanised,0.001,concrete_1_percent_steel_reinforcement,0.1,0.85,0.94,0.15000000000000002,60,artificial construction with U value and GHG emission matched with original code ROOF_AS6. Material selection does not have any physical meaning. Original reference: None
concrete or rock pebbles finishing - Singapore,ROOF_AS7,phenolic_resin_pf,0.036,stainless_steel_sheet_plain,0.004,concrete_1_percent_steel_reinforcement,0.1,0.6,0.94,0.4,60,artificial construction with U value and GHG emission matched with original code ROOF_AS7. Material selection does not have any physical meaning. Original reference: None
"retrofit flat roof, add insulation, conventional, sia 380",ROOF_AS8_C,phenolic_resin_pf,0.093,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.0,0.85,0.94,0.15000000000000002,60,artificial construction with U value and GHG emission matched with original code ROOF_AS8_C. Material selection does not have any physical meaning. Original reference: None
"retrofit flat roof, add insulation, low carbon, sia 380",ROOF_AS8_L,glass_wool_supafil,0.127,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.0,0.85,0.94,0.15000000000000002,60,artificial construction with U value and GHG emission matched with original code ROOF_AS8_L. Material selection does not have any physical meaning. Original reference: None
"new building, flat roof, conventional, sia 380",ROOF_AS9_C,phenolic_resin_pf,0.138,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.002,0.85,0.94,0.15,60,artificial construction with U value and GHG emission matched with original code ROOF_AS9_C. Material selection does not have any physical meaning. Original reference: None
"new building, flat roof, low carbon, sia 380",ROOF_AS9_L,phenolic_resin_pf,0.138,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.002,0.85,0.94,0.15,60,artificial construction with U value and GHG emission matched with original code ROOF_AS9_L. Material selection does not have any physical meaning. Original reference: None
NoRotrofit,ROOF_NoRet,glass_wool_supafil,0.16,brass_bronze_sheet,0.0,stainless_steel_sheet_tinned,0.0,0.6,0.94,0.4,60,artificial construction with U value and GHG emission matched with original code ROOF_NoRet. Material selection does not have any physical meaning. Original reference: None
