description,code,material_name_1,thickness_1_m,material_name_2,thickness_2_m,material_name_3,thickness_3_m,a_wall,e_wall,r_wall,Service_Life_wall,Reference
clay brick common red exposed- new building,WALL_AS1,phenolic_resin_pf,0.116,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.001,0.68,0.92,0.31999999999999995,30,artificial construction with U value and GHG emission matched with original code WALL_AS1. Material selection does not have any physical meaning. Original reference: None
concrete block exposed- old building,WALL_AS2,phenolic_resin_pf,0.027,stainless_steel_sheet_plain,0.004,concrete_1_percent_steel_reinforcement,0.1,0.6,0.95,0.4,30,artificial construction with U value and GHG emission matched with original code WALL_AS2. Material selection does not have any physical meaning. Original reference: None
white paint  over plaster over clay brick- old building,WALL_AS3,phenolic_resin_pf,0.026,steel_sheet_galvanised,0.0,stainless_steel_sheet_plain,0.005,0.3,0.84,0.7,30,artificial construction with U value and GHG emission matched with original code WALL_AS3. Material selection does not have any physical meaning. Original reference: None
dark blue over plaster over clay brick - new building,WALL_AS4,phenolic_resin_pf,0.156,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.001,0.65,0.9,0.35,30,artificial construction with U value and GHG emission matched with original code WALL_AS4. Material selection does not have any physical meaning. Original reference: None
dark paint over plaster over clay brick - new building,WALL_AS5,phenolic_resin_pf,0.156,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.001,0.85,0.94,0.15000000000000002,30,artificial construction with U value and GHG emission matched with original code WALL_AS5. Material selection does not have any physical meaning. Original reference: None
concrete block exposed- NTU,WALL_AS6,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.001,concrete_1_percent_steel_reinforcement,0.339,0.6,0.95,0.4,30,artificial construction with U value and GHG emission matched with original code WALL_AS6. Material selection does not have any physical meaning. Original reference: None
Internal partition in brick,WALL_AS7,foam_glass_glapor,0.008,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.001,0.6,0.95,0.4,30,artificial construction with U value and GHG emission matched with original code WALL_AS7. Material selection does not have any physical meaning. Original reference: None
Internal partition in drywall,WALL_AS8,foam_glass_glapor,0.008,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.002,0.6,0.95,0.4,30,artificial construction with U value and GHG emission matched with original code WALL_AS8. Material selection does not have any physical meaning. Original reference: None
"retrofit external wall, add insulation, conventional, sia 380",WALL_AS9_C,phenolic_resin_pf,0.092,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.0,0.3,0.9,0.7,30,artificial construction with U value and GHG emission matched with original code WALL_AS9_C. Material selection does not have any physical meaning. Original reference: None
"retrofit external wall, add insulation, low carbon, sia 380",WALL_AS9_L,glass_wool_supafil,0.127,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.0,0.3,0.9,0.7,30,artificial construction with U value and GHG emission matched with original code WALL_AS9_L. Material selection does not have any physical meaning. Original reference: None
"new building, msonary external wall, conventional , sia 380",WALL_AS10_C,phenolic_resin_pf,0.137,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.001,0.3,0.9,0.7,30,artificial construction with U value and GHG emission matched with original code WALL_AS10_C. Material selection does not have any physical meaning. Original reference: None
"new building, msonary external wall,  low carbon, sia 380",WALL_AS10_L,phenolic_resin_pf,0.137,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.0,0.3,0.9,0.7,30,artificial construction with U value and GHG emission matched with original code WALL_AS10_L. Material selection does not have any physical meaning. Original reference: None
"new building, internal partition, conventional",WALL_AS11_C,phenolic_resin_pf,0.024,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.0,0.6,0.95,0.4,30,artificial construction with U value and GHG emission matched with original code WALL_AS11_C. Material selection does not have any physical meaning. Original reference: None
"new building, internal partition, low carbon",WALL_AS11_L,phenolic_resin_pf,0.024,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.0,0.6,0.95,0.4,30,artificial construction with U value and GHG emission matched with original code WALL_AS11_L. Material selection does not have any physical meaning. Original reference: None
NoRotrofit,WALL_NoRet,glass_wool_supafil,0.036,brass_bronze_sheet,0.0,stainless_steel_sheet_tinned,0.0,0.3,0.84,0.7,60,artificial construction with U value and GHG emission matched with original code WALL_NoRet. Material selection does not have any physical meaning. Original reference: None
