description,code,primary_components,secondary_components,tertiary_components,scale,reference
none,SUPPLY_HEATING_AS0,-,-,-,NONE,educated guess
oil-fired boiler,SUPPLY_HEATING_AS1,BO2,-,-,BUILDING,Connolly et al. (2013). Costs in the EU boiler <25 kW)
coal-fired furnace,SUPPLY_HEATING_AS2,BO4,-,-,BUILDING,Connolly et al. (2013). Costs in the EU boiler <25 kW)
natural gas-fired boiler,SUPPLY_HEATING_AS3,BO1,-,-,BUILDING,Connolly et al. (2013). Costs in the EU boiler <25 kW)
electrical boiler,SUPPLY_HEATING_AS4,BO5,-,-,BUILDING,educated guess
wood-furnace,SUPPLY_HEATING_AS5,BO6,-,-,BUILDING,educated guess
heatpump - soil/water,SUPPLY_HEATING_AS6,HP1,-,-,BUILDING,educated guess
heatpump - air/air,SUPPLY_HEATING_AS7,HP3,-,-,BUILDING,educated guess
heatpump - water/water,SUPPLY_HEATING_AS8,HP2,-,-,BUILDING,educated guess
district heating - natural gas-fired boiler,SUPPLY_HEATING_AS9,BO1,-,-,DISTRICT,educated guess
district heating - heatpump - soil/water,SUPPLY_HEATING_AS10,HP1,-,-,DISTRICT,educated guess
district heating - heat pump - water/water,SUPPLY_HEATING_AS11,HP2,-,-,DISTRICT,educated guess
