hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
1,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
2,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
3,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
4,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
5,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
6,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
7,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
8,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
9,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
10,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
11,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
12,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
13,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
14,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
15,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
16,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
17,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
18,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
19,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
20,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
21,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
22,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
23,0.005,0.2261,0.2261,https://file.go.gov.sg/studyofhydrogenimportsanddownstreamapplicationsforsingapore.pdf
