hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2017"
1,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2018"
2,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2019"
3,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2020"
4,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2021"
5,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2022"
6,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2023"
7,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2024"
8,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2025"
9,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2026"
10,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2027"
11,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2028"
12,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2029"
13,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2030"
14,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2031"
15,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2032"
16,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2033"
17,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2034"
18,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2035"
19,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2036"
20,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2037"
21,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2038"
22,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2039"
23,0,0.6,0.6,"from CEA, costs in USD-2015, CH-zurich-stormtariff 2040"
