description,code,primary_components,secondary_components,tertiary_components,scale,reference
none,SUPPLY_HOTWATER_AS0,-,-,-,NONE,educated guess
oil-fired boiler - Konstanttemperaturkessel - 10 kW ,SUPPLY_HOTWATER_AS1,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Konstanttemperaturkessel - 50 kW,SUPPLY_HOTWATER_AS2,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Konstanttemperaturkessel - 100 kW,SUPPLY_HOTWATER_AS3,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Niedertemperaturkessel - 10 kW,SUPPLY_HOTWATER_AS4,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Niedertemperaturkessel -  50 kW,SUPPLY_HOTWATER_AS5,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Niedertemperaturkessel - 100 kW,SUPPLY_HOTWATER_AS6,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler  - Brennwertgerät -  10 kW,SUPPLY_HOTWATER_AS7,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler  - Brennwertgerät -  50 kW,SUPPLY_HOTWATER_AS8,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler  - Brennwertgerät -  100 kW,SUPPLY_HOTWATER_AS9,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Konstanttemperaturkessel - 10 kW,SUPPLY_HOTWATER_AS10,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Konstanttemperaturkessel - 50 kW,SUPPLY_HOTWATER_AS11,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Konstanttemperaturkessel - 100 kW,SUPPLY_HOTWATER_AS12,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Niedertemperaturkessel - 10 kW,SUPPLY_HOTWATER_AS13,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Niedertemperaturkessel - 50 kW,SUPPLY_HOTWATER_AS14,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Niedertemperaturkessel - 100 kW,SUPPLY_HOTWATER_AS15,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler  - Brennwertgerät - 10 kW,SUPPLY_HOTWATER_AS16,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas- boiler  - Brennwertgerät - 50 kW,SUPPLY_HOTWATER_AS17,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler  - Brennwertgerät -  100 kW,SUPPLY_HOTWATER_AS18,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
biomass boiler - 10 kW,SUPPLY_HOTWATER_AS19,BO7,-,-,BUILDING,KEA Technikatalog
biomass boiler - 50 kW,SUPPLY_HOTWATER_AS20,BO7,-,-,BUILDING,KEA Technikatalog
biomass boiler - 100 kW,SUPPLY_HOTWATER_AS21,BO7,-,-,BUILDING,KEA Technikatalog
heatpump  soil/water - 10 kW,SUPPLY_HOTWATER_AS22,HP1,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  soil/water - 50 kW,SUPPLY_HOTWATER_AS23,HP1,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  soil/water - 100 kW,SUPPLY_HOTWATER_AS24,HP1,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  air/water -  10 kW,SUPPLY_HOTWATER_AS25,HP3,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  air/water -  50 kW,SUPPLY_HOTWATER_AS26,HP3,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  air/water -  100 kW,SUPPLY_HOTWATER_AS27,HP3,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump - air/air,SUPPLY_HOTWATER_AS28,HP4,-,-,BUILDING,"from CEA Switzerland, adjustments required, educated guess"
heatpump - water/water,SUPPLY_HOTWATER_AS29,HP2,-,-,BUILDING,"from CEA Switzerland, adjustments required, educated guess"
electrical boiler,SUPPLY_HOTWATER_AS31,BO5,-,-,BUILDING,"from CEA Switzerland, adjustments required"
wood-furnace,SUPPLY_HOTWATER_AS32,BO6,-,-,BUILDING,"from CEA Switzerland, adjustments required"
district heating - natural gas-fired boiler,SUPPLY_HOTWATER_AS33,BO1,-,-,DISTRICT,from https://ens.dk/en/our-services/projections-and-models/technology-data/technology-data-generation-electricity-and
district heating - heatpump - soil/water,SUPPLY_HOTWATER_AS34,HP1,-,-,DISTRICT,from https://ens.dk/en/our-services/projections-and-models/technology-data/technology-data-generation-electricity-and
district heating - heat pump - water/water,SUPPLY_HOTWATER_AS35,HP2,-,-,DISTRICT,from https://ens.dk/en/our-services/projections-and-models/technology-data/technology-data-generation-electricity-and
Flatplate collector,SUPPLY_HOTWATER_AS36,SC1,-,-,BUILDING,KEA Technikatalog
