description,code,type,cap_min,cap_max,unit,min_eff_rating_seasonal,V_power_supply,T_evap_design,T_cond_design,medium_evap_side,medium_cond_side,currency,a,b,c,d,e,LT_yr,O&M_%,IR_%,assumption,reference
geothermal heat pump - closed loop,HP1,geothermal,0,40000,W,4.3,380,0,27,brine,water,USD-2015,0,0.99914966,1,0,0,20,1,5,,KEA badenwürttemberg
geothermal heat pump - closed loop,HP1,geothermal,40000,100000000,W,4.3,380,0,27,brine,water,USD-2015,0,0.549319728,1,0,0,20,1,5,,KEA badenwürttemberg
water-source heat pump,HP2,water-source,0,20000,W,4.9,380,20,27,water,water,USD-2015,0,0.862244898,1,0,0,25,5,6,,KEA badenwürttemberg
water-source heat pump,HP2,water-source,20000,40000,W,4.9,380,20,27,water,water,USD-2015,0,0.573979592,1,0,0,25,5,6,,KEA badenwürttemberg
water-source heat pump,HP2,water-source,40000,60000,W,4.9,380,20,27,water,water,USD-2015,0,0.454931973,1,0,0,25,5,6,,KEA badenwürttemberg
water-source heat pump,HP2,water-source,60000,20000000,W,4.9,380,20,27,water,water,USD-2015,0,0.323979592,1,0,0,25,5,6,,KEA badenwürttemberg
air-water heat pump,HP3,air-source,0,20000,W,3.4,230,7,35,air,water,USD-2015,0,1.071428571,1,0,0,25,5,6,,KEA badenwürttemberg
air-water heat pump,HP3,air-source,20000,40000,W,3.3,230,7,35,air,water,USD-2015,0,0.927721088,1,0,0,25,5,6,,KEA badenwürttemberg
air-water heat pump,HP3,air-source,40000,60000,W,3.3,230,7,35,air,water,USD-2015,0,0.853741497,1,0,0,25,5,6,,KEA badenwürttemberg
air-water heat pump,HP3,air-source,60000,10000000,W,3.2,230,7,35,air,water,USD-2015,0,0.75255102,1,0,0,25,5,6,,KEA badenwürttemberg
direct-expansion unit,HP4,air-air,0,80000,W,3.4,230,7,35,air,air,USD-2015,0,0.927721088,1,0,0,25,5,6,,educated guess
