hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
1,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
2,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
3,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
4,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
5,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
6,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
7,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
8,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
9,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
10,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
11,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
12,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
13,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
14,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
15,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
16,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
17,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
18,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
19,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
20,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
21,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
22,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
23,0.036111111111111115,0.13,0.13,"KBOB 2009/1:2016, ID 41.009 Biogas, oekostromanbieter.org 2023"
