hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
1,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
2,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
3,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
4,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
5,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
6,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
7,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
8,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
9,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
10,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
11,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
12,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
13,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
14,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
15,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
16,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
17,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
18,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
19,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
20,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
21,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
22,0.091,0.35,0.35,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
23,0.091,0.3500000000000003,0.3500000000000003,"destatis.de Prices Data on energy price trends 2022, https://www.redcert.org/images/SG_DE_THG_Berechnung_Vers04.pdf für GHG"
