hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
1,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
2,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
3,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
4,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
5,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
6,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
7,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
8,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
9,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
10,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
11,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
12,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
13,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
14,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
15,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
16,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
17,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
18,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
19,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
20,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
21,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
22,0.06333333333333334,0.093,0.093,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
23,0.06333333333333334,0.093,0.09299999999999999,"KBOB 2009/1:2016, ID 41.002 Erdgas, destatis.de Prices Data on energy price trends 2022"
