hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
1,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
2,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
3,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
4,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
5,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
6,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
7,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
8,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
9,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
10,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
11,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
12,0.0075,0.082,0.082,"KBOB 2009/1:2016, ID 41.006 Stückholz (average), https://www.stuttgarter-nachrichten.de/inhalt.gas-holz-heizen-vergleich-mhsd.8f4b9f41-02ae-4668-9663-bed3d613b4fe.html 2022"
