METADATA,DINEN16798undDIN18599,SINGLE_RES,,,,,,,,,,
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY,,
WEEKDAY,1,1.0,0.5,0,0.04,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,2,1.0,0.5,0,0.01,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,3,1.0,0.5,0,0.01,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,4,1.0,0.5,0,0.02,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,5,1.0,0.5,0,0.38,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,6,1.0,0.5,0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,7,0.5,0.5,0.15,0.81,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,8,0.5,0.7,0.15,0.67,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,9,0.5,0.7,0.15,0.51,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,10,0.1,0.5,0.15,0.45,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,11,0.1,0.5,0.05,0.42,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,12,0.1,0.6,0.05,0.63,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,13,0.1,0.6,0.05,0.56,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,14,0.2,0.6,0.05,0.32,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,15,0.2,0.6,0.05,0.28,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,16,0.2,0.5,0.2,0.32,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,17,0.5,0.5,0.2,0.56,SETPOINT,SETPOINT,0.0,0.0,0.0,,
