hour,occupancy,appliances,lighting,hot_water,heating,cooling,processes,servers,electromobility
Weekday_00,0.0,0.4,0.4,0.05,OFF,OFF,0.0,0.0,0.0
Weekday_01,0.0,0.4,0.4,0.05,OFF,OFF,0.0,0.0,0.0
Weekday_02,0.0,0.4,0.4,0.05,OFF,OFF,0.0,0.0,0.0
Weekday_03,0.0,0.4,0.4,0.05,OFF,OFF,0.0,0.0,0.0
Weekday_04,0.0,0.4,0.4,0.05,OFF,OFF,0.0,0.0,0.0
Weekday_05,0.0,0.4,0.4,0.08,OFF,OFF,0.0,0.0,0.0
Weekday_06,0.1,0.4,0.4,0.07,OFF,SETPOINT,0.0,0.0,0.0
Weekday_07,0.2,0.4,0.4,0.19,OFF,SETPOINT,0.0,0.0,0.0
Weekday_08,0.95,0.9,0.9,0.35,OFF,SETPOINT,0.0,0.0,0.0
Weekday_09,0.95,0.9,0.9,0.38,OFF,SETPOINT,0.0,0.0,0.0
Weekday_10,0.95,0.9,0.9,0.39,OFF,SETPOINT,0.0,0.0,0.0
Weekday_11,0.95,0.9,0.9,0.47,OFF,SETPOINT,0.0,0.0,0.0
Weekday_12,0.5,0.8,0.8,0.57,OFF,SETPOINT,0.0,0.0,0.0
Weekday_13,0.95,0.9,0.9,0.54,OFF,SETPOINT,0.0,0.0,0.0
Weekday_14,0.95,0.9,0.9,0.34,OFF,SETPOINT,0.0,0.0,0.0
Weekday_15,0.95,0.9,0.9,0.33,OFF,SETPOINT,0.0,0.0,0.0
Weekday_16,0.95,0.9,0.9,0.44,OFF,SETPOINT,0.0,0.0,0.0
Weekday_17,0.3,0.5,0.5,0.26,OFF,SETPOINT,0.0,0.0,0.0
Weekday_18,0.1,0.4,0.4,0.21,OFF,OFF,0.0,0.0,0.0
Weekday_19,0.1,0.4,0.4,0.15,OFF,OFF,0.0,0.0,0.0
Weekday_20,0.1,0.4,0.4,0.17,OFF,OFF,0.0,0.0,0.0
Weekday_21,0.1,0.4,0.4,0.08,OFF,OFF,0.0,0.0,0.0
Weekday_22,0.05,0.4,0.4,0.05,OFF,OFF,0.0,0.0,0.0
Weekday_23,0.05,0.4,0.4,0.05,OFF,OFF,0.0,0.0,0.0
Saturday_00,0.0,0.3,0.3,0.05,OFF,OFF,0.0,0.0,0.0
Saturday_01,0.0,0.3,0.3,0.05,OFF,OFF,0.0,0.0,0.0
Saturday_02,0.0,0.3,0.3,0.05,OFF,OFF,0.0,0.0,0.0
Saturday_03,0.0,0.3,0.3,0.05,OFF,OFF,0.0,0.0,0.0
Saturday_04,0.0,0.3,0.3,0.05,OFF,OFF,0.0,0.0,0.0
Saturday_05,0.0,0.3,0.3,0.08,OFF,OFF,0.0,0.0,0.0
Saturday_06,0.1,0.4,0.4,0.07,OFF,SETPOINT,0.0,0.0,0.0
Saturday_07,0.1,0.4,0.4,0.11,OFF,SETPOINT,0.0,0.0,0.0
Saturday_08,0.3,0.5,0.5,0.15,OFF,SETPOINT,0.0,0.0,0.0
Saturday_09,0.3,0.5,0.5,0.21,OFF,SETPOINT,0.0,0.0,0.0
Saturday_10,0.3,0.5,0.5,0.19,OFF,SETPOINT,0.0,0.0,0.0
Saturday_11,0.3,0.5,0.5,0.23,OFF,SETPOINT,0.0,0.0,0.0
Saturday_12,0.1,0.35,0.35,0.2,OFF,SETPOINT,0.0,0.0,0.0
Saturday_13,0.1,0.35,0.35,0.19,OFF,SETPOINT,0.0,0.0,0.0
Saturday_14,0.1,0.35,0.35,0.15,OFF,SETPOINT,0.0,0.0,0.0
Saturday_15,0.1,0.35,0.35,0.12,OFF,SETPOINT,0.0,0.0,0.0
Saturday_16,0.1,0.35,0.35,0.14,OFF,SETPOINT,0.0,0.0,0.0
