hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
1,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
2,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
3,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
4,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
5,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
6,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
7,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
8,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
9,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
10,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
11,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
12,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
13,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
14,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
15,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
16,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
17,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
18,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
19,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
20,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
21,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
22,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
23,0.136,0.17808,0.17808,https://www.ema.gov.sg/Residential_Electricity_Tariffs.
