hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
1,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
2,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
3,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
4,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
5,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
6,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
7,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
8,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
9,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
10,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
11,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
12,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
13,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
14,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
15,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
16,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
17,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
18,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
19,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
20,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
21,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
22,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
23,0.06682,0.09,0.09,"PEN and CO2 from ecoinvent 3.4 - market for natural gas, burned in gas motor, for storage_GLO_2017_Allocation, cut-off,cost from Werke am Zurich see"
