hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2015"
1,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2016"
2,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2017"
3,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2018"
4,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2019"
5,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2020"
6,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2021"
7,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2022"
8,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2023"
9,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2024"
10,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2025"
11,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2026"
12,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2027"
13,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2028"
14,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2029"
15,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2030"
16,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2031"
17,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2032"
18,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2033"
19,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2034"
20,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2035"
21,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2036"
22,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2037"
23,0.0001,0.15,0.15,"PEN and CO2 zero equivalent due to renewable technology, cost from CEA, costs in USD-2038"
