METADATA,,,,,,,,,,,,
MONTHLY_MULTIPLIER,1,1,1,1,1,1,1,1,1,1,1,1
PROCESSES,ELECTROMOBILITY,HOUR,HEATING,OCCUPANCY,SERVERS,WATER,COOLING,LIGHTING,APPLIANCES,DAY,,
0.04,0,1,OFF,0.04,0.04,0.07,SETBACK,0.26,0.28,WEEKDAY,,
0.03,0,2,OFF,0.03,0.03,0.06,SETBACK,0.26,0.27,WEEKDAY,,
0.03,0,3,OFF,0.03,0.03,0.06,SETBACK,0.26,0.28,WEEKDAY,,
0.03,0,4,OFF,0.03,0.03,0.04,SETBACK,0.26,0.27,WEEKDAY,,
0.03,0,5,OFF,0.03,0.03,0.04,SETBACK,0.26,0.28,WEEKDAY,,
0.04,0,6,OFF,0.04,0.04,0.05,SETBACK,0.26,0.3,WEEKDAY,,
0.07,0,7,OFF,0.07,0.07,0.13,SETPOINT,0.27,0.31,WEEKDAY,,
0.16,0,8,OFF,0.16,0.16,0.28,SETPOINT,0.28,0.33,WEEKDAY,,
0.43,0,9,OFF,0.43,0.43,0.41,SETPOINT,0.56,0.65,WEEKDAY,,
0.47,0,10,OFF,0.47,0.47,0.41,SETPOINT,0.69,0.68,WEEKDAY,,
0.56,0,11,OFF,0.56,0.56,0.41,SETPOINT,0.87,0.72,WEEKDAY,,
0.62,0,12,OFF,0.62,0.62,0.46,SETPOINT,0.87,0.73,WEEKDAY,,
0.64,0,13,OFF,0.64,0.64,0.48,SETPOINT,0.84,0.67,WEEKDAY,,
0.74,0,14,OFF,0.74,0.74,0.47,SETPOINT,0.87,0.72,WEEKDAY,,
0.68,0,15,OFF,0.68,0.68,0.41,SETPOINT,0.87,0.71,WEEKDAY,,
0.64,0,16,OFF,0.64,0.64,0.41,SETPOINT,0.87,0.71,WEEKDAY,,
0.7,0,17,OFF,0.7,0.7,0.44,SETPOINT,0.86,0.71,WEEKDAY,,
0.52,0,18,OFF,0.52,0.52,0.39,SETPOINT,0.73,0.48,WEEKDAY,,
0.44,0,19,OFF,0.44,0.44,0.34,SETBACK,0.71,0.43,WEEKDAY,,
0.45,0,20,OFF,0.45,0.45,0.31,SETBACK,0.71,0.43,WEEKDAY,,
0.36,0,21,OFF,0.36,0.36,0.29,SETBACK,0.59,0.41,WEEKDAY,,
0.29,0,22,OFF,0.29,0.29,0.19,SETBACK,0.59,0.4,WEEKDAY,,
0.12,0,23,OFF,0.12,0.12,0.13,SETBACK,0.27,0.32,WEEKDAY,,
0.09,0,24,OFF,0.09,0.09,0.09,SETBACK,0.26,0.28,WEEKDAY,,
0.04,0,1,OFF,0.04,0.04,0.08,SETBACK,0.2,0.21,SATURDAY,,
0.03,0,2,OFF,0.03,0.03,0.07,SETBACK,0.2,0.21,SATURDAY,,
0.03,0,3,OFF,0.03,0.03,0.07,SETBACK,0.2,0.21,SATURDAY,,
0.03,0,4,OFF,0.03,0.03,0.04,SETBACK,0.2,0.21,SATURDAY,,
0.03,0,5,OFF,0.03,0.03,0.04,SETBACK,0.2,0.22,SATURDAY,,
0.03,0,6,OFF,0.03,0.03,0.05,SETBACK,0.21,0.24,SATURDAY,,
0.06,0,7,OFF,0.06,0.06,0.13,SETPOINT,0.24,0.31,SATURDAY,,
0.15,0,8,OFF,0.15,0.15,0.14,SETPOINT,0.24,0.32,SATURDAY,,
0.25,0,9,OFF,0.25,0.25,0.14,SETPOINT,0.37,0.4,SATURDAY,,
0.27,0,10,OFF,0.27,0.27,0.26,SETPOINT,0.49,0.43,SATURDAY,,
0.36,0,11,OFF,0.36,0.36,0.24,SETPOINT,0.67,0.47,SATURDAY,,
0.45,0,12,OFF,0.45,0.45,0.27,SETPOINT,0.73,0.49,SATURDAY,,
0.49,0,13,OFF,0.49,0.49,0.26,SETPOINT,0.69,0.4,SATURDAY,,
0.49,0,14,OFF,0.49,0.49,0.25,SETPOINT,0.69,0.4,SATURDAY,,
0.46,0,15,OFF,0.46,0.46,0.25,SETPOINT,0.69,0.39,SATURDAY,,
