METADATA,SG-ASHRAE-2009,SCHOOL
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,2,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,3,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,4,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,5,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,6,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,7,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,8,0.0,0.35,0.35,0.1,OFF,OFF,0.0,0.0,0.0
WEEKDAY,9,0.95,0.95,0.95,0.34,OFF,OFF,0.0,0.0,0.0
WEEKDAY,10,0.95,0.95,0.95,0.6,OFF,OFF,0.0,0.0,0.0
WEEKDAY,11,0.95,0.95,0.95,0.63,OFF,OFF,0.0,0.0,0.0
WEEKDAY,12,0.95,0.95,0.95,0.72,OFF,OFF,0.0,0.0,0.0
WEEKDAY,13,0.95,0.95,0.95,0.79,OFF,OFF,0.0,0.0,0.0
WEEKDAY,14,0.95,0.95,0.95,0.83,OFF,OFF,0.0,0.0,0.0
WEEKDAY,15,0.95,0.95,0.95,0.61,OFF,OFF,0.0,0.0,0.0
WEEKDAY,16,0.95,0.95,0.95,0.65,OFF,OFF,0.0,0.0,0.0
WEEKDAY,17,0.15,0.95,0.95,0.1,OFF,OFF,0.0,0.0,0.0
WEEKDAY,18,0.15,0.35,0.35,0.1,OFF,OFF,0.0,0.0,0.0
WEEKDAY,19,0.15,0.35,0.35,0.19,OFF,OFF,0.0,0.0,0.0
WEEKDAY,20,0.15,0.35,0.35,0.25,OFF,OFF,0.0,0.0,0.0
WEEKDAY,21,0.15,0.35,0.35,0.22,OFF,OFF,0.0,0.0,0.0
WEEKDAY,22,0.0,0.35,0.35,0.22,OFF,OFF,0.0,0.0,0.0
WEEKDAY,23,0.0,0.35,0.35,0.12,OFF,OFF,0.0,0.0,0.0
WEEKDAY,24,0.0,0.35,0.35,0.09,OFF,OFF,0.0,0.0,0.0
SATURDAY,1,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,2,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,3,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,4,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,5,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,6,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,7,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,8,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,9,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,10,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
SATURDAY,11,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
SATURDAY,12,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
SATURDAY,13,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
SATURDAY,14,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,15,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,16,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,17,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,18,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,19,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,20,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,21,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,22,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,23,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SATURDAY,24,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SUNDAY,1,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SUNDAY,2,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SUNDAY,3,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SUNDAY,4,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SUNDAY,5,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SUNDAY,6,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SUNDAY,7,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SUNDAY,8,0.0,0.35,0.35,0.03,OFF,OFF,0.0,0.0,0.0
SUNDAY,9,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
SUNDAY,10,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
SUNDAY,11,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
SUNDAY,12,0.0,0.35,0.35,0.05,OFF,OFF,0.0,0.0,0.0
