METADATA,SG-ASHRAE-2009,SWIMMING
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
WEEKDAY,1,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,2,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,3,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,4,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,5,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,6,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,7,0.0,0.4,0.4,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,8,0.0,0.4,0.4,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,9,0.2,0.4,0.4,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,10,0.2,0.75,0.75,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,11,0.2,0.75,0.75,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,12,0.8,0.75,0.75,0.35,OFF,OFF,0.0,0.0,0.0
WEEKDAY,13,0.8,0.75,0.75,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,14,0.8,0.75,0.75,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,15,0.8,0.75,0.75,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,16,0.8,0.75,0.75,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,17,0.8,0.75,0.75,0.05,OFF,OFF,0.0,0.0,0.0
WEEKDAY,18,0.8,0.75,0.75,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,19,0.2,0.75,0.75,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,20,0.2,0.75,0.75,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,21,0.2,0.75,0.75,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,22,0.2,0.75,0.75,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,23,0.1,0.25,0.25,0.0,OFF,OFF,0.0,0.0,0.0
WEEKDAY,24,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,1,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,2,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,3,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,4,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,5,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,6,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,7,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,8,0.0,0.3,0.3,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,9,0.2,0.3,0.3,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,10,0.2,0.5,0.5,0.05,OFF,OFF,0.0,0.0,0.0
SATURDAY,11,0.2,0.5,0.5,0.05,OFF,OFF,0.0,0.0,0.0
SATURDAY,12,0.6,0.5,0.5,0.2,OFF,OFF,0.0,0.0,0.0
SATURDAY,13,0.6,0.5,0.5,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,14,0.6,0.5,0.5,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,15,0.6,0.5,0.5,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,16,0.6,0.5,0.5,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,17,0.6,0.5,0.5,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,18,0.6,0.5,0.5,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,19,0.6,0.5,0.5,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,20,0.6,0.5,0.5,0.65,OFF,OFF,0.0,0.0,0.0
SATURDAY,21,0.6,0.5,0.5,0.3,OFF,OFF,0.0,0.0,0.0
SATURDAY,22,0.8,0.5,0.5,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,23,0.1,0.5,0.5,0.0,OFF,OFF,0.0,0.0,0.0
SATURDAY,24,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,1,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,2,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,3,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,4,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,5,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,6,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,7,0.0,0.05,0.05,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,8,0.0,0.3,0.3,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,9,0.1,0.3,0.3,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,10,0.1,0.3,0.3,0.05,OFF,OFF,0.0,0.0,0.0
SUNDAY,11,0.1,0.3,0.3,0.05,OFF,OFF,0.0,0.0,0.0
SUNDAY,12,0.1,0.3,0.3,0.1,OFF,OFF,0.0,0.0,0.0
SUNDAY,13,0.1,0.65,0.65,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,14,0.7,0.65,0.65,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,15,0.7,0.65,0.65,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,16,0.7,0.65,0.65,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,17,0.7,0.65,0.65,0.0,OFF,OFF,0.0,0.0,0.0
SUNDAY,18,0.7,0.65,0.65,0.0,OFF,OFF,0.0,0.0,0.0
