ID,UUID,name,ID_recycling,recycling_method,density,unit,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product,,
00.001,1C0034A0-2E93-4622-AB2F-B6C7BDC0A9A4,"Baugrubensicherung, Bohrpfahlwand, gespriesst",91.074,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, gespriesst",-,m2,"1,300,000","1,140,000","167,000",2250,2000,2000,0,257,132,123,123,0,9.21,2120,1870,1870,0,248,861,801,60.5,0,"Blindage de fouille, paroi parisienne, étayé","Élimination, blindage de fouille, paroi parisienne, étayé"
00.002,EE35298F-D4F1-4FBF-8F21-914AC601204F,"Baugrubensicherung, Bohrpfahlwand, unverankert",91.075,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, unverankert",-,m2,"1,230,000","1,070,000","167,000",2060,1800,1800,0,257,117,108,108,0,9.21,1940,1690,1690,0,248,822,761,60.5,0,"Blindage de fouille, paroi parisienne, flottant","Élimination, blindage de fouille, paroi parisienne, flottant"
00.003,E6266550-4DA7-4AC1-9967-35D378CCA917,"Baugrubensicherung, Bohrpfahlwand, verankert",91.076,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, verankert",-,m2,"846,000","736,000","111,000",1500,1330,1330,0,170,105,99.3,99.3,0,6.08,1390,1230,1230,0,164,535,495,40,0,"Blindage de fouille, paroi parisienne, fixe","Élimination, blindage de fouille, paroi parisienne, fixe"
00.004,B49F5C35-D26E-4EBD-9736-51937285D583,"Baugrubensicherung, Nagelwand",91.077,"Entsorgung, Baugrubensicherung, Nagelwand",-,m2,"188,000","164,000","24,300",320,283,283,0,37.3,23,21.7,21.7,0,1.34,297,261,261,0,35.9,121,112,8.78,0,"Blindage de fouille, paroi clouée","Élimination, blindage de fouille, paroi clouée"
00.005,F0E2CA61-381A-42B0-9331-F3A3B092171A,"Baugrubensicherung, Rühlwand, auskragend",91.078,"Entsorgung, Baugrubensicherung, Rühlwand, auskragend",-,m2,"436,000","397,000","39,000",984,924,924,0,59.8,109,107,107,0,2.17,875,817,817,0,57.6,270,256,14.2,0,"Blindage de fouille, paroi berlinoise, en porte-à-faux","Élimination, blindage de fouille, paroi berlinoise, en porte-à-faux"
00.006,FB6C7A79-69B2-4F61-A8D9-FAD72DBB5ACD,"Baugrubensicherung, Rühlwand, gespriesst",91.079,"Entsorgung, Baugrubensicherung, Rühlwand, gespriesst",-,m2,"305,000","282,000","22,800",685,650,650,0,35,48.1,46.8,46.8,0,1.26,637,603,603,0,33.8,187,178,8.26,0,"Blindage de fouille, paroi berlinoise, étayé","Élimination, blindage de fouille, paroi berlinoise, étayé"
00.007,4E562FDF-A73E-4E7E-8C56-B7B5068A19EC,"Baugrubensicherung, Rühlwand, verankert",91.080,"Entsorgung, Baugrubensicherung, Rühlwand, verankert",-,m2,"319,000","293,000","26,400",688,647,647,0,40.5,46.7,45.3,45.3,0,1.45,641,602,602,0,39,197,187,9.54,0,"Blindage de fouille, paroi berlinoise, fixe","Élimination, blindage de fouille, paroi berlinoise, fixe"
00.008,F4CB3C0F-DD23-4821-9DAC-7CBFB57B2AD1,"Baugrubensicherung, Schlitzwand, 400 mm",91.081,"Entsorgung, Baugrubensicherung, Schlitzwand, 400mm",-,m2,"777,000","693,000","84,200",1250,1120,1120,0,129,91.2,86.5,86.5,0,4.63,1160,1040,1040,0,124,423,393,30.3,0,"Blindage de fouille, paroi moulée, 400 mm","Élimination, blindage de fouille, paroi moulée, 400 mm"
00.009,8F0DDE0F-57FE-4A5E-9A52-70803B0774C6,"Baugrubensicherung, Schlitzwand, 800 mm",91.082,"Entsorgung, Baugrubensicherung, Schlitzwand, 800mm",-,m2,"1,380,000","1,220,000","166,000",2250,2000,2000,0,254,172,163,163,0,9.13,2080,1840,1840,0,245,809,749,59.9,0,"Blindage de fouille, paroi moulée, 800 mm","Élimination, blindage de fouille, paroi moulée, 800 mm"
00.010,650E9E9A-4709-4780-BA84-460617AE70A0,"Baugrubensicherung, Spundwand, auskragend",91.083,"Entsorgung, Baugrubensicherung, Spundwand, auskragend",-,m2,"287,000","286,000","1,690",777,773,773,0,4.25,45.7,45.6,45.6,0,0.089,732,728,728,0,4.16,169,168,1.06,0,"Blindage de fouille, paroi de palplanche, en porte-à-faux","Élimination, blindage de fouille, paroi de palplanche, en porte-à-faux"
00.011,53A125FB-F71E-4A1A-9191-DE111E0DF8C0,"Baugrubensicherung, Spundwand, gespriesst",91.084,"Entsorgung, Baugrubensicherung, Spundwand, gespriesst",-,m2,"162,000","161,000",926,438,435,435,0,2.33,25.1,25.1,25.1,0,0.0487,413,410,410,0,2.28,95.7,95.1,0.58,0,"Blindage de fouille, paroi de palplanche, étayé","Élimination, blindage de fouille, paroi de palplanche, étayé"
00.012,9AA11301-7957-4139-BC09-9F57072238EC,"Baugrubensicherung, Spundwand, verankert",91.085,"Entsorgung, Baugrubensicherung, Spundwand, verankert",-,m2,"173,000","168,000","4,210",431,424,424,0,7.17,23.2,23,23,0,0.23,408,401,401,0,6.94,103,101,1.72,0,"Blindage de fouille, paroi de palplanche, fixe","Élimination, blindage de fouille, paroi de palplanche, fixe"
00.013,B4015EF4-695C-47BF-9CD8-A8AF5CE3C0CB,"Tiefgründung, Mikrobohrpfahl",91.086,"Entsorgung, Tiefgründung, Mikrobohrpfahl",-,m,"52,500","52,500",0,118,118,118,0,0,8.53,8.53,8.53,0,0,110,110,110,0,0,31.4,31.4,0,0,"Fondations profondes, micropieu ","Élimination, fondations profondes, micropieu"
00.014,D6B4CD48-CFD0-45DD-8F39-F2877B8DE652,"Tiefgründung, Ortbetonbohrpfahl, 700 mm",91.087,"Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 700mm",-,m,"258,000","258,000",0,396,396,396,0,0,29,29,29,0,0,367,367,367,0,0,163,163,0,0,"Fondations profondes, pieu coulé sur site, 700 mm","Élimination, fondations profondes, pieu coulé sur site, 700 mm"
00.015,EE463E2C-FAD4-4183-BBDF-A8E1FA456B32,"Tiefgründung, Ortbetonbohrpfahl, 900 mm",91.088,"Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 900mm",-,m,"377,000","377,000",0,550,550,550,0,0,44.8,44.8,44.8,0,0,505,505,505,0,0,244,244,0,0,"Fondations profondes, pieu coulé sur site, 900 mm","Élimination, fondations profondes, pieu coulé sur site, 900 mm"
00.016,DEED59B5-BB81-4104-9BAE-D78266DC439E,"Tiefgründung, Ortbetonbohrpfahl, 1200 mm",91.089,"Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 1200mm",-,m,"579,000","579,000",0,822,822,822,0,0,70.8,70.8,70.8,0,0,751,751,751,0,0,379,379,0,0,"Fondations profondes, pieu coulé sur site, 1200 mm","Élimination, fondations profondes, pieu coulé sur site, 1200 mm"
00.017,13247483-F3F9-449C-87D0-6B956AB03E50,"Tiefgründung, Ortbetonverdrängungspfahl 560/480 mm",91.090,"Entsorgung, Tiefgründung, Ortbetonverdrängungspfahl 560/480mm",-,m,"122,000","122,000",0,229,229,229,0,0,13.8,13.8,13.8,0,0,215,215,215,0,0,76.5,76.5,0,0,"Fondations profondes, pieux forés vissés, 560/480 mm","Élimination, fondations profondes, pieux forés vissés, 560/480 mm"
00.018,26ED1BEC-5B9B-4820-8481-A544231F80EE,"Tiefgründung, Ortbetonverdrängungspfahl 660/580 mm",91.091,"Entsorgung, Tiefgründung, Ortbetonverdrängungspfahl 660/580mm",-,m,"153,000","153,000",0,274,274,274,0,0,18.1,18.1,18.1,0,0,256,256,256,0,0,96,96,0,0,"Fondations profondes, pieux forés vissés, 660/580 mm","Élimination, fondations profondes, pieux forés vissés, 660/580 mm"
00.019,4EACB020-C81C-482A-8817-F3DE92E1F6D6,"Tiefgründung, Rüttelstopfsäule",91.092,"Entsorgung, Tiefgründung, Rüttelstopfsäule",-,m,"30,800","30,800",0,30.3,30.3,30.3,0,0,1.55,1.55,1.55,0,0,28.8,28.8,28.8,0,0,6.75,6.75,0,0,"Fondations profondes, colonnes ballastées","Élimination, fondations profondes, colonnes ballastées"
00.020,4FE800F8-909C-4102-9E3F-525A7AD89DCE,"Tiefgründung, Vorgefertigter Betonpfahl",91.093,"Entsorgung, Tiefgründung, Vorgefertigter Betonpfahl",-,m,"44,600","44,600",0,63.9,63.9,63.9,0,0,5.38,5.38,5.38,0,0,58.6,58.6,58.6,0,0,29.2,29.2,0,0,"Fondations profondes, pieu en béton préfabriqué","Élimination, fondations profondes, pieu en béton préfabriqué"
