name,NameGerman,IdKbob,IdDisposal,Disposal,Size,Unit,UBPEmbodied,UBPEoL,TotalEmbodied,TotalEoL,RenewableEmbodied,RenewableEoL,NonRenewableEmbodied,NonRenewableEoL,GHGEmbodied,GHGEoL
"Heat generator, specific power demand 10 W/m2","Waermeerzeuger, spez. Leistungsbedarf 10 W/m2",31.001,92.006,"Entsorgung, Waermeerzeuger, spez. Leistungsbedarf 10 W/m2",EBF,m2,1190,10.6,2.5,0.02,0.24,0,2.26,0.02,0.5,0.01
"Heat generator, specific power demand 30 W/m2","Waermeerzeuger, spez. Leistungsbedarf 30 W/m2",31.002,92.007,"Entsorgung, Waermeerzeuger, spez. Leistungsbedarf 30 W/m2",EBF,m2,3560,31.8,7.49,0.055,0.707,0.001,6.78,0.054,1.5,0.033
"Heat generator, specific power demand 50 W/m2","Waermeerzeuger, spez. Leistungsbedarf 50 W/m2",31.003,92.008,"Entsorgung, Waermeerzeuger, spez. Leistungsbedarf 50 W/m2",EBF,m2,5930,53,12.5,0.092,1.18,0.002,11.3,0.091,2.5,0.055
Heat distribution in residential buildings,Waermeverteilung Wohngebaeude,31.021,92.014,"Entsorgung, Verteilung Wohngebaeude",EBF,m2,4670,807,13.1,2.7,1.14,0.37,12,2.33,2.39,0.674
Heat distribution in office buildings,Waermeverteilung Buerogebaeude,31.022,92.015,"Entsorgung, Verteilung Buerogebaeude",EBF,m2,13900,1090,32.1,3.22,2.25,0.433,29.9,2.79,6.56,1.06
Heat emission via radiators,Waermeabgabe ueber Heizkoerper,31.023,92.016,"Entsorgung, Abgabe ueber Heizkoerper",EBF,m2,10200,17.9,24.4,0.037,1.62,0.002,22.7,0.035,5.44,0.023
Heat emission via underfloor heating,Waermeabgabe ueber Fussbodenheizung,31.024,92.017,"Entsorgung, Abgabe ueber Fussbodenheizung",EBF,m2,3040,997,23.6,0.09,1.48,0,22.2,0.09,3.02,2.04
Heat emission via heating/cooling ceiling (without gypsum or metal ceiling),Waermeabgabe ueber Heizkuehldecke (ohne Gips- oder Metalldecke),31.025,92.018,"Entsorgung, Abgabe ueber Heizkuehldecke (ohne Gips- oder Metalldecke)",EBF,m2,39400,70.4,30.8,0.032,4.47,0.002,26.3,0.031,5.64,0.134
"Heat distribution and emission, air heating","Waermeverteilung und Abgabe, Luftheizung",31.015,92.019,"Entsorgung, Waermeverteilung und Abgabe, Luftheizung",EBF,m2,2910,33.6,8.28,0.007,0.325,8.28,7.95,0.006,1.63,0.067
Borehole probes for brine-water heat pump,"Erdsonden, fuer Sole-Wasser-Waermepumpe",31.016,92.009,"Entsorgung, Erdsonden, fuer Sole-Wasser-Waermepumpe",Sondenlaenge,m,30500,4100,131,1.74,2.61,0.255,129,1.48,25.3,2.73
