,a,b,d
0,22.0,0,0
1,22.0,0,1
2,22.0,0,2
3,22.0,0,3
4,22.0,0,4
5,22.0,0,5
6,22.0,0,6
7,22.0,0,7
8,22.0,0,8
9,22.0,0,9
10,22.0,0,10
11,22.0,0,11
12,22.0,0,12
13,22.0,0,13
14,22.0,0,14
15,22.0,0,15
16,22.0,0,16
17,22.0,0,17
18,22.0,0,18
19,22.0,0,19
20,22.0,0,20
21,22.0,0,21
22,22.0,0,22
23,22.0,0,23
24,22.0,0,0
25,22.0,0,1
26,22.0,0,2
27,22.0,0,3
28,22.0,0,4
29,22.0,0,5
30,22.0,0,6
31,22.0,0,7
32,22.0,0,8
33,22.0,0,9
34,22.0,0,10
35,22.0,0,11
36,22.0,0,12
37,22.0,0,13
38,22.0,0,14
39,22.0,0,15
40,22.0,0,16
41,22.0,0,17
42,22.0,0,18
43,22.0,0,19
44,22.0,0,20
45,22.0,0,21
46,22.0,0,22
47,22.0,0,23
48,22.0,0,0
49,22.0,0,1
50,22.0,0,2
51,22.0,0,3
52,22.0,0,4
53,22.0,0,5
54,22.0,0,6
55,22.0,0,7
56,22.0,0,8
57,22.0,0,9
58,22.0,0,10
59,22.0,0,11
60,22.0,0,12
61,22.0,0,13
62,22.0,0,14
63,22.0,0,15
64,22.0,0,16
65,22.0,0,17
66,22.0,0,18
67,22.0,0,19
68,22.0,0,20
69,22.0,0,21
70,22.0,0,22
71,22.0,0,23
72,22.0,0,0
73,22.0,0,1
74,22.0,0,2
75,22.0,0,3
76,22.0,0,4
77,22.0,0,5
78,22.0,0,6
79,22.0,0,7
80,22.0,0,8
81,22.0,0,9
82,22.0,0,10
83,22.0,0,11
84,22.0,0,12
85,22.0,0,13
86,22.0,0,14
87,22.0,0,15
88,22.0,0,16
89,22.0,0,17
90,22.0,0,18
91,22.0,0,19
92,22.0,0,20
93,22.0,0,21
94,22.0,0,22
95,22.0,0,23
96,22.0,0,0
97,22.0,0,1
98,22.0,0,2
99,22.0,0,3
100,22.0,0,4
101,22.0,0,5
102,22.0,0,6
103,22.0,0,7
104,22.0,0,8
105,22.0,0,9
106,22.0,0,10
107,22.0,0,11
108,22.0,0,12
109,22.0,0,13
110,22.0,0,14
111,22.0,0,15
112,22.0,0,16
113,22.0,0,17
114,22.0,0,18
115,22.0,0,19
116,22.0,0,20
117,22.0,0,21
118,22.0,0,22
119,22.0,0,23
120,22.0,0,0
121,22.0,0,1
122,22.0,0,2
123,22.0,0,3
124,22.0,0,4
125,22.0,0,5
126,22.0,0,6
127,22.0,0,7
128,22.0,0,8
129,22.0,0,9
130,22.0,0,10
131,22.0,0,11
132,22.0,0,12
133,22.0,0,13
134,22.0,0,14
135,22.0,0,15
136,22.0,0,16
137,22.0,0,17
138,22.0,0,18
139,22.0,0,19
140,22.0,0,20
141,22.0,0,21
142,22.0,0,22
143,22.0,0,23
144,22.0,0,0
145,22.0,0,1
146,22.0,0,2
147,22.0,0,3
148,22.0,0,4
149,22.0,0,5
150,22.0,0,6
151,22.0,0,7
152,22.0,0,8
153,22.0,0,9
154,22.0,0,10
155,22.0,0,11
156,22.0,0,12
157,22.0,0,13
158,22.0,0,14
159,22.0,0,15
160,22.0,0,16
161,22.0,0,17
162,22.0,0,18
163,22.0,0,19
164,22.0,0,20
165,22.0,0,21
166,22.0,0,22
167,22.0,0,23
168,22.0,0,0
169,22.0,0,1
170,22.0,0,2
171,22.0,0,3
172,22.0,0,4
173,22.0,0,5
174,22.0,0,6
175,22.0,0,7
176,22.0,0,8
177,22.0,0,9
178,22.0,0,10
179,22.0,0,11
180,22.0,0,12
181,22.0,0,13
182,22.0,0,14
183,22.0,0,15
184,22.0,0,16
185,22.0,0,17
186,22.0,0,18
187,22.0,0,19
188,22.0,0,20
189,22.0,0,21
190,22.0,0,22
191,22.0,0,23
192,22.0,0,0
193,22.0,0,1
194,22.0,0,2
195,22.0,0,3
196,22.0,0,4
197,22.0,0,5
198,22.0,0,6
199,22.0,0,7
200,22.0,0,8
201,22.0,0,9
202,22.0,0,10
203,22.0,0,11
204,22.0,0,12
205,22.0,0,13
206,22.0,0,14
207,22.0,0,15
208,22.0,0,16
209,22.0,0,17
210,22.0,0,18
211,22.0,0,19
212,22.0,0,20
213,22.0,0,21
214,22.0,0,22
215,22.0,0,23
216,22.0,0,0
217,22.0,0,1
218,22.0,0,2
219,22.0,0,3
220,22.0,0,4
221,22.0,0,5
222,22.0,0,6
223,22.0,0,7
224,22.0,0,8
225,22.0,0,9
226,22.0,0,10
227,22.0,0,11
228,22.0,0,12
229,22.0,0,13
230,22.0,0,14
231,22.0,0,15
232,22.0,0,16
233,22.0,0,17
234,22.0,0,18
235,22.0,0,19
236,22.0,0,20
237,22.0,0,21
238,22.0,0,22
239,22.0,0,23
240,22.0,0,0
241,22.0,0,1
242,22.0,0,2
243,22.0,0,3
244,22.0,0,4
245,22.0,0,5
246,22.0,0,6
247,22.0,0,7
248,22.0,0,8
249,22.0,0,9
250,22.0,0,10
251,22.0,0,11
252,22.0,0,12
253,22.0,0,13
254,22.0,0,14
255,22.0,0,15
256,22.0,0,16
257,22.0,0,17
258,22.0,0,18
259,22.0,0,19
260,22.0,0,20
261,22.0,0,21
262,22.0,0,22
263,22.0,0,23
264,22.0,0,0
265,22.0,0,1
266,22.0,0,2
267,22.0,0,3
268,22.0,0,4
269,22.0,0,5
270,22.0,0,6
271,22.0,0,7
272,22.0,0,8
273,22.0,0,9
274,22.0,0,10
275,22.0,0,11
276,22.0,0,12
277,22.0,0,13
278,22.0,0,14
279,22.0,0,15
280,22.0,0,16
281,22.0,0,17
