DATE,Hour,Hour2,Month,Day,tintH_set,tintC_set,People,Ve,I_int,w_int,Ealf_nove,Epro,Edata,Qcdata,Qcrefri,Mww,Mw
1/1/2010 0:00,1.00,1,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
1/1/2010 1:00,2.00,2,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
1/1/2010 2:00,3.00,3,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
1/1/2010 3:00,4.00,4,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
1/1/2010 4:00,5.00,5,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
1/1/2010 5:00,6.00,6,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
1/1/2010 6:00,7.00,7,1,6,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
1/1/2010 7:00,8.00,8,1,6,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
1/1/2010 8:00,9.00,9,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
1/1/2010 9:00,10.00,10,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
1/1/2010 10:00,11.00,11,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
1/1/2010 11:00,12.00,12,1,6,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
1/1/2010 12:00,13.00,13,1,6,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
1/1/2010 13:00,14.00,14,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
1/1/2010 14:00,15.00,15,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
