METADATA,mixed-schedule
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
PROCESSES,ELECTROMOBILITY,HOUR,HEATING,OCCUPANCY,SERVERS,WATER,COOLING,LIGHTING,APPLIANCES,DAY
0.22,0.0,1,SETPOINT,0.34,0.0,0.37,SETPOINT,0.17,0.17,WEEKDAY
0.22,0.0,2,SETPOINT,0.34,0.0,0.37,SETPOINT,0.17,0.17,WEEKDAY
0.22,0.0,3,SETPOINT,0.34,0.0,0.37,SETPOINT,0.17,0.17,WEEKDAY
0.22,0.0,4,SETPOINT,0.34,0.0,0.37,SETPOINT,0.17,0.17,WEEKDAY
0.22,0.0,5,SETPOINT,0.34,0.0,0.37,SETPOINT,0.17,0.17,WEEKDAY
0.22,0.0,6,SETPOINT,0.46,0.0,0.45,SETPOINT,0.32,0.3,WEEKDAY
0.31,0.0,7,SETPOINT,0.57,0.0,0.53,SETPOINT,0.47,0.43,WEEKDAY
0.28,0.0,8,SETPOINT,0.72,0.0,0.67,SETPOINT,0.6,0.55,WEEKDAY
0.3,0.0,9,SETPOINT,0.86,0.0,0.83,SETPOINT,0.71,0.68,WEEKDAY
0.31,0.0,10,SETPOINT,0.92,0.0,0.95,SETPOINT,0.67,0.65,WEEKDAY
0.32,0.0,11,SETPOINT,1.0,0.0,1.0,SETPOINT,0.82,0.8,WEEKDAY
0.32,0.0,12,SETPOINT,0.73,0.0,0.78,SETPOINT,0.52,0.52,WEEKDAY
0.32,0.0,13,SETPOINT,0.71,0.0,0.7,SETPOINT,0.56,0.53,WEEKDAY
0.31,0.0,14,SETPOINT,0.86,0.0,0.83,SETPOINT,0.71,0.68,WEEKDAY
0.32,0.0,15,SETPOINT,1.0,0.0,1.0,SETPOINT,0.82,0.8,WEEKDAY
0.33,0.0,16,SETPOINT,0.85,0.0,0.86,SETPOINT,0.67,0.65,WEEKDAY
0.33,0.0,17,SETPOINT,0.78,0.0,0.78,SETPOINT,0.61,0.59,WEEKDAY
0.32,0.0,18,SETPOINT,0.65,0.0,0.62,SETPOINT,0.5,0.47,WEEKDAY
0.31,0.0,19,SETPOINT,0.46,0.0,0.45,SETPOINT,0.32,0.3,WEEKDAY
0.27,0.0,20,SETPOINT,0.46,0.0,0.45,SETPOINT,0.45,0.44,WEEKDAY
0.26,0.0,21,SETPOINT,0.46,0.0,0.45,SETPOINT,0.41,0.4,WEEKDAY
0.26,0.0,22,SETPOINT,0.46,0.0,0.45,SETPOINT,0.36,0.35,WEEKDAY
0.27,0.0,23,SETPOINT,0.34,0.0,0.37,SETPOINT,0.17,0.17,WEEKDAY
0.25,0.0,24,SETPOINT,0.34,0.0,0.37,SETPOINT,0.17,0.17,WEEKDAY
0.22,0.0,1,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SATURDAY
0.22,0.0,2,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SATURDAY
0.22,0.0,3,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SATURDAY
0.22,0.0,4,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SATURDAY
0.22,0.0,5,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SATURDAY
0.22,0.0,6,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SATURDAY
0.22,0.0,7,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SATURDAY
0.22,0.0,8,SETPOINT,0.34,0.0,0.4,SETPOINT,0.21,0.21,SATURDAY
0.23,0.0,9,SETPOINT,0.48,0.0,0.57,SETPOINT,0.32,0.33,SATURDAY
0.24,0.0,10,SETPOINT,0.62,0.0,0.74,SETPOINT,0.37,0.39,SATURDAY
0.24,0.0,11,SETPOINT,0.62,0.0,0.74,SETPOINT,0.43,0.45,SATURDAY
0.07,0.0,12,SETPOINT,0.54,0.0,0.65,SETPOINT,0.37,0.39,SATURDAY
0.06,0.0,13,SETPOINT,0.41,0.0,0.49,SETPOINT,0.26,0.27,SATURDAY
0.06,0.0,14,SETPOINT,0.48,0.0,0.57,SETPOINT,0.32,0.33,SATURDAY
0.06,0.0,15,SETPOINT,0.62,0.0,0.74,SETPOINT,0.43,0.45,SATURDAY
