METADATA,mixed-schedule
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
PROCESSES,HOUR,HEATING,OCCUPANCY,SERVERS,WATER,COOLING,LIGHTING,APPLIANCES,DAY
0.0,1,SETBACK,1.0,0.0,0.07999999999999999,SETBACK,0.1,0.1,WEEKDAY
0.0,2,SETBACK,1.0,0.0,0.039999999999999994,SETBACK,0.1,0.1,WEEKDAY
0.0,3,SETBACK,1.0,0.0,0.009999999999999998,SETBACK,0.1,0.1,WEEKDAY
0.0,4,SETBACK,1.0,0.0,0.009999999999999998,SETBACK,0.1,0.1,WEEKDAY
0.0,5,SETBACK,1.0,0.0,0.019999999999999997,SETBACK,0.1,0.1,WEEKDAY
0.0,6,SETBACK,1.0,0.0,0.38,SETBACK,0.2,0.2,WEEKDAY
0.0,7,SETPOINT,0.525,0.0,1.0,SETPOINT,0.8,0.8,WEEKDAY
0.0,8,SETPOINT,0.25000000000000006,0.0,0.8100000000000002,SETPOINT,0.2,0.2,WEEKDAY
0.0,9,SETPOINT,0.0,0.0,0.67,SETPOINT,0.1,0.1,WEEKDAY
0.0,10,SETPOINT,0.0,0.0,0.51,SETPOINT,0.1,0.1,WEEKDAY
0.0,11,SETPOINT,0.0,0.0,0.44999999999999996,SETPOINT,0.1,0.1,WEEKDAY
0.0,12,SETPOINT,0.0,0.0,0.42,SETPOINT,0.1,0.1,WEEKDAY
0.0,13,SETPOINT,0.8000000000000002,0.0,0.63,SETPOINT,0.8,0.8,WEEKDAY
0.0,14,SETPOINT,0.4000000000000001,0.0,0.56,SETPOINT,0.2,0.2,WEEKDAY
0.0,15,SETPOINT,0.0,0.0,0.31999999999999995,SETPOINT,0.1,0.1,WEEKDAY
0.0,16,SETPOINT,0.0,0.0,0.28,SETPOINT,0.1,0.1,WEEKDAY
0.0,17,SETPOINT,0.0,0.0,0.31999999999999995,SETPOINT,0.1,0.1,WEEKDAY
0.0,18,SETPOINT,0.4000000000000001,0.0,0.56,SETPOINT,0.2,0.2,WEEKDAY
0.0,19,SETPOINT,0.8000000000000002,0.0,0.7900000000000001,SETPOINT,0.8,0.8,WEEKDAY
0.0,20,SETPOINT,0.8000000000000002,0.0,0.8000000000000002,SETPOINT,1.0,1.0,WEEKDAY
0.0,21,SETPOINT,0.8000000000000002,0.0,0.62,SETPOINT,0.2,0.2,WEEKDAY
0.0,22,SETBACK,1.0,0.0,0.44999999999999996,SETBACK,0.2,0.2,WEEKDAY
0.0,23,SETBACK,1.0,0.0,0.25,SETBACK,0.2,0.2,WEEKDAY
0.0,24,SETBACK,1.0,0.0,0.19,SETBACK,0.1,0.1,WEEKDAY
0.0,1,SETBACK,1.0,0.0,0.09,SETBACK,0.1,0.1,SATURDAY
0.0,2,SETBACK,1.0,0.0,0.10000000000000002,SETBACK,0.1,0.1,SATURDAY
0.0,3,SETBACK,1.0,0.0,0.06,SETBACK,0.1,0.1,SATURDAY
0.0,4,SETBACK,1.0,0.0,0.019999999999999997,SETBACK,0.1,0.1,SATURDAY
0.0,5,SETBACK,1.0,0.0,0.019999999999999997,SETBACK,0.1,0.1,SATURDAY
0.0,6,SETBACK,1.0,0.0,0.12,SETBACK,0.2,0.2,SATURDAY
0.0,7,SETPOINT,0.525,0.0,0.33,SETPOINT,0.8,0.8,SATURDAY
0.0,8,SETPOINT,0.25000000000000006,0.0,0.56,SETPOINT,0.2,0.2,SATURDAY
0.0,9,SETPOINT,0.0,0.0,0.91,SETPOINT,0.1,0.1,SATURDAY
0.0,10,SETPOINT,0.0,0.0,0.8999999999999999,SETPOINT,0.1,0.1,SATURDAY
0.0,11,SETPOINT,0.0,0.0,0.8100000000000002,SETPOINT,0.1,0.1,SATURDAY
0.0,12,SETPOINT,0.0,0.0,0.8700000000000001,SETPOINT,0.1,0.1,SATURDAY
0.0,13,SETPOINT,0.8000000000000002,0.0,0.8800000000000001,SETPOINT,0.8,0.8,SATURDAY
0.0,14,SETPOINT,0.4000000000000001,0.0,0.6999999999999998,SETPOINT,0.2,0.2,SATURDAY
