Ts_C,QLake_kW
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.509,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.508,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.507,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.506,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.505,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.504,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.503,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.502,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
