Name,Type,Building
NODE0,NONE,NONE
NODE1,NONE,NONE
NODE2,NONE,NONE
NODE3,CONSUMER,B1003
NODE4,NONE,NONE
NODE5,CONSUMER,B1004
NODE6,NONE,NONE
NODE7,CONSUMER,B1013
NODE8,NONE,NONE
NODE9,CONSUMER,B1008
NODE10,NONE,NONE
NODE11,NONE,NONE
NODE12,CONSUMER,B1011
NODE13,NONE,NONE
NODE14,NONE,NONE
NODE15,NONE,NONE
NODE16,CONSUMER,B1000
NODE17,CONSUMER,B1007
NODE18,NONE,NONE
NODE19,CONSUMER,B1005
NODE20,NONE,NONE
NODE21,NONE,NONE
NODE22,CONSUMER,B1012
NODE23,NONE,NONE
NODE24,NONE,NONE
NODE25,CONSUMER,B1001
NODE26,NONE,NONE
NODE27,CONSUMER,B1010
NODE28,CONSUMER,B1002
NODE29,NONE,NONE
NODE30,NONE,NONE
NODE31,NONE,NONE
NODE32,NONE,NONE
NODE33,NONE,NONE
NODE34,CONSUMER,B1006
NODE35,NONE,NONE
NODE36,PLANT,NONE
