pressure_loss_supply_Pa,pressure_loss_return_Pa,pressure_loss_substations_Pa,pressure_loss_total_Pa
3943.7659,3943.7659,109180.97,117068.5
3941.7207,3941.7207,109172.44,117055.875
3943.7659,3943.7659,109180.97,117068.5
3943.7659,3943.7659,109180.97,117068.5
3941.7207,3941.7207,109172.44,117055.875
3941.7207,3941.7207,109172.44,117055.875
3941.7207,3941.7207,109172.44,117055.875
3943.7659,3943.7659,109180.97,117068.5
3943.7659,3943.7659,109180.97,117068.5
3943.7659,3943.7659,109180.97,117068.5
3943.7659,3943.7659,109180.97,117068.5
3945.8096,3945.8096,109189.55,117081.164
3945.8108,3945.8108,109189.55,117081.17
3945.8108,3945.8108,109189.55,117081.17
3945.8108,3945.8108,109189.55,117081.17
3947.8538,3947.8538,109195.0,117090.71
3947.8538,3947.8538,109195.0,117090.71
3945.8096,3945.8096,109189.55,117081.164
3943.7659,3943.7659,109180.97,117068.5
3943.7659,3943.7659,109180.97,117068.5
3943.7659,3943.7659,109180.97,117068.5
3941.7207,3941.7207,109172.44,117055.875
3941.7207,3941.7207,109172.44,117055.875
3941.7207,3941.7207,109172.44,117055.875
3941.7207,3941.7207,109172.44,117055.875
3939.6785,3939.6785,109166.984,117046.34
3937.6345,3937.6345,109158.41,117033.67
3937.6345,3937.6345,109158.41,117033.67
3937.6345,3937.6345,109158.41,117033.67
3937.6345,3937.6345,109158.41,117033.67
3937.6345,3937.6345,109158.41,117033.67
3937.6345,3937.6345,109158.41,117033.67
3937.6345,3937.6345,109158.41,117033.67
3935.5796,3935.5796,109152.95,117024.11
3935.5796,3935.5796,109152.95,117024.11
3935.5796,3935.5796,109152.95,117024.11
3937.6345,3937.6345,109158.41,117033.67
3937.6345,3937.6345,109158.41,117033.67
3937.6345,3937.6345,109158.41,117033.67
3937.6345,3937.6345,109158.41,117033.67
3935.5796,3935.5796,109152.95,117024.11
3933.5369,3933.5369,109144.42,117011.49
3933.538,3933.538,109144.42,117011.5
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3927.414,3927.414,109121.81,116976.64
3927.414,3927.414,109121.81,116976.64
3927.414,3927.414,109121.81,116976.64
3927.414,3927.414,109121.81,116976.64
3927.414,3927.414,109121.81,116976.64
3927.414,3927.414,109121.81,116976.64
3927.414,3927.414,109121.81,116976.64
3927.414,3927.414,109121.81,116976.64
3927.414,3927.414,109121.81,116976.64
3929.4558,3929.4558,109130.34,116989.26
3931.495,3931.495,109135.836,116998.83
3933.5369,3933.5369,109144.42,117011.49
3935.5796,3935.5796,109152.95,117024.11
3935.5796,3935.5796,109152.95,117024.11
3937.6345,3937.6345,109158.41,117033.67
3935.5796,3935.5796,109152.95,117024.11
3933.5369,3933.5369,109144.42,117011.49
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3927.414,3927.414,109121.81,116976.64
3927.414,3927.414,109121.81,116976.64
3925.3745,3925.3745,109116.35,116967.1
3925.3757,3925.3757,109116.35,116967.1
3925.3757,3925.3757,109116.35,116967.1
3925.3757,3925.3757,109116.35,116967.1
3927.414,3927.414,109121.81,116976.64
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3929.4558,3929.4558,109130.34,116989.26
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3931.495,3931.495,109135.836,116998.83
3933.5369,3933.5369,109144.42,117011.49
3933.538,3933.538,109144.42,117011.5
3933.538,3933.538,109144.42,117011.5
3933.538,3933.538,109144.42,117011.5
3933.538,3933.538,109144.42,117011.5
3933.538,3933.538,109144.42,117011.5
3935.5796,3935.5796,109152.95,117024.11
3935.5796,3935.5796,109152.95,117024.11
3935.5796,3935.5796,109152.95,117024.11
3935.5796,3935.5796,109152.95,117024.11
3935.5796,3935.5796,109152.95,117024.11
3933.5369,3933.5369,109144.42,117011.49
