thermal_loss_supply_kW,thermal_loss_return_kW,thermal_loss_total_kW
-0.08482534556724579,-0.07922559633304936,-0.16405094190029515
-0.07947149210985886,-0.07422449766383195,-0.1536959897736908
-0.08489969754234558,-0.07929503995821716,-0.16419473750056274
-0.07988922264152647,-0.07461533179696671,-0.15450455443849317
-0.0845531569132445,-0.07897065263486397,-0.16352380954810847
-0.08150986434166775,-0.07612828921184508,-0.15763815355351285
-0.0828256146010383,-0.07735716889513877,-0.16018278349617707
-0.08099856003107742,-0.07565143622652848,-0.1566499962576059
-0.08165814535180216,-0.07626747899060402,-0.15792562434240617
-0.08136679263428613,-0.07599535993677697,-0.15736215257106312
-0.08300281162913153,-0.0775233770599918,-0.16052618868912333
-0.08100298684593786,-0.07565557080573124,-0.15665855765166908
-0.08291177110703049,-0.07743834658249149,-0.16035011768952198
-0.08052748796916344,-0.0752114620099891,-0.15573894997915255
-0.0851347691792463,-0.07951459333092978,-0.1646493625101761
-0.08035646946364866,-0.0750517333001236,-0.15540820276377226
-0.08454813411871273,-0.07896668501228747,-0.1635148191310002
-0.08010881313818889,-0.07482042601795273,-0.15492923915614162
-0.08494431057759998,-0.0793367078625706,-0.16428101844017057
-0.08062803586089971,-0.07530537222702553,-0.15593340808792525
-0.0842548596974086,-0.07869277111437378,-0.16294763081178237
-0.08121227083793894,-0.07585034390415794,-0.15706261474209687
-0.08342129527769847,-0.07791352058589543,-0.16133481586359388
-0.08118254674614901,-0.07582258230413427,-0.1570051290502833
-0.08218541031423583,-0.07675923320395626,-0.1589446435181921
-0.08239060846324224,-0.07695088343085402,-0.15934149189409624
-0.0822053882794318,-0.0767778921510697,-0.1589832804305015
-0.08217205617168642,-0.07674676074925742,-0.15891881692094384
-0.08195351970113722,-0.07654265284443253,-0.15849617254556975
-0.08219553847342317,-0.07676869266476752,-0.1589642311381907
-0.08198325180983806,-0.07657042193211706,-0.15855367374195511
-0.08175670055925731,-0.0763588284119226,-0.15811552897117992
-0.08231243365010668,-0.07687787000093253,-0.1591903036510392
-0.08301790181509718,-0.07753676061456533,-0.1605546624296625
-0.08094991025546143,-0.07560530531387852,-0.15655521556933993
-0.08277488460091637,-0.07730978827306927,-0.16008467287398565
-0.0820482099440077,-0.07663109129606076,-0.15867930124006846
-0.08214854172068933,-0.07672479880709719,-0.1588733405277865
-0.0826509025245934,-0.07719399194007923,-0.15984489446467262
-0.08089088112363549,-0.07555017349683976,-0.15644105462047525
-0.08312916626171665,-0.07764067898171077,-0.1607698452434274
-0.08112536209149751,-0.07576917318657739,-0.1568945352780749
-0.08226467470155131,-0.07683326427150203,-0.15909793897305335
-0.08208207448145921,-0.07666201753096835,-0.15874409201242756
-0.08293978966074259,-0.07746309592170186,-0.16040288558244445
-0.08221550717948643,-0.07678663937866294,-0.15900214655814937
-0.08171373861567481,-0.0763180036802691,-0.1580317422959439
-0.08273769870258457,-0.0772743494670475,-0.16001204816963208
-0.08160808648063596,-0.07621932798368458,-0.15782741446432053
-0.0809647807928229,-0.07561850116163471,-0.15658328195445761
-0.08274035173871273,-0.07727682731715499,-0.1600171790558677
-0.08098275924892478,-0.07563529246154879,-0.15661805171047358
-0.08248031957463858,-0.077033965639024,-0.15951428521366257
-0.08140786936423325,-0.07603233163661717,-0.15744020100085043
-0.08178938458765198,-0.07638865458441742,-0.1581780391720694
-0.08145968202353383,-0.07608072299360072,-0.15754040501713457
-0.08236618528958435,-0.07692736788811469,-0.15929355317769905
-0.08140074979010377,-0.07602568218356345,-0.15742643197366724
-0.08252097001919999,-0.07707263804710592,-0.1595936080663059
-0.08250243516590826,-0.07705532693275119,-0.15955776209865946
-0.08187920759644263,-0.07647324709403985,-0.15835245469048248
-0.08285161798588961,-0.07738145544335882,-0.16023307342924842
-0.08041131662896707,-0.07510227158070755,-0.15551358820967462
-0.08262310794527991,-0.07716803245969608,-0.159791140404976
-0.08117827588201873,-0.07581859341776705,-0.1569968692997858
-0.08367399926866671,-0.07814882408092053,-0.16182282334958725
-0.07986101109724669,-0.07458761576720101,-0.1544486268644477
-0.08535742872445284,-0.07972109304860181,-0.16507852177305465
-0.08054978066808093,-0.07523090439360977,-0.15578068506169068
-0.08453232413530441,-0.07895047189939047,-0.1634827960346949
-0.080601847294867,-0.07527953294809088,-0.1558813802429579
-0.08387732054286044,-0.07833871961165499,-0.16221604015451543
-0.0817840766805304,-0.07638369717016792,-0.1581677738506983
-0.08228608341681339,-0.07685255531518251,-0.1591386387319959
-0.08056464195515939,-0.07524478435846475,-0.15580942631362416
-0.08324755204543571,-0.07775053609037486,-0.16099808813581057
-0.08089666362231546,-0.07555488191634885,-0.1564515455386643
-0.08435796689640246,-0.07878762784743391,-0.1631455947438364
-0.08153195560418906,-0.07614822419390113,-0.15768017979809018
-0.08228984657985018,-0.07685606998844677,-0.15914591656829696
-0.08115900504695085,-0.07579990036877901,-0.15695890541572988
