SCRIPT,LOCATOR_METHOD,FILE_NAME,VARIABLE,DESCRIPTION,UNIT,VALUES,TYPE,COLOR
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,Es,TODO,TODO,TODO,TODO,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,Hs,Fraction of gross floor area air-conditioned.,[m2/m2],{0.0...1},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,Ns,TODO,TODO,TODO,TODO,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,building_use,Building use. It relates to the uses stored in the input database of Zone_occupancy,[-],Those stored in Zone_occupancy,string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,standard,Letter representing whereas the field represent construction properties of a building as newly constructed (C) or renovated (R),[-],{C or R},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,type_cons,Type of construction. It relates to the contents of the default database of Envelope Properties: construction,[code],{T1...Tn},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,type_leak,Leakage level. It relates to the contents of the default database of Envelope Properties: leakage,[code],{T1...Tn},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,type_roof,Roof construction type (relates to values in Default Database Construction Properties),[-],{T1...Tn},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,type_shade,Shading system type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,type_wall,Wall construction type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,type_win,Window type (relates to values in Default Database Construction Properties),[m2/m2],{T1...Tn},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,void_deck,Share of floors with an open envelope (default = 0),[floor/floor],{0.0...1},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,wwr_east,Window to wall ratio in in facades facing east,[m2/m2],{0.0...1},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:ARCHITECTURE,wwr_north,Window to wall ratio in in facades facing north,[m2/m2],{0.0...1},float,black
