METADATA,mixed-schedule
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROCESSES,HOUR,HEATING,OCCUPANCY,SERVERS,WATER,COOLING,LIGHTING,APPLIANCES,DAY
0.0,1,OFF,1.0,0.0,0.0,SETBACK,0.5,0.5,WEEKDAY
0.0,2,OFF,1.0,0.0,0.0,SETBACK,0.4,0.4,WEEKDAY
0.0,3,OFF,1.0,0.0,0.0,SETBACK,0.4,0.4,WEEKDAY
0.0,4,OFF,1.0,0.0,0.05,SETBACK,0.4,0.4,WEEKDAY
0.0,5,OFF,1.0,0.0,0.05,SETBACK,0.4,0.4,WEEKDAY
0.0,6,OFF,1.0,0.0,0.05,SETBACK,0.4,0.4,WEEKDAY
0.0,7,OFF,1.0,0.0,0.8,SETPOINT,0.5,0.5,WEEKDAY
0.0,8,OFF,0.9,0.0,0.7,SETPOINT,0.7,0.7,WEEKDAY
0.0,9,OFF,0.4,0.0,0.5,SETPOINT,0.7,0.7,WEEKDAY
0.0,10,OFF,0.25,0.0,0.4,SETPOINT,0.7,0.7,WEEKDAY
0.0,11,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,WEEKDAY
0.0,12,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,WEEKDAY
0.0,13,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,WEEKDAY
0.0,14,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,WEEKDAY
0.0,15,OFF,0.25,0.0,0.5,SETPOINT,0.7,0.7,WEEKDAY
0.0,16,OFF,0.25,0.0,0.6,SETPOINT,0.7,0.7,WEEKDAY
0.0,17,OFF,0.3,0.0,0.7,SETPOINT,0.8,0.8,WEEKDAY
0.0,18,OFF,0.5,0.0,0.7,SETPOINT,1.0,1.0,WEEKDAY
0.0,19,OFF,0.9,0.0,0.4,SETBACK,1.0,1.0,WEEKDAY
0.0,20,OFF,0.9,0.0,0.25,SETBACK,0.9,0.9,WEEKDAY
0.0,21,OFF,0.9,0.0,0.2,SETBACK,0.9,0.9,WEEKDAY
0.0,22,OFF,1.0,0.0,0.2,SETBACK,0.8,0.8,WEEKDAY
0.0,23,OFF,1.0,0.0,0.05,SETBACK,0.7,0.7,WEEKDAY
0.0,24,OFF,1.0,0.0,0.05,SETBACK,0.6,0.6,WEEKDAY
0.0,1,OFF,1.0,0.0,0.0,SETBACK,0.5,0.5,SATURDAY
0.0,2,OFF,1.0,0.0,0.0,SETBACK,0.4,0.4,SATURDAY
0.0,3,OFF,1.0,0.0,0.0,SETBACK,0.4,0.4,SATURDAY
0.0,4,OFF,1.0,0.0,0.05,SETBACK,0.4,0.4,SATURDAY
0.0,5,OFF,1.0,0.0,0.05,SETBACK,0.4,0.4,SATURDAY
0.0,6,OFF,1.0,0.0,0.05,SETBACK,0.4,0.4,SATURDAY
0.0,7,OFF,1.0,0.0,0.8,SETPOINT,0.5,0.5,SATURDAY
0.0,8,OFF,0.9,0.0,0.7,SETPOINT,0.7,0.7,SATURDAY
0.0,9,OFF,0.4,0.0,0.5,SETPOINT,0.7,0.7,SATURDAY
0.0,10,OFF,0.25,0.0,0.4,SETPOINT,0.7,0.7,SATURDAY
0.0,11,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,SATURDAY
0.0,12,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,SATURDAY
0.0,13,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,SATURDAY
0.0,14,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,SATURDAY
0.0,15,OFF,0.25,0.0,0.5,SETPOINT,0.7,0.7,SATURDAY
0.0,16,OFF,0.25,0.0,0.6,SETPOINT,0.7,0.7,SATURDAY
0.0,17,OFF,0.3,0.0,0.7,SETPOINT,0.8,0.8,SATURDAY
0.0,18,OFF,0.5,0.0,0.7,SETPOINT,1.0,1.0,SATURDAY
0.0,19,OFF,0.9,0.0,0.4,SETBACK,1.0,1.0,SATURDAY
0.0,20,OFF,0.9,0.0,0.25,SETBACK,0.9,0.9,SATURDAY
0.0,21,OFF,0.9,0.0,0.2,SETBACK,0.9,0.9,SATURDAY
0.0,22,OFF,1.0,0.0,0.2,SETBACK,0.8,0.8,SATURDAY
0.0,23,OFF,1.0,0.0,0.05,SETBACK,0.7,0.7,SATURDAY
0.0,24,OFF,1.0,0.0,0.05,SETBACK,0.6,0.6,SATURDAY
0.0,1,OFF,1.0,0.0,0.0,SETBACK,0.5,0.5,SUNDAY
0.0,2,OFF,1.0,0.0,0.0,SETBACK,0.4,0.4,SUNDAY
0.0,3,OFF,1.0,0.0,0.0,SETBACK,0.4,0.4,SUNDAY
0.0,4,OFF,1.0,0.0,0.05,SETBACK,0.4,0.4,SUNDAY
0.0,5,OFF,1.0,0.0,0.05,SETBACK,0.4,0.4,SUNDAY
0.0,6,OFF,1.0,0.0,0.05,SETBACK,0.4,0.4,SUNDAY
0.0,7,OFF,1.0,0.0,0.8,SETPOINT,0.5,0.5,SUNDAY
0.0,8,OFF,0.9,0.0,0.7,SETPOINT,0.7,0.7,SUNDAY
0.0,9,OFF,0.4,0.0,0.5,SETPOINT,0.7,0.7,SUNDAY
0.0,10,OFF,0.25,0.0,0.4,SETPOINT,0.7,0.7,SUNDAY
0.0,11,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,SUNDAY
0.0,12,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,SUNDAY
0.0,13,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,SUNDAY
0.0,14,OFF,0.25,0.0,0.25,SETPOINT,0.7,0.7,SUNDAY
0.0,15,OFF,0.25,0.0,0.5,SETPOINT,0.7,0.7,SUNDAY
0.0,16,OFF,0.25,0.0,0.6,SETPOINT,0.7,0.7,SUNDAY
0.0,17,OFF,0.3,0.0,0.7,SETPOINT,0.8,0.8,SUNDAY
0.0,18,OFF,0.5,0.0,0.7,SETPOINT,1.0,1.0,SUNDAY
0.0,19,OFF,0.9,0.0,0.4,SETBACK,1.0,1.0,SUNDAY
0.0,20,OFF,0.9,0.0,0.25,SETBACK,0.9,0.9,SUNDAY
0.0,21,OFF,0.9,0.0,0.2,SETBACK,0.9,0.9,SUNDAY
0.0,22,OFF,1.0,0.0,0.2,SETBACK,0.8,0.8,SUNDAY
0.0,23,OFF,1.0,0.0,0.05,SETBACK,0.7,0.7,SUNDAY
0.0,24,OFF,1.0,0.0,0.05,SETBACK,0.6,0.6,SUNDAY
