Input Database;Description;Primary Interdependencies;Non-primary Interdependencies;Column names /parameters;Type;Unit;Description;Valid Values
Construction Properties;This database stores building properties of the Swiss building stock. This database  is useful to retrieve properties of buildings based on their construction year and age. ;;"Receives data from the primary input databases of ?age? and ?occupancy?. Serves to produce all secondary input databases.
";Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;building_use;string;[-];Building use. It relates to the uses stored in the input database of  Zone_occupancy;Those stored in  Zone_occupancy
;;;;year_start;int;[yr];Lower  limit of year interval where the building properties apply;{0...n}
;;;;year_end;int;[yr];Upper limit of year interval where the building properties apply;{0...n}
;;;;standard;string;[-];Letter representing whereas the field represent construction properties of a building as built ?C? or renovated ?R?;{?C? , ?R?}
;;;;Hs;float;[-];Fraction of heated space in building archetype;{0.0...1}
;;;;win_wall;float;[-];Window to wall ratio in building archetype;{0.0...1}
;;;;type_cons;string;[-];Type of construction. It relates to the contents of the default database of Envelope Properties: construction;{T1...Tn}
;;;;type_leak;string;[-];Leakage level. It relates to the contents of the default database of Envelope Properties: leakage;{T1...Tn}
;;;;type_win;string;[-];Window type. It relates to the contents of the default database of Envelope Properties: windows;{T1...Tn}
;;;;type_roof;string;[-];Roof construction. It relates to the contents of the default database of Envelope Properties: roof;{T1...Tn}
;;;;type_wall;string;[-];Wall construction. It relates to the contents of the default database of Envelope Properties: walll;{T1...Tn}
;;;;type_shade;string;[-];Shading system type. It relates to the contents of the default database of Envelope Properties: shade;{T1...Tn}
Occupancy Schedules;This database in Excel stores information of schedules of occupancy, and use of hot water, lighting and other electrical appliances. Every tab in this excel file corresponds to a type of occupancy. This database is useful to calculate the demand of energy in buildings.;Relates detailed data to the primary input database of Zone occupancy.;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;Weekday_1;float;[p/p];Probability of maximum occupancy per hour in a weekday;{0.0?.1}
;;;;Saturday_1;float;[p/p];Probability of maximum occupancy per hour on Saturday;{0.0?.1}
;;;;Sunday_1;float;[p/p];Probability of maximum occupancy per hour on Sunday;{0.0?.1}
System Controls;This database in Excel stores information used to define the cooling and heating seasons for a given scenario.;;Note: the heating and cooling seasons need to be non-overlapping and comprise the entire year.;has-heating-season;Boolean;[-];Defines whether the scenario has a heating season.;{TRUE, FALSE}
;;;;heating-season-start;date;[-];Day on which the heating season starts;mm-dd
;;;;heating-season-end;date;[-];Last day of the heating season;mm-dd
