Database Type;Database Name;Description;Format/Naming;Location (example);Primary Interdependencies;Secondary Interdependencies;Column names /parameters;Type;Unit;Description;Valid Values
Input Databases;Primary: Zone Geometry;This database consists of a shapefile storing the geometry of buildings in the zone of analysis. This database is useful to calculate the geometry and position of buildings, and as such, it is a key element in all CEA.;shapefile / zone.shp;`` ..cea/examples/reference-case-open/baseline/inputs/building-geometry/zone.shp`` ;None;None;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;Height_ag;float;[m];Building total height above ground;{0.1...n}
;;;;;;;Height_bg;float;[m];Building total height below ground;{1.0...n}
;;;;;;;Floor_ag;integer;[-];Number of building floors above ground;{0...n}
;;;;;;;Floor_bg;integer;[-];Number of building floors below ground;{0...n}
;Primary: District Geometry;This database consists of a shapefile storing the geometry of buildings in the surroundings of the zone of analysis. This database is useful to calculate the radiation reflected from surrounding buildings into the zone of analysis.;shapefile / district.shp;`` ..cea/examples/reference-case-open/baseline/inputs/building-geometry/zone.shp`` ;None;None;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;Height_ag;float;[m];Building total height above ground;{0.1...n}
;;;;;;;Height_bg;float;[m];Building total height below ground;{1.0...n}
;;;;;;;Floor_ag;integer;[-];Number of building floors above ground;{0...n}
;;;;;;;Floor_bg;integer;[-];Number of building floors below ground;{0...n}
;Primary: Building Metering;;csv / B01.csv;`` ..cea/examples/reference-case-open/baseline/inputs/building-geometry/zone.shp`` ;None;None;DATE;date;[smalldatetime];Time stamp for each day of the year ascending in hour intervals.;YYYY-MM-DD hh:mm:ss
;;;;;;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;E_sys_kWh;integer;[# of people];Describes the occupancy in terms of pax for a given hour time stamp.;{0...n}
;;;;;;;Qhs_sys_kWh;float;[kWh];System heat demand;{0.0...n}
;;;;;;;Qww_sys_kWh;float;[kWh];DHW heat demand;{0.0...n}
;;;;;;;Qcs_sys_kWh;float;[kWh];System cool demand;{0.0...n}
;Primary: Zone Age;This database stores the age of construction and years of renovation of different architectural components in buildings in the zone of analysis.;dataBase / age.dbf;`` ..cea/examples/reference-case-open/baseline/inputs/building_properties/age.dbf`` ;None;None;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;built;integer;[-];Construction year;{0...n}
;;;;;;;roof;integer;[-];Year of last retrofit of roof (0 if none);{0...n}
;;;;;;;windows;integer;[-];Year of last retrofit of windows (0 if none);{0...n}
;;;;;;;partitions;integer;[-];Year of last retrofit of internal wall partitions(0 if none);{0...n}
;;;;;;;HVAC;integer;[-];Year of last retrofit of HVAC systems (0 if none);{0...n}
