Database Type;Database Name;Column names /parameters;Unit;Description
Common Plot Variables;Demand;COAL_hs_kWh;kWh;Coal consumption due to space heating
;;COAL_hs_MWhyr;MWh/yr;Coal consumption due to space heating
;;COAL_hs0_kW;kW;Nominal Coal consumption due to space heating
;;COAL_ww_kWh;kWh;Coal consumption due to hotwater
;;COAL_ww_MWhyr;MWh/yr;Coal consumption due to hotwater
;;COAL_ww0_kW;kW;Nominal Coal consumption due to hotwater
;;DC_cdata_kWh;kWh;District cooling for data center cooling demand
;;DC_cdata_MWhyr;MWh/yr;District cooling for data center cooling demand
;;DC_cdata0_kW;kW;Nominal district cooling for final data center cooling demand
;;DC_cre_kWh;kWh;District cooling for refrigeration demand
;;DC_cre_MWhyr;MWh/yr;District cooling for refrigeration demand
;;DC_cre0_kW;kW;Nominal district cooling for refrigeration demand
;;DC_cs_kWh;kWh;District cooling for space cooling demand
;;DC_cs_MWhyr;MWh/yr;District cooling for space cooling demand
;;DC_cs0_kW;kW;Nominal district cooling for space cooling demand
;;DH_hs_kWh;kWh;District heating for space heating demand
;;DH_hs_MWhyr;MWh/yr;District heating for space heating demand
;;DH_hs0_kW;kW;Nominal district heating for space heating demand
;;DH_ww_kWh;kWh;District heating for hotwater demand
;;DH_ww_MWhyr;MWh/yr;District heating for hotwater demand
;;DH_ww0_kW;kW;Nominal district heating for hotwater demand
;;E_sys_kWh;kWh;End-use electricity demand
;;E_sys_MWhyr;MWh/yr;End-use electricity demand
;;E_sys0_kW;kW;Nominal end-use electricity demand
;;GRID_kWh;kWh;Grid electricity consumption
;;GRID_MWhyr;MWh/yr;Grid electricity consumption
;;GRID0_kW;kW;Nominal Grid electricity consumption
;;I_rad_kWh;kWh;Radiative heat loss
;;I_sol_kWh;kWh;Solar heat gain
;;NG_hs_kWh;kWh;NG consumption due to space heating
;;NG_hs_MWhyr;MWh/yr;NG consumption due to space heating
;;NG_hs0_kW;kW;Nominal NG consumption due to space heating
;;NG_ww_kWh;kWh;NG consumption due to hotwater
;;NG_ww_MWhyr;MWh/yr;NG consumption due to hotwater
;;NG_ww0_kW;kW;Nominal NG consumption due to hotwater
;;OIL_hs_kWh;kWh;OIL consumption due to space heating
;;OIL_hs_MWhyr;MWh/yr;OIL consumption due to space heating
;;OIL_hs0_kW;kW;Nominal OIL consumption due to space heating
;;OIL_ww_kWh;kWh;OIL consumption due to hotwater
;;OIL_ww_MWhyr;MWh/yr;OIL consumption due to hotwater
;;OIL_ww0_kW;kW;Nominal OIL consumption due to hotwater
;;PV_kWh;kWh;PV electricity consumption
;;PV_MWhyr;MWh/yr;PV electricity consumption
;;PV0_kW;kW;Nominal PV electricity consumption
;;Q_gain_lat_peop_kWh;kWh;Latent heat gain from people
;;Q_gain_lat_vent_kWh;kWh;Latent heat gain from ventilation and infiltration
;;Q_gain_sen_app_kWh;kWh;Sensible heat gain from appliances
;;Q_gain_sen_base_kWh;kWh;Sensible heat gain from transmission through the base
;;Q_gain_sen_data_kWh;kWh;Sensible heat gain from data centres
;;Q_gain_sen_light_kWh;kWh;Sensible heat gain from lighting
;;Q_gain_sen_peop_kWh;kWh;Sensible heat gain from people
;;Q_gain_sen_roof_kWh;kWh;Sensible heat gain from transmission through the roof
;;Q_gain_sen_vent_kWh;kWh;Sensible heat gain from ventilation and infiltration
;;Q_gain_sen_wall_kWh;kWh;Sensible heat gain from transmission through the walls
;;Q_gain_sen_wind_kWh;kWh;Sensible heat gain from transmission through the windows
;;Q_loss_sen_base_kWh;kWh;Sensible heat loss from transmission through the base
;;Q_loss_sen_ref_kWh;kWh;Sensible heat loss from refrigeration systems
;;Q_loss_sen_roof_kWh;kWh;Sensible heat loss from transmission through the roof
;;Q_loss_sen_vent_kWh;kWh;Sensible heat loss from ventilation and infiltration
;;Q_loss_sen_wall_kWh;kWh;Sensible heat loss from transmission through the walls
;;Q_loss_sen_wind_kWh;kWh;Sensible heat loss from transmission through windows
;;Qcdata_sys_kWh;kWh;End-use data center cooling demand
;;Qcdata_sys_MWhyr;MWh/yr;End-use data center cooling demand
;;Qcdata_sys0_kW;kW;Nominal end-use data center cooling demand
;;QCf_kWh;kWh;Final total cooling demand
;;Qcre_sys_kWh;kWh;End-use refrigeration demand
;;Qcre_sys_MWhyr;MWh/yr;End-use refrigeration demand
;;Qcre_sys0_kW;kW; Nominal refrigeration cooling demand
;;Qcs_loss_sen_kWh;kWh;Loss of the cooling system
;;Qcs_sys_kWh;kWh;End-use space cooling demand
;;Qcs_sys_MWhyr;MWh/yr;End-use space cooling demand
;;Qcs_sys0_kW;kW;Nominal end-use space cooling demand
;;Qcs_tot_lat_kWh;kWh;Total latent load of the cooling system
;;Qcs_tot_sen_kWh;kWh;Total sensible load of the cooling system
;;Qhs_loss_sen_kWh;kWh;Loss of the heating system
;;Qhs_sys_kWh;kWh;End-use space heating demand
;;Qhs_sys_MWhyr;MWh/yr;End-use space heating demand
;;Qhs_sys0_kW;kW;Nominal end-use space heating demand
;;Qhs_tot_sen_kWh;kWh;Total sensible load of the heating system
;;Qww_sys_kWh;kWh;End-use hotwater demand
;;Qww_sys_MWhyr;MWh/yr;End-use hotwater demand
;;Qww_sys0_kW;kW;Nominal end-use hotwater demand
;;SOLAR_hs_kWh;kWh;Solar energy consumption due to space heating
;;SOLAR_hs_MWhyr;MWh/yr;Solar energy consumption due to space heating
;;SOLAR_hs0_kW;kW;Nominal solar energy consumption due to space heating
;;SOLAR_ww_kWh;kWh;Solar energy consumption due to hotwater
;;SOLAR_ww_MWhyr;MWh/yr;Solar energy consumption due to hotwater
;;SOLAR_ww0_kW;kW;Nominal solar energy consumption due to hotwater
;;T_ext_C;C;Outdoor temperature
;;T_int_C;C;Indoor temperature
;;Tcs_sys_re_ahu_C;C;Return temperature cooling system
;;Tcs_sys_re_aru_C;C;Return temperature cooling system
;;Tcs_sys_re_scu_C;C;Return temperature cooling system
;;Tcs_sys_sup_ahu_C;C;Supply temperature cooling system
;;Tcs_sys_sup_aru_C;C;Supply temperature cooling system
;;Tcs_sys_sup_scu_C;C;Supply temperature cooling system
;;Ths_sys_re_ahu_C;C;Return temperature heating system
;;Ths_sys_re_aru_C;C;Return temperature heating system
;;Ths_sys_re_shu_C;C;Return temperature heating system
;;Ths_sys_sup_ahu_C;C;Supply temperature heating system
;;Ths_sys_sup_aru_C;C;Supply temperature heating system
;;Ths_sys_sup_shu_C;C;Supply temperature heating system
;;Tww_sys_re_C;C;Return temperature hotwater system
;;Tww_sys_sup_C;C;Supply temperature hotwater system
;;WOOD_hs_kWh;kWh;WOOD consumption due to space heating
;;WOOD_hs_MWhyr;MWh/yr;WOOD consumption due to space heating
;;WOOD_hs0_kW;kW;Nominal WOOD consumption due to space heating
;;WOOD_ww_kWh;kWh;WOOD consumption due to hotwater
;;WOOD_ww_MWhyr;MWh/yr;WOOD consumption due to hotwater
;;WOOD_ww0_kW;kW;Nominal WOOD consumption due to hotwater
;Solar Radiation;PV_roofs_top_E_kWh;kWh;Electricity production from photovoltaic panels on roof tops
;;PV_walls_east_E_kWh;kWh;Electricity production from photovoltaic panels on east facades
;;PV_walls_north_E_kWh;kWh;Electricity production from photovoltaic panels on north facades
;;PV_walls_south_E_kWh;kWh;Electricity production from photovoltaic panels on south facades
;;PV_walls_west_E_kWh;kWh;Electricity production from photovoltaic panels on west facades
;;PVT_roofs_top_E_kWh;kWh;Electricity production from photovoltaic-thermal panels on roof tops
;;PVT_roofs_top_Q_kWh;kWh;Heat production from photovoltaic-thermal panels on roof tops
;;PVT_walls_east_E_kWh;kWh;Electricity production from photovoltaic-thermal panels on east facades
;;PVT_walls_east_Q_kWh;kWh;Heat production from photovoltaic-thermal panels on east facades
;;PVT_walls_north_E_kWh;kWh;Electricity production from photovoltaic-thermal panels on north facades
;;PVT_walls_north_Q_kWh;kWh;Heat production from photovoltaic-thermal panels on north facades
;;PVT_walls_south_E_kWh;kWh;Electricity production from photovoltaic-thermal panels on south facades
;;PVT_walls_south_Q_kWh;kWh;Heat production from photovoltaic-thermal panels on south facades
;;PVT_walls_west_E_kWh;kWh;Electricity production from photovoltaic-thermal panels on west facades
;;PVT_walls_west_Q_kWh;kWh;Heat production from photovoltaic-thermal panels on west facades
;;roofs_top;W;Radiation on the roof
;;SC_ET_roofs_top_Q_kWh;kWh;Heat production from evacuated-tube collectors on roof tops
;;SC_ET_walls_east_Q_kWh;kWh;Heat production from evacuated-tube collectors on east facades
;;SC_ET_walls_north_Q_kWh;kWh;Heat production from evacuated-tube collectors on north facades
;;SC_ET_walls_south_Q_kWh;kWh;Heat production from evacuated-tube collectors on south facades
;;SC_ET_walls_west_Q_kWh;kWh;Heat production from evacuated-tube collectors on west facades
;;SC_FP_roofs_top_Q_kWh;kWh;Heat production from flat-plate collectors on roof tops
;;SC_FP_walls_east_Q_kWh;kWh;Heat production from flat-plate collectors on east facades
;;SC_FP_walls_north_Q_kWh;kWh;Heat production from flat-plate collectors on north facades
;;SC_FP_walls_south_Q_kWh;kWh;Heat production from flat-plate collectors on south facades
;;SC_FP_walls_west_Q_kWh;kWh;Heat production from flat-plate collectors on west facades
;;walls_east;W;Radiation in walls in the east facade
;;walls_north;W;Radiation in walls in the north facade
;;walls_south;W;Radiation in walls in the south facade
;;walls_west;W;Radiation in walls in the west facade
;;windows_east;W;Radiation in windows in the east facade
;;windows_north;W;Radiation in windows in the north facade
;;windows_south;W;Radiation in windows in the south facade
;;windows_west;W;Radiation in windows in the west facade
;Activation curve;E_AddBoiler_req_W;W;Electrical load required by additional boiler
;;E_aux_storage_solar_and_heat_recovery_req_W;W;Electrical load required by auxiliary equipment associated with storage
;;E_BaseBoiler_req_W;W;Electrical load required by base boiler
;;E_CHP_to_directload_W;W;Electrical load provided by combined heat and power plant to direct load
;;E_CHP_to_grid_W;W;Electrical load provided by combined heat and power plant to grid
;;E_from_grid_W;W;Electrical load taken from grid
