FILE;VARIABLE;DTYPE;UNIT;SHORT_DESCRIPTION;VALUES
zone.shp;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
zone.shp;Height_ag;float;[m];Building total height above ground;{0.1...n}
zone.shp;Height_bg;float;[m];Building total height below ground;{1.0...n}
zone.shp;Floor_ag;int;[-];Number of building floors above ground;{0...n}
zone.shp;Floor_bg;int;[-];Number of building floors below ground;{0...n}
age.dbf;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
age.dbf;built;int;[-];Construction year;{0...n}
age.dbf;roof;int;[-];Year of last retrofit of roof (0 if none);{0...n}
age.dbf;windows;int;[-];Year of last retrofit of windows (0 if none);{0...n}
age.dbf;partitions;int;[-];Year of last retrofit of internal wall partitions(0 if none);{0...n}
age.dbf;HVAC;int;[-];Year of last retrofit of HVAC systems (0 if none);{0...n}
age.dbf;envelope;int;[-];Year of last retrofit of building facades (0 if none);{0...n}
age.dbf;basement;int;[-];Year of last retrofit of basement (0 if none);{0...n}
architecture.dbf;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
architecture.dbf;void_deck;float;[floor/floor];Share of floors with an open envelope (default = 0);{0.0...1}
architecture.dbf;Hs;float;[m2/m2];Fraction of gross floor area air-conditioned.;{0.0...1}
architecture.dbf;wwr_north;float;[m2/m2];Window to wall ratio in in facades facing north;{0.0...1}
architecture.dbf;wwr_south;float;[m2/m2];Window to wall ratio in in facades facing south;{0.0...1}
architecture.dbf;wwr_east;float;[m2/m2];Window to wall ratio in in facades facing east;{0.0...1}
architecture.dbf;wwr_west;float;[m2/m2];Window to wall ratio in in facades facing west;{0.0...1}
architecture.dbf;wwr_x;float;[m2/m2];Average window-to-wall area ratio in the cardinal direction x;{0.0...1}
architecture.dbf;n50;float;[1/h];Air exchanges per hour at a pressure of 50 Pa.;{0.0...10}
architecture.dbf;type_roof;string;[-];Roof construction type (relates to values in Default Database Construction Properties);{T1...Tn}
architecture.dbf;type_wall;float;[m2/m2];Wall construction type (relates to values in Default Database Construction Properties);{T1...Tn}
architecture.dbf;type_win;float;[m2/m2];Window type (relates to values in Default Database Construction Properties);{T1...Tn}
architecture.dbf;type_shade;float;[m2/m2];Shading system type (relates to values in Default Database Construction Properties);{T1...Tn}
indoor_comfort.dbf;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
indoor_comfort.dbf;Ths_set_C;float;[C];Setpoint temperature for heating system;{0.0...n}
indoor_comfort.dbf;Ths_setb_C;float;[C];Setback point of temperature for heating system;{0.0...n}
indoor_comfort.dbf;Tcs_set_C;float;[C];Setpoint temperature for cooling system;{0.0...n}
indoor_comfort.dbf;Tcs_setb_C;float;[C];Setback point of temperature for cooling system;{0.0...n}
indoor_comfort.dbf;Ve_lps;float;[l/s];Indoor quality requirements of indoor ventilation per person;{0.0...n}
indoor_comfort.dbf;rhum_min_p;float;[%];Minimum relative humidity threshold;{0.0...n}
indoor_comfort.dbf;rhum_max_p;float;[%];Maximum relative humidity threshold;{0.0...n}
internal_loads.dbf;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
internal_loads.dbf;X_ghp;float;[gh/kg/p];Moisture released by occupancy at peak conditions;{0.0...n}
internal_loads.dbf;Ea_Wm2;float;[W/m2];Peak specific electrical load due to computers and devices;{0.0...n}
internal_loads.dbf;El_Wm2;float;[W/m2];Peak specific electrical load due to artificial lighting;{0.0...n}
internal_loads.dbf;Epro_Wm2;string;[W/m2];Peak specific electrical load due to industrial processes;{0.0...n}
internal_loads.dbf;Ere_Wm2;float;[W/m2];Peak specific electrical load due to refrigeration;{0.0...n}
internal_loads.dbf;Ed_Wm2;float;[W/m2];Peak specific electrical load due to servers/data centres;{0.0...n}
internal_loads.dbf;Vww_lpd;float;[lpd];Peak specific daily hot water consumption;{0.0...n}
internal_loads.dbf;Vw_lpd;float;[lpd];Peak specific fresh water consumption (includes cold and hot water);{0.0...n}
internal_loads.dbf;Qhpro_Wm2;float;[W/m2];Peak specific due to process heat;{0.0...n}
internal_loads.dbf;Qcpro_Wm2;float;[W/m2];Peak specific due to process cooling;{0.0...n}
occupancy.dbf;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
occupancy.dbf;HOTEL;float;[m2/m2];Share (fraction of gross floor area) of hospitality area;{0.0...1}
occupancy.dbf;COOLROOM;float;[m2/m2];Share (fraction of gross floor area) of coolrooms;{0.0...1}
occupancy.dbf;PARKING;float;[m2/m2];Share (fraction of gross floor area) of parking area;{0.0...1}
occupancy.dbf;SCHOOL;float;[m2/m2];Share (fraction of gross floor area) of school;{0.0...1}
occupancy.dbf;OFFICE;float;[m2/m2];Share (fraction of gross floor area) of office space;{0.0...1}
occupancy.dbf;GYM;float;[m2/m2];Share (fraction of gross floor area) of of gym space;{0.0...1}
occupancy.dbf;HOSPITAL;float;[m2/m2];Share (fraction of gross floor area) of hospital area;{0.0...1}
occupancy.dbf;INDUSTRIAL;float;[m2/m2];Share (fraction of gross floor area) of industrial area;{0.0...1}
occupancy.dbf;RETAIL;float;[m2/m2];Share (fraction of gross floor area) of retail area;{0.0...1}
occupancy.dbf;RESTAURANT;float;[m2/m2];Share (fraction of gross floor area) of this occupancy in the building;{0.0...1}
occupancy.dbf;SINGLE_RES;float;[m2/m2];Share (fraction of gross floor area) of this occupancy in the building;{0.0...1}
occupancy.dbf;MULTI-RES;float;[m2/m2];Share (fraction of gross floor area) of this occupancy in the building;{0.0...1}
occupancy.dbf;SERVERROOM;float;[m2/m2];Share (fraction of gross floor area) of this occupancy in the building;{0.0...1}
occupancy.dbf;SWIMMING;float;[m2/m2];Share (fraction of gross floor area) of this occupancy in the building;{0.0...1}
occupancy.dbf;FOODSTORE;float;[m2/m2];Share (fraction of gross floor area) of this occupancy in the building;{0.0...1}
occupancy.dbf;LIBRARY;float;[m2/m2];Share (fraction of gross floor area) of this occupancy in the building;{0.0...1}
restrictions.dbf;NAME;string;[-];Unique building ID. It must start with a letter.;alphanumeric
restrictions.dbf;SOLAR;float;[-];Share of solar rooftop area protected;{0.0...1}
restrictions.dbf;GEOTHERMAL;float;[-];Share of foot-print area protected for geothermal exploration;{0.0...1}
restrictions.dbf;WATERBODY;int;[-];Use of water bodies is restricted in the area.;{0/1}
restrictions.dbf;NATURALGAS;int;[-];Natural gas restricted in the area.;{0/1}
restrictions.dbf;BIOGAS;int;[-];Biogas restricted in the area;{0/1}
supply_systems.dbf;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
supply_systems.dbf;type_cs;string;[code];Type of cooling supply system;{T0...Tn}
supply_systems.dbf;type_hs;string;[code];Type of heating supply system;{T0...Tn}
supply_systems.dbf;type_dhw;string;[code];Type of hot water supply system;{T0...Tn}
supply_systems.dbf;type_el;string;[code];Type of electrical supply system;{T0...Tn}
technical_systems.dbf;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
technical_systems.dbf;type_cs;string;[code];Type of cooling system (relates to values in Default Database HVAC Properties);{T1...Tn}
technical_systems.dbf;type_hs;string;[code];Type of heating system (relates to values in Default Database HVAC Properties);{T1...Tn}
technical_systems.dbf;type_dhw;string;[code];Type of hot water system (relates to values in Default Database HVAC Properties);{T1...Tn}
technical_systems.dbf;type_ctrl;string;[code];Type of heating and cooling control systems (relates to values in Default Database HVAC Properties);{T1...Tn}
technical_systems.dbf;type_vent;string;[code];Type of ventilation strategy (relates to values in Default Database HVAC Properties);{T1...Tn}
construction_properties.xlsx:ARCHITECTURE;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
construction_properties.xlsx:ARCHITECTURE;building_use;string;[-];Building use. It relates to the uses stored in the input database of Zone_occupancy;Those stored in Zone_occupancy
construction_properties.xlsx:ARCHITECTURE;year_start;int;[yr];Lower limit of year interval where the building properties apply;{0...n}
construction_properties.xlsx:ARCHITECTURE;year_end;int;[yr];Upper limit of year interval where the building properties apply;{0...n}
