,Area,PV_kWh
0,109.98,0.00
1,109.98,0.00
2,109.98,0.00
3,109.98,0.00
4,109.98,0.00
5,109.98,0.00
6,109.98,0.00
7,109.98,0.00
8,109.98,0.00
9,109.98,1.45
10,109.98,2.38
11,109.98,3.13
12,109.98,3.00
13,109.98,2.59
14,109.98,1.90
15,109.98,0.95
16,109.98,0.00
17,109.98,0.00
18,109.98,0.00
19,109.98,0.00
20,109.98,0.00
21,109.98,0.00
22,109.98,0.00
23,109.98,0.00
24,109.98,0.00
25,109.98,0.00
26,109.98,0.00
27,109.98,0.00
28,109.98,0.00
29,109.98,0.00
30,109.98,0.00
31,109.98,0.00
32,109.98,0.00
33,109.98,0.00
34,109.98,0.87
35,109.98,1.07
36,109.98,0.82
37,109.98,0.75
38,109.98,0.40
39,109.98,0.00
40,109.98,0.00
41,109.98,0.00
42,109.98,0.00
43,109.98,0.00
44,109.98,0.00
45,109.98,0.00
46,109.98,0.00
47,109.98,0.00
48,109.98,0.00
49,109.98,0.00
50,109.98,0.00
51,109.98,0.00
52,109.98,0.00
53,109.98,0.00
54,109.98,0.00
55,109.98,0.00
56,109.98,0.00
57,109.98,1.85
58,109.98,2.99
59,109.98,2.84
60,109.98,2.98
61,109.98,3.11
62,109.98,2.72
63,109.98,1.58
64,109.98,0.00
65,109.98,0.00
66,109.98,0.00
67,109.98,0.00
68,109.98,0.00
69,109.98,0.00
70,109.98,0.00
71,109.98,0.00
72,109.98,0.00
73,109.98,0.00
74,109.98,0.00
75,109.98,0.00
76,109.98,0.00
77,109.98,0.00
78,109.98,0.00
79,109.98,0.00
80,109.98,0.00
81,109.98,2.55
82,109.98,5.06
83,109.98,6.07
84,109.98,6.27
85,109.98,5.20
86,109.98,4.12
87,109.98,2.05
88,109.98,0.00
89,109.98,0.00
90,109.98,0.00
91,109.98,0.00
92,109.98,0.00
93,109.98,0.00
94,109.98,0.00
95,109.98,0.00
96,109.98,0.00
97,109.98,0.00
98,109.98,0.00
99,109.98,0.00
100,109.98,0.00
101,109.98,0.00
102,109.98,0.00
103,109.98,0.00
104,109.98,0.00
105,109.98,0.00
106,109.98,0.43
107,109.98,0.98
108,109.98,1.08
109,109.98,0.99
110,109.98,0.67
111,109.98,0.00
112,109.98,0.00
113,109.98,0.00
114,109.98,0.00
115,109.98,0.00
116,109.98,0.00
117,109.98,0.00
118,109.98,0.00
119,109.98,0.00
120,109.98,0.00
121,109.98,0.00
122,109.98,0.00
123,109.98,0.00
124,109.98,0.00
125,109.98,0.00
126,109.98,0.00
127,109.98,0.00
128,109.98,0.00
129,109.98,1.77
130,109.98,2.96
131,109.98,3.60
132,109.98,3.48
133,109.98,3.47
134,109.98,2.31
135,109.98,1.18
136,109.98,0.00
137,109.98,0.00
138,109.98,0.00
139,109.98,0.00
140,109.98,0.00
141,109.98,0.00
142,109.98,0.00
143,109.98,0.00
144,109.98,0.00
145,109.98,0.00
146,109.98,0.00
147,109.98,0.00
148,109.98,0.00
149,109.98,0.00
150,109.98,0.00
151,109.98,0.00
152,109.98,0.00
153,109.98,0.73
154,109.98,1.57
155,109.98,1.41
156,109.98,1.97
157,109.98,2.53
158,109.98,1.77
159,109.98,1.03
160,109.98,0.00
161,109.98,0.00
162,109.98,0.00
163,109.98,0.00
164,109.98,0.00
165,109.98,0.00
166,109.98,0.00
167,109.98,0.00
168,109.98,0.00
169,109.98,0.00
170,109.98,0.00
171,109.98,0.00
172,109.98,0.00
173,109.98,0.00
174,109.98,0.00
175,109.98,0.00
176,109.98,0.00
177,109.98,0.00
178,109.98,0.82
179,109.98,1.05
180,109.98,1.13
181,109.98,1.10
182,109.98,0.87
183,109.98,0.00
184,109.98,0.00
185,109.98,0.00
186,109.98,0.00
187,109.98,0.00
188,109.98,0.00
189,109.98,0.00
190,109.98,0.00
191,109.98,0.00
192,109.98,0.00
193,109.98,0.00
194,109.98,0.00
195,109.98,0.00
196,109.98,0.00
197,109.98,0.00
198,109.98,0.00
199,109.98,0.00
200,109.98,0.00
201,109.98,0.00
202,109.98,0.00
203,109.98,0.00
204,109.98,0.00
205,109.98,1.84
206,109.98,1.75
207,109.98,1.49
208,109.98,0.00
209,109.98,0.00
210,109.98,0.00
211,109.98,0.00
212,109.98,0.00
213,109.98,0.00
214,109.98,0.00
215,109.98,0.00
216,109.98,0.00
217,109.98,0.00
218,109.98,0.00
219,109.98,0.00
220,109.98,0.00
221,109.98,0.00
222,109.98,0.00
223,109.98,0.00
224,109.98,0.00
225,109.98,0.00
226,109.98,0.00
227,109.98,0.00
228,109.98,0.00
229,109.98,4.03
230,109.98,2.74
231,109.98,1.52
232,109.98,0.00
233,109.98,0.00
234,109.98,0.00
235,109.98,0.00
236,109.98,0.00
237,109.98,0.00
238,109.98,0.00
239,109.98,0.00
240,109.98,0.00
241,109.98,0.00
242,109.98,0.00
243,109.98,0.00
244,109.98,0.00
245,109.98,0.00
246,109.98,0.00
247,109.98,0.00
248,109.98,0.00
249,109.98,1.98
250,109.98,2.56
251,109.98,3.62
252,109.98,3.27
253,109.98,2.61
254,109.98,2.80
255,109.98,1.90
256,109.98,0.00
257,109.98,0.00
258,109.98,0.00
259,109.98,0.00
260,109.98,0.00
261,109.98,0.00
262,109.98,0.00
263,109.98,0.00
264,109.98,0.00
265,109.98,0.00
266,109.98,0.00
267,109.98,0.00
268,109.98,0.00
