bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153734_14_0,B153734,B153734,14,B153734_14,0,71.54,2.65,683703.12,248241.66,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_1,B153734,B153734,14,B153734_14,1,71.54,2.65,683701.12,248241.22,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_2,B153734,B153734,14,B153734_14,2,71.54,2.65,683699.12,248241.21,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_3,B153734,B153734,14,B153734_14,3,71.54,2.65,683697.12,248241.21,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_4,B153734,B153734,14,B153734_14,4,71.54,2.65,683695.12,248241.21,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.07,roof,15.22,1.98,1.36,5,6,5
B153734_14_5,B153734,B153734,14,B153734_14,5,71.54,2.65,683693.12,248241.20,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_6,B153734,B153734,14,B153734_14,6,71.54,2.65,683691.12,248241.20,481.33,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_7,B153734,B153734,14,B153734_14,7,71.54,2.65,683689.12,248241.20,481.33,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_8,B153734,B153734,14,B153734_14,8,71.54,2.65,683687.12,248241.19,481.33,-0.00,0.00,1.00,0.00,0.11,1113470.03,roof,15.22,1.98,1.36,5,6,5
B153734_14_9,B153734,B153734,14,B153734_14,9,71.54,2.65,683685.87,248241.73,481.33,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_10,B153734,B153734,14,B153734_14,10,71.54,2.65,683700.33,248240.10,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.03,roof,15.22,1.98,1.36,5,6,5
B153734_14_11,B153734,B153734,14,B153734_14,11,71.54,2.65,683699.12,248239.54,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_12,B153734,B153734,14,B153734_14,12,71.54,2.65,683697.12,248239.22,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.07,roof,15.22,1.98,1.36,5,6,5
B153734_14_13,B153734,B153734,14,B153734_14,13,71.54,2.65,683695.12,248239.22,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.04,roof,15.22,1.98,1.36,5,6,5
B153734_14_14,B153734,B153734,14,B153734_14,14,71.54,2.65,683693.12,248239.22,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.05,roof,15.22,1.98,1.36,5,6,5
B153734_14_15,B153734,B153734,14,B153734_14,15,71.54,2.65,683691.12,248239.22,481.34,-0.00,0.00,1.00,0.00,0.11,1113470.03,roof,15.22,1.98,1.36,5,6,5
