Name,Freeheight,FactorShade,height_ag,Shape_Leng,Awall_all
B07,25.0,1.0,25.0,25.0,625.0
B07,25.0,1.0,25.0,25.0,625.0
B07,25.0,1.0,25.0,25.0,625.0
B07,25.0,1.0,25.0,25.0,625.0
B08,25.0,1.0,25.0,25.0,625.0
B08,25.0,1.0,25.0,25.0,625.0
B08,25.0,1.0,25.0,25.0,625.0
B08,25.0,1.0,25.0,25.0,625.0
B09,25.0,1.0,25.0,25.0,625.0
B09,25.0,1.0,25.0,25.0,625.0
B09,25.0,1.0,25.0,25.0,625.0
B09,25.0,1.0,25.0,25.0,625.0
B04,25.0,1.0,25.0,25.0,625.0
B04,25.0,1.0,25.0,25.0,625.0
B04,25.0,1.0,25.0,25.0,625.0
B04,25.0,1.0,25.0,25.0,625.0
B05,25.0,1.0,25.0,25.0,625.0
B05,25.0,1.0,25.0,25.0,625.0
B05,25.0,1.0,25.0,25.0,625.0
B05,25.0,1.0,25.0,25.0,625.0
B06,25.0,1.0,25.0,25.0,625.0
B06,25.0,1.0,25.0,25.0,625.0
B06,25.0,1.0,25.0,25.0,625.0
B06,25.0,1.0,25.0,25.0,625.0
B01,25.0,1.0,25.0,25.0,625.0
B01,25.0,1.0,25.0,25.0,625.0
B01,25.0,1.0,25.0,25.0,625.0
B01,25.0,1.0,25.0,25.0,625.0
B02,25.0,1.0,25.0,25.0,625.0
B02,25.0,1.0,25.0,25.0,625.0
B02,25.0,1.0,25.0,25.0,625.0
B02,25.0,1.0,25.0,25.0,625.0
B03,25.0,1.0,25.0,25.0,625.0
B03,25.0,1.0,25.0,25.0,625.0
B03,25.0,1.0,25.0,25.0,625.0
B03,25.0,1.0,25.0,25.0,625.0
