FILE, FIELD, RMSE, ERROR
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_TAC_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_capex_a_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_capex_a_building_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_capex_a_city_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_capex_a_district_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_capex_total_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_capex_total_building_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_capex_total_city_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_capex_total_district_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_a_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_a_building_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_a_city_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_a_district_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_a_fixed_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_a_var_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_building_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_city_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_district_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_fixed_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_hs_opex_var_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_TAC_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_capex_a_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_capex_a_building_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_capex_a_city_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_capex_a_district_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_capex_total_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_capex_total_building_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_capex_total_city_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_capex_total_district_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_a_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_a_building_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_a_city_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_a_district_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_a_fixed_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_a_var_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_building_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_city_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_district_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_fixed_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, COAL_ww_opex_var_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, Capex_a_sys_USD, 1.6207500000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, Capex_a_sys_building_scale_USD, 1.5851500000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, Capex_a_sys_city_scale_USD, 0.0002250000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, Capex_a_sys_district_scale_USD, 0.0000000000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, Capex_total_sys_USD, 358.1327250000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, Capex_total_sys_building_scale_USD, 350.6246500000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, Capex_total_sys_city_scale_USD, 0.0411250000, ok
cooling\outputs\data\costs\supply_system_costs_today.csv, Capex_total_sys_district_scale_USD, 0.0000000000, ok
