Name,Af_m2,Aroof_m2,GFA_m2,people0,Q_gain_sen_base0_kW,Qhs_sen_ahu_MWhyr,Eauxf_cs0_kW,Qcsf_aru_MWhyr,Qhsf_aru0_kW,Qcs_lat_sys_MWhyr,Q_gain_lat_peop_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,Qhprof0_kW,Qhsf_lat0_kW,Qhs_sen_ahu0_kW,Qwwf_MWhyr,Q_loss_sen_ref0_kW,Q_gain_sen_vent_MWhyr,Qcsf_scu0_kW,Edataf_MWhyr,Qcs_em_ls_MWhyr,I_sol0_kW,Eauxf_fw_MWhyr,Qhs_lat_aru_MWhyr,Qcsf_MWhyr,Qcdataf0_kW,Qcs_lat_sys0_kW,Qhs_sen_sys0_kW,Eaf0_kW,Q_gain_sen_light_MWhyr,Qcs_sen_scu_MWhyr,Qcref_MWhyr,Q_gain_sen_wind0_kW,Q_gain_sen_data0_kW,Qcs_em_ls0_kW,Edataf0_kW,Q_gain_sen_peop_MWhyr,Qcsf_scu_MWhyr,Q_gain_sen_roof_MWhyr,Qcs_lat_aru0_kW,Eauxf0_kW,Qhsf_ahu0_kW,Qcsf_lat0_kW,Eauxf_hs0_kW,Eprof_MWhyr,Q_gain_sen_wall_MWhyr,Ef_MWhyr,Qcs_lat_ahu0_kW,Qhs_lat_sys0_kW,QEf_MWhyr,Ef0_kW,Qcs_lat_aru_MWhyr,Egenf_cs_MWhyr,Qhsf_shu0_kW,Qhsf_MWhyr,Q_gain_sen_peop0_kW,Qcs_MWhyr,Eauxf_cs_MWhyr,Qcref0_kW,Eauxf_MWhyr,Qcsf_aru0_kW,Q_gain_sen_app_MWhyr,Eauxf_ww_MWhyr,Qwwf0_kW,Qcsf_lat_MWhyr,Qhs_sen_aru0_kW,I_sol_MWhyr,Qcsf0_kW,Qcdataf_MWhyr,Qhs_lat_ahu_MWhyr,Q_gain_sen_roof0_kW,Elf0_kW,Eaf_MWhyr,Egenf_cs0_kW,Eref0_kW,I_sol_and_I_rad0_kW,Q_gain_lat_peop0_kW,Qcs_dis_ls_MWhyr,Qcs_lat_ahu_MWhyr,Ecaf0_kW,QHf0_kW,Q_gain_sen_vent0_kW,Q_gain_sen_wall0_kW,Qcs_sen_ahu_MWhyr,Eauxf_hs_MWhyr,Qcs_sen_sys_MWhyr,Eprof0_kW,Ealf_MWhyr,Ecaf_MWhyr,Qhsf_ahu_MWhyr,Qcs0_kW,Qcs_sen_aru0_kW,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhsf0_kW,Qcs_sen_sys0_kW,Ealf0_kW,Qhs_sen_sys_MWhyr,Qcs_dis_ls0_kW,QCf0_kW,Qhs_dis_ls_MWhyr,QCf_MWhyr,Qww0_kW,QEf0_kW,Qhs_lat_aru0_kW,Qcs_sen_aru_MWhyr,I_sol_and_I_rad_MWhyr,Eauxf_ve0_kW,Qhsf_lat_MWhyr,Qcs_sen_scu0_kW,Eauxf_ww0_kW,Elf_MWhyr,Eauxf_ve_MWhyr,Eref_MWhyr,Qhprof_MWhyr,Q_loss_sen_ref_MWhyr,Qhs_sen_aru_MWhyr,Q_gain_sen_base_MWhyr,Q_gain_sen_light0_kW,Qhs_sen_shu_MWhyr,Qhs_MWhyr,Qhsf_aru_MWhyr,Q_gain_sen_wind_MWhyr,Qhs_sen_shu0_kW,Qcsf_ahu_MWhyr,I_rad0_kW,I_rad_MWhyr,Qhsf_shu_MWhyr,Qhs_em_ls0_kW,Qcsf_ahu0_kW,Qww_MWhyr,Qhs0_kW,Eauxf_fw0_kW,Q_gain_sen_app0_kW,Q_gain_sen_data_MWhyr,QHf_MWhyr,Qhs_em_ls_MWhyr
B001,17416.463,7725.200,23175.600,1495.000,72.207,0.000,0.570,-3938.963,0.000,-1705.232,249.551,0.000,0.000,0.000,0.000,0.000,0.000,0,106.835,0.000,0.000,-195.088,257.700,0.000,0.000,5457.143,0,0.000,0.000,228.708,1343.339,0.000,0,39.547,0.000,0.000,0.000,311.995,0.000,58.816,0.000,148.442,0.000,848.410,0.000,0.000,168.442,3975.306,-0.000,0.000,9432.449,852.137,-547.337,574.810,0.000,0.000,104.650,5255.184,1.178,0,735.137,0.000,1055.485,0.000,0.000,1705.232,0.000,476.425,1494.231,0,0.000,36.407,285.901,1172.761,205.762,0.000,243.227,83.705,-6.871,-1157.895,0.000,0.000,55.965,104.264,-341.899,0.000,-3549.952,0.000,2665.360,0.000,0.000,1464.564,0.000,-0.000,0.000,0.000,0.000,514.610,0.000,0.000,1494.231,0.000,5457.143,-0.110,2346.368,0.000,-3208.053,326.032,147.914,0.000,0.000,0.000,1492.599,733.958,0.000,0.000,0,0.000,116.652,257.311,0.000,0.000,0.000,85.814,0.000,-1518.180,-5.250,-150.393,0.000,0.000,-0.000,-40.810,0.000,0.000,205.838,0.000,0.000,0.000
B002,17416.463,7725.200,23175.600,1495.000,72.414,0.000,0.570,-3944.409,0.000,-1705.232,249.551,0.000,0.000,0.000,0.000,0.000,0.000,0,106.834,0.000,0.000,-195.371,251.958,0.000,0.000,5462.589,0,0.000,0.000,228.708,1343.339,0.000,0,39.623,0.000,0.000,0.000,311.995,0.000,58.563,0.000,149.512,0.000,848.410,0.000,0.000,167.717,3976.974,-0.000,0.000,9439.563,852.439,-547.337,575.393,0.000,0.000,104.650,5260.332,1.181,0,736.221,0.000,1055.485,0.000,0.000,1705.232,0.000,483.391,1495.122,0,0.000,36.511,285.901,1172.761,205.885,0.000,239.203,83.705,-6.886,-1157.895,0.000,0.000,55.965,104.564,-341.899,0.000,-3555.100,0.000,2665.360,0.000,0.000,1465.418,0.000,-0.000,0.000,0.000,0.000,514.610,0.000,0.000,1495.122,0.000,5462.589,-0.110,2347.561,0.000,-3213.201,332.929,148.982,0.000,0.000,0.000,1492.599,735.040,0.000,0.000,0,0.000,116.150,257.311,0.000,0.000,0.000,85.641,0.000,-1518.181,-5.264,-150.462,0.000,0.000,-0.000,-40.810,0.000,0.000,205.838,0.000,0.000,0.000
B003,11642.238,5164.000,15492.000,1000.000,48.594,0.000,0.452,-2592.969,0.000,-1139.675,166.788,0.000,0.000,0.000,0.000,0.000,0.000,0,71.375,0.000,0.000,-128.422,177.080,0.000,0.000,3607.653,0,0.000,0.000,152.883,897.971,0.000,0,22.456,0.000,0.000,0.000,208.522,0.000,39.072,0.000,96.538,0.000,567.047,0.000,0.000,94.190,2644.962,-0.000,0.000,6252.615,566.531,-365.866,379.882,0.000,0.000,70.000,3473.955,0.908,0,483.389,0.000,705.551,0.000,0.000,1139.675,0.000,295.256,998.998,0,0.000,24.501,191.114,783.946,136.281,0.000,166.395,55.990,-5.276,-773.809,0.000,0.000,37.410,59.064,-228.489,0.000,-2334.279,0.000,1781.691,0.000,0.000,969.959,0.000,-0.000,0.000,0.000,0.000,343.997,0.000,0.000,998.998,0.000,3607.653,-0.074,1556.194,0.000,-2105.790,205.239,96.120,0.000,0.000,0.000,997.745,482.480,0.000,0.000,0,0.000,77.492,172.003,0.000,0.000,0.000,48.262,0.000,-1014.684,-3.070,-90.017,0.000,0.000,-0.000,-27.280,0.000,0.000,137.595,0.000,0.000,0.000
B004,42610.050,2025.000,56700.000,3659.000,16.804,0.000,0.769,-9727.744,0.000,-4171.717,610.482,0.000,0.000,0.000,0.000,0.000,0.000,0,260.141,0.000,0.000,-484.312,1019.224,15.480,0.000,13440.015,0,0.000,0.000,559.544,3286.530,0.000,0,104.868,0.000,0.000,0.000,763.241,0.000,9.001,0.000,370.322,0.000,2075.397,0.000,0.000,271.825,9766.261,-0.000,0.000,23206.276,2066.167,-1339.050,1413.336,0.000,0.000,256.130,12953.290,1.432,0,1832.020,0.000,2582.284,0.000,0.000,4171.717,0.000,1790.666,3783.091,0,0.000,8.473,699.468,2869.205,491.006,0.000,998.652,204.867,-2.413,-2832.667,0.000,0.000,136.910,255.866,-836.426,0.000,-8781.574,0.000,6520.905,0.000,0.000,3656.747,0.000,-0.000,0.000,0.000,0.000,1259.012,0.000,0.000,3783.091,0.000,13440.015,-0.269,5628.734,0.000,-7945.147,1490.070,361.158,0.000,0.000,0.000,3651.700,1815.108,0.000,0.000,0,0.000,17.853,629.521,0.000,0.000,0.000,191.666,0.000,-3712.271,-11.098,-300.596,0.000,0.000,-0.000,-99.844,0.000,8.482,503.590,0.000,0.000,0.000
B005,10914.192,3630.802,14523.210,938.000,30.508,0.000,0.375,-2625.205,0.000,-1069.148,156.476,0.000,0.000,0.000,0.000,0.000,0.000,0,66.820,0.000,0.000,-130.420,302.408,0.000,0.000,3577.170,0,0.000,0.000,143.322,841.816,0.000,0,25.862,0.000,0.000,0.000,195.631,0.000,19.962,0.000,101.911,0.000,531.743,0.000,0.000,84.183,2538.781,-0.000,0.000,6115.951,542.258,-343.017,376.603,0.000,0.000,65.660,3443.071,0.764,0,491.906,0.000,661.430,0.000,0.000,1069.148,0.000,528.839,969.969,0,0.000,15.382,179.163,734.922,130.944,0.000,295.694,52.518,-3.679,-726.130,0.000,0.000,35.078,64.869,-214.409,0.000,-2373.923,0.000,1670.273,0.000,0.000,936.921,0.000,-0.000,0.000,0.000,0.000,322.485,0.000,0.000,969.969,0.000,3577.170,-0.069,1489.879,0.000,-2159.514,433.326,101.558,0.000,0.000,0.000,935.351,491.142,0.000,0.000,0,0.000,39.592,161.246,0.000,0.000,0.000,51.663,0.000,-951.965,-3.573,-95.513,0.000,0.000,-0.000,-25.574,0.000,0.000,128.990,0.000,0.000,0.000
B006,10943.214,3640.457,14561.828,940.000,30.645,0.000,0.377,-2624.990,0.000,-1071.522,156.797,0.000,0.000,0.000,0.000,0.000,0.000,0,66.990,0.000,0.000,-130.388,300.150,0.000,0.000,3578.944,0,0.000,0.000,143.703,844.054,0.000,0,25.946,0.000,0.000,0.000,196.031,0.000,20.277,0.000,101.938,0.000,533.017,0.000,0.000,85.470,2543.283,-0.000,0.000,6122.228,543.223,-343.883,376.800,0.000,0.000,65.800,3444.826,0.768,0,491.769,0.000,663.188,0.000,0.000,1071.522,0.000,521.076,971.770,0,0.000,15.451,179.639,736.876,131.208,0.000,293.429,52.630,-3.731,-727.639,0.000,0.000,35.184,65.129,-214.860,0.000,-2373.304,0.000,1674.714,0.000,0.000,938.672,0.000,-0.000,0.000,0.000,0.000,323.342,0.000,0.000,971.770,0.000,3578.944,-0.069,1492.966,0.000,-2158.445,425.436,101.585,0.000,0.000,0.000,937.838,491.001,0.000,0.000,0,0.000,40.216,161.675,0.000,0.000,0.000,52.041,0.000,-953.954,-3.601,-95.640,0.000,0.000,-0.000,-25.642,0.000,0.000,129.333,0.000,0.000,0.000
B007,46013.010,20409.408,61228.224,3951.000,189.202,0.000,1.300,-9951.393,0.000,-4503.406,658.924,0.000,0.000,0.000,0.000,0.000,0.000,0,281.586,0.000,0.000,-493.452,644.427,0.000,0.000,13960.268,0,0.000,0.000,604.231,3549.002,0.000,0,43.625,0.000,0.000,0.000,823.805,0.000,144.196,0.000,366.273,0.000,2240.534,0.000,0.000,170.039,10360.748,-0.000,0.000,24321.017,2196.786,-1445.860,1468.663,0.000,0.000,276.570,13450.098,2.369,0,1850.402,0.000,2788.513,0.000,0.000,4503.406,0.000,1084.761,4016.615,0,0.000,95.396,755.330,3098.348,521.493,0.000,628.169,221.216,-16.718,-3057.546,0.000,0.000,147.818,112.493,-902.834,0.000,-8946.693,0.000,7041.683,0.000,0.000,3882.107,0.000,-0.000,0.000,0.000,0.000,1359.560,0.000,0.000,4016.615,0.000,13960.268,-0.291,5983.817,0.000,-8043.859,840.617,365.129,0.000,0.000,0.000,3943.336,1848.033,0.000,0.000,0,0.000,285.988,679.797,0.000,0.000,0.000,91.011,0.000,-4008.875,-7.974,-244.144,0.000,0.000,-0.000,-107.818,0.000,0.000,543.808,0.000,0.000,0.000
B008,16449.092,7236.767,21888.345,1412.000,66.803,0.000,0.576,-3631.663,0.000,-1609.859,235.492,0.000,0.000,0.000,0.000,0.000,0.000,0,100.734,0.000,0.000,-179.962,286.018,0.000,0.000,5064.902,0,0.000,0.000,216.005,1268.725,0.000,0,23.017,0.000,0.000,0.000,294.419,0.000,51.369,0.000,136.860,0.000,801.080,0.000,0.000,91.443,3726.887,-0.000,0.000,8791.789,793.846,-516.803,533.087,0.000,0.000,98.840,4878.208,1.101,0,676.484,0.000,996.859,0.000,0.000,1609.859,0.000,434.071,1431.060,0,0.000,33.408,270.021,1107.622,189.890,0.000,277.242,79.058,-6.733,-1093.055,0.000,0.000,52.863,59.470,-322.768,0.000,-3268.350,0.000,2517.316,0.000,0.000,1383.200,0.000,-0.000,0.000,0.000,0.000,486.026,0.000,0.000,1431.060,0.000,5064.902,-0.104,2172.810,0.000,-2945.581,327.810,136.324,0.000,0.000,0.000,1409.695,675.384,0.000,0.000,0,0.000,102.718,243.019,0.000,0.000,0.000,48.641,0.000,-1433.239,-3.586,-106.262,0.000,0.000,-0.000,-38.544,0.000,0.000,194.405,0.000,0.000,0.000
B009,16412.760,7280.000,21840.000,1409.000,66.183,0.000,0.572,-3660.149,0.000,-1606.184,234.985,0.000,0.000,0.000,0.000,0.000,0.000,0,100.472,0.000,0.000,-181.523,278.064,0.000,0.000,5089.982,0,0.000,0.000,215.528,1265.923,0.000,0,22.182,0.000,0.000,0.000,293.785,0.000,49.814,0.000,136.869,0.000,799.304,0.000,0.000,85.182,3729.617,-0.000,0.000,8819.599,791.576,-515.701,535.658,0.000,0.000,98.630,4901.903,1.088,0,682.203,0.000,994.658,0.000,0.000,1606.184,0.000,480.520,1438.200,0,0.000,33.369,269.425,1105.175,189.217,0.000,270.965,78.890,-6.556,-1090.483,0.000,0.000,52.721,57.062,-322.003,0.000,-3295.719,0.000,2511.756,0.000,0.000,1389.720,0.000,-0.000,0.000,0.000,0.000,484.953,0.000,0.000,1438.200,0.000,5089.982,-0.104,2165.655,0.000,-2973.715,375.555,136.337,0.000,0.000,0.000,1406.581,681.115,0.000,0.000,0,0.000,98.797,242.482,0.000,0.000,0.000,46.243,0.000,-1429.832,-3.572,-104.965,0.000,0.000,-0.000,-38.458,0.000,0.000,193.975,0.000,0.000,0.000
B010,12228.826,4068.139,16272.556,1050.000,34.777,0.000,0.406,-2893.089,0.000,-1196.898,175.079,0.000,0.000,0.000,0.000,0.000,0.000,0,74.861,0.000,0.000,-143.658,305.069,0.000,0.000,3958.521,0,0.000,0.000,160.586,943.214,0.000,0,28.726,0.000,0.000,0.000,218.889,0.000,23.892,0.000,111.572,0.000,595.431,0.000,0.000,98.828,2829.741,-0.000,0.000,6788.262,603.702,-384.220,416.761,0.000,0.000,73.500,3810.857,0.824,0,541.519,0.000,741.100,0.000,0.000,1196.898,0.000,534.157,1079.432,0,0.000,17.535,200.743,823.444,145.545,0.000,297.729,58.789,-4.005,-812.679,0.000,0.000,39.286,72.530,-239.972,0.000,-2613.959,0.000,1871.460,0.000,0.000,1042.940,0.000,-0.000,0.000,0.000,0.000,361.329,0.000,0.000,1079.432,0.000,3958.521,-0.077,1658.005,0.000,-2373.987,429.204,111.194,0.000,0.000,0.000,1048.016,540.696,0.000,0.000,0,0.000,47.386,180.669,0.000,0.000,0.000,58.302,0.000,-1065.432,-3.877,-104.953,0.000,0.000,-0.000,-28.655,0.000,0.000,144.527,0.000,0.000,0.000
