Name,Af_m2,Aroof_m2,GFA_m2,people0,Q_gain_sen_base0_kW,Qhs_sen_ahu_MWhyr,Eauxf_cs0_kW,Qcsf_aru_MWhyr,Qhsf_aru0_kW,Qcs_lat_sys_MWhyr,Q_gain_lat_peop_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,Qhprof0_kW,Qhsf_lat0_kW,Qhs_sen_ahu0_kW,Qwwf_MWhyr,Q_loss_sen_ref0_kW,Q_gain_sen_vent_MWhyr,Qcsf_scu0_kW,Edataf_MWhyr,Qcs_em_ls_MWhyr,I_sol0_kW,Eauxf_fw_MWhyr,Qhs_lat_aru_MWhyr,Qcsf_MWhyr,Qcdataf0_kW,Qcs_lat_sys0_kW,Qhs_sen_sys0_kW,Eaf0_kW,Q_gain_sen_light_MWhyr,Qcs_sen_scu_MWhyr,Qcref_MWhyr,Q_gain_sen_wind0_kW,Q_gain_sen_data0_kW,Qcs_em_ls0_kW,Edataf0_kW,Q_gain_sen_peop_MWhyr,Qcsf_scu_MWhyr,Q_gain_sen_roof_MWhyr,Qcs_lat_aru0_kW,Eauxf0_kW,Qhsf_ahu0_kW,Qcsf_lat0_kW,Eauxf_hs0_kW,Eprof_MWhyr,Q_gain_sen_wall_MWhyr,Ef_MWhyr,Qcs_lat_ahu0_kW,Qhs_lat_sys0_kW,QEf_MWhyr,Ef0_kW,Qcs_lat_aru_MWhyr,Egenf_cs_MWhyr,Qhsf_shu0_kW,Qhsf_MWhyr,Q_gain_sen_peop0_kW,Qcs_MWhyr,Eauxf_cs_MWhyr,Qcref0_kW,Eauxf_MWhyr,Qcsf_aru0_kW,Q_gain_sen_app_MWhyr,Eauxf_ww_MWhyr,Qwwf0_kW,Qcsf_lat_MWhyr,Qhs_sen_aru0_kW,I_sol_MWhyr,Qcsf0_kW,Qcdataf_MWhyr,Qhs_lat_ahu_MWhyr,Q_gain_sen_roof0_kW,Elf0_kW,Eaf_MWhyr,Egenf_cs0_kW,Eref0_kW,I_sol_and_I_rad0_kW,Q_gain_lat_peop0_kW,Qcs_dis_ls_MWhyr,Qcs_lat_ahu_MWhyr,Ecaf0_kW,QHf0_kW,Q_gain_sen_vent0_kW,Q_gain_sen_wall0_kW,Qcs_sen_ahu_MWhyr,Eauxf_hs_MWhyr,Qcs_sen_sys_MWhyr,Eprof0_kW,Ealf_MWhyr,Ecaf_MWhyr,Qhsf_ahu_MWhyr,Qcs0_kW,Qcs_sen_aru0_kW,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhsf0_kW,Qcs_sen_sys0_kW,Ealf0_kW,Qhs_sen_sys_MWhyr,Qcs_dis_ls0_kW,QCf0_kW,Qhs_dis_ls_MWhyr,QCf_MWhyr,Qww0_kW,QEf0_kW,Qhs_lat_aru0_kW,Qcs_sen_aru_MWhyr,I_sol_and_I_rad_MWhyr,Eauxf_ve0_kW,Qhsf_lat_MWhyr,Qcs_sen_scu0_kW,Eauxf_ww0_kW,Elf_MWhyr,Eauxf_ve_MWhyr,Eref_MWhyr,Qhprof_MWhyr,Q_loss_sen_ref_MWhyr,Qhs_sen_aru_MWhyr,Q_gain_sen_base_MWhyr,Q_gain_sen_light0_kW,Qhs_sen_shu_MWhyr,Qhs_MWhyr,Qhsf_aru_MWhyr,Q_gain_sen_wind_MWhyr,Qhs_sen_shu0_kW,Qcsf_ahu_MWhyr,I_rad0_kW,I_rad_MWhyr,Qhsf_shu_MWhyr,Qhs_em_ls0_kW,Qcsf_ahu0_kW,Qww_MWhyr,Qhs0_kW,Eauxf_fw0_kW,Q_gain_sen_app0_kW,Q_gain_sen_data_MWhyr,QHf_MWhyr,Qhs_em_ls_MWhyr
B001,34832.927,7725.200,46351.200,2991.000,73.072,0.000,0.801,-7436.471,0.000,-3409.060,498.771,0.000,0.000,0.000,0.000,0.000,0.000,0,213.367,0.000,0.000,-368.464,373.864,0.550,0.000,10470.387,0,0.000,0.000,457.417,2686.678,0.000,0,80.572,0.000,0.000,0.000,623.578,0.000,57.086,0.000,271.182,0.000,1696.247,0.000,0.000,326.975,7815.939,-0.000,0.000,18286.326,1666.831,-1094.506,1102.100,0.000,0.000,209.370,10095.269,1.543,0,1383.120,0.000,2110.970,0.000,0.000,3409.060,0.000,683.539,2961.260,0,0.000,36.843,571.802,2345.522,396.109,0.000,349.899,167.466,-6.654,-2314.554,0.000,0.000,111.901,211.028,-683.442,0.000,-6686.210,0.000,5330.719,0.000,0.000,2866.625,0.000,-0.000,0.000,0.000,0.000,1029.219,0.000,0.000,2961.260,0.000,10470.387,-0.220,4543.340,0.000,-6002.767,433.292,270.146,0.000,0.000,0.000,2985.197,1381.026,0.000,0.000,0,0.000,113.221,514.622,0.000,0.000,0.000,170.044,0.000,-3033.916,-8.334,-250.247,0.000,0.000,-0.000,-81.621,0.000,0.301,411.675,0.000,0.000,0.000
B002,34832.927,7725.200,46351.200,2991.000,72.999,0.000,0.801,-7459.723,0.000,-3409.060,498.771,0.000,0.000,0.000,0.000,0.000,0.000,0,213.356,0.000,0.000,-369.677,356.162,0.550,0.000,10493.638,0,0.000,0.000,457.417,2686.678,0.000,0,80.663,0.000,0.000,0.000,623.578,0.000,56.479,0.000,274.031,0.000,1696.247,0.000,0.000,323.497,7823.009,-0.000,0.000,18316.647,1667.613,-1094.506,1104.552,0.000,0.000,209.370,10117.297,1.547,0,1387.738,0.000,2110.970,0.000,0.000,3409.060,0.000,712.435,2962.765,0,0.000,36.806,571.802,2345.522,396.427,0.000,334.899,167.466,-6.664,-2314.554,0.000,0.000,111.901,210.817,-683.442,0.000,-6708.237,0.000,5330.719,0.000,0.000,2868.019,0.000,-0.000,0.000,0.000,0.000,1029.219,0.000,0.000,2962.765,0.000,10493.638,-0.220,4546.427,0.000,-6024.795,461.908,272.989,0.000,0.000,0.000,2985.197,1385.641,0.000,0.000,0,0.000,112.017,514.622,0.000,0.000,0.000,169.202,0.000,-3033.915,-8.374,-250.527,0.000,0.000,-0.000,-81.621,0.000,0.301,411.675,0.000,0.000,0.000
B003,23284.476,5164.000,30984.000,1999.000,49.107,0.000,0.636,-4904.080,0.000,-2279.769,333.614,0.000,0.000,0.000,0.000,0.000,0.000,0,142.568,0.000,0.000,-243.038,275.860,0.368,0.000,6933.342,0,0.000,0.000,305.766,1795.941,0.000,0,45.763,0.000,0.000,0.000,417.093,0.000,37.485,0.000,177.228,0.000,1134.178,0.000,0.000,180.728,5204.171,-0.000,0.000,12137.512,1108.002,-731.731,729.564,0.000,0.000,139.930,6685.193,1.184,0,911.225,0.000,1411.102,0.000,0.000,2279.769,0.000,425.631,1985.117,0,0.000,24.760,382.228,1567.891,262.273,0.000,258.486,111.924,-5.110,-1548.038,0.000,0.000,74.820,119.376,-457.098,0.000,-4405.424,0.000,3563.381,0.000,0.000,1921.309,0.000,-0.000,0.000,0.000,0.000,687.994,0.000,0.000,1985.117,0.000,6933.342,-0.147,3012.607,0.000,-3948.326,279.257,176.469,0.000,0.000,0.000,1995.490,909.673,0.000,0.000,0,0.000,74.345,344.005,0.000,0.000,0.000,95.161,0.000,-2029.261,-4.755,-146.374,0.000,0.000,-0.000,-54.560,0.000,0.202,275.189,0.000,0.000,0.000
B004,83698.313,2025.000,111375.000,7188.000,16.859,0.000,1.178,-18923.983,0.000,-8193.864,1198.990,0.000,0.000,0.000,0.000,0.000,0.000,0,510.920,0.000,0.000,-942.110,1961.940,66.103,0.000,26215.035,0,0.000,0.000,1099.104,6455.685,0.000,0,205.886,0.000,0.000,0.000,1499.010,0.000,9.096,0.000,739.632,0.000,4076.584,0.000,0.000,539.533,19162.917,-0.000,0.000,45377.952,4060.450,-2630.169,2756.593,0.000,0.000,503.160,25270.524,2.167,0,3597.403,0.000,5072.344,0.000,0.000,8193.864,0.000,3348.890,7416.635,0,0.000,8.500,1373.955,5635.938,959.243,0.000,1922.591,402.455,-2.401,-5563.694,0.000,0.000,268.928,504.235,-1642.843,0.000,-17076.661,0.000,12808.921,0.000,0.000,7170.012,0.000,-0.000,0.000,0.000,0.000,2473.060,0.000,0.000,7416.635,0.000,26215.035,-0.529,11075.484,0.000,-15433.818,2772.303,702.367,0.000,0.000,0.000,7172.983,3529.133,0.000,0.000,0,0.000,18.039,1236.560,0.000,0.000,0.000,377.976,0.000,-7291.052,-21.142,-576.588,0.000,0.000,-0.000,-196.122,0.000,36.221,989.194,0.000,0.000,0.000
B005,21828.384,3630.802,29046.419,1874.000,30.345,0.000,0.532,-5074.637,0.000,-2136.665,312.713,0.000,0.000,0.000,0.000,0.000,0.000,0,133.395,0.000,0.000,-252.390,549.020,1.034,0.000,6976.040,0,0.000,0.000,286.645,1683.632,0.000,0,52.259,0.000,0.000,0.000,390.962,0.000,18.074,0.000,192.931,0.000,1063.011,0.000,0.000,152.436,5024.260,-0.000,0.000,12000.300,1065.498,-686.010,733.945,0.000,0.000,131.180,6720.055,1.030,0,949.769,0.000,1322.859,0.000,0.000,2136.665,0.000,957.164,1938.537,0,0.000,15.300,358.325,1469.843,255.219,0.000,537.444,104.925,-3.594,-1450.655,0.000,0.000,70.121,129.043,-428.348,0.000,-4583.390,0.000,3340.546,0.000,0.000,1873.267,0.000,-0.000,0.000,0.000,0.000,644.970,0.000,0.000,1938.537,0.000,6976.040,-0.138,2915.783,0.000,-4155.043,789.754,191.866,0.000,0.000,0.000,1870.702,947.705,0.000,0.000,0,0.000,35.846,322.493,0.000,0.000,0.000,99.764,0.000,-1901.402,-6.224,-167.410,0.000,0.000,-0.000,-51.148,0.000,0.567,257.980,0.000,0.000,0.000
B006,21886.427,3640.457,29123.655,1879.000,30.549,0.000,0.535,-5069.207,0.000,-2141.220,313.308,0.000,0.000,0.000,0.000,0.000,0.000,0,133.724,0.000,0.000,-252.068,545.976,1.037,0.000,6974.333,0,0.000,0.000,287.407,1688.109,0.000,0,52.425,0.000,0.000,0.000,391.706,0.000,18.496,0.000,191.542,0.000,1065.601,0.000,0.000,155.926,5031.707,-0.000,0.000,12006.040,1066.832,-687.730,733.773,0.000,0.000,131.530,6718.619,1.036,0,948.505,0.000,1326.377,0.000,0.000,2141.220,0.000,936.206,1940.354,0,0.000,15.403,359.278,1473.752,255.413,0.000,534.437,105.205,-3.646,-1453.490,0.000,0.000,70.286,129.850,-429.186,0.000,-4577.399,0.000,3349.428,0.000,0.000,1875.130,0.000,-0.000,0.000,0.000,0.000,646.685,0.000,0.000,1940.354,0.000,6974.333,-0.138,2918.739,0.000,-4148.213,768.654,190.476,0.000,0.000,0.000,1875.677,946.432,0.000,0.000,0,0.000,36.684,323.350,0.000,0.000,0.000,100.746,0.000,-1905.126,-6.190,-167.552,0.000,0.000,-0.000,-51.284,0.000,0.568,258.666,0.000,0.000,0.000
B007,92026.020,20409.408,122456.447,7902.000,188.668,0.000,1.845,-19005.206,0.000,-9009.017,1318.178,0.000,0.000,0.000,0.000,0.000,0.000,0,562.165,0.000,0.000,-943.357,1021.886,1.454,0.000,27023.631,0,0.000,0.000,1208.461,7098.004,0.000,0,88.273,0.000,0.000,0.000,1648.022,0.000,130.093,0.000,708.669,0.000,4482.000,0.000,0.000,306.817,20448.219,-0.000,0.000,47471.851,4317.139,-2891.759,2840.670,0.000,0.000,553.140,26064.022,3.068,0,3524.183,0.000,5577.026,0.000,0.000,9009.017,0.000,1717.091,8008.747,0,0.000,95.127,1510.659,6196.695,1010.777,0.000,998.693,442.432,-16.252,-6117.258,0.000,0.000,295.696,224.352,-1806.305,0.000,-17055.005,0.000,14083.366,0.000,0.000,7745.243,0.000,-0.000,0.000,0.000,0.000,2719.121,0.000,0.000,8008.747,0.000,27023.631,-0.581,11693.471,0.000,-15248.701,1361.281,706.261,0.000,0.000,0.000,7886.671,3519.661,0.000,0.000,0,0.000,258.017,1359.594,0.000,0.000,0.000,174.835,0.000,-8018.425,-11.191,-355.811,0.000,0.000,-0.000,-215.636,0.000,0.796,1087.615,0.000,0.000,0.000
B008,32898.183,7236.767,43776.691,2825.000,66.733,0.000,0.817,-6931.002,0.000,-3220.248,471.186,0.000,0.000,0.000,0.000,0.000,0.000,0,201.098,0.000,0.000,-343.835,461.911,0.520,0.000,9797.080,0,0.000,0.000,432.010,2537.450,0.000,0,46.716,0.000,0.000,0.000,589.090,0.000,46.747,0.000,258.402,0.000,1602.217,0.000,0.000,166.429,7352.418,-0.000,0.000,17149.498,1557.783,-1033.776,1030.318,0.000,0.000,197.750,9446.699,1.441,0,1287.467,0.000,1993.719,0.000,0.000,3220.248,0.000,702.189,2850.561,0,0.000,33.373,540.042,2215.243,367.432,0.000,448.572,158.171,-6.546,-2186.472,0.000,0.000,105.696,118.815,-645.618,0.000,-6226.452,0.000,5034.632,0.000,0.000,2757.138,0.000,-0.000,0.000,0.000,0.000,972.053,0.000,0.000,2850.561,0.000,9797.080,-0.208,4226.040,0.000,-5580.834,536.449,257.399,0.000,0.000,0.000,2819.389,1285.507,0.000,0.000,0,0.000,93.475,486.038,0.000,0.000,0.000,93.751,0.000,-2866.078,-5.416,-165.740,0.000,0.000,-0.000,-77.087,0.000,0.285,388.809,0.000,0.000,0.000
B009,32825.520,7280.000,43680.000,2819.000,65.860,0.000,0.814,-7004.895,0.000,-3213.639,470.280,0.000,0.000,0.000,0.000,0.000,0.000,0,200.591,0.000,0.000,-347.844,472.482,0.518,0.000,9865.179,0,0.000,0.000,431.056,2531.846,0.000,0,44.879,0.000,0.000,0.000,587.956,0.000,44.601,0.000,260.393,0.000,1598.646,0.000,0.000,152.536,7363.099,-0.000,0.000,17228.278,1556.169,-1031.561,1037.309,0.000,0.000,197.330,9510.967,1.422,0,1302.277,0.000,1989.315,0.000,0.000,3213.639,0.000,808.406,2873.171,0,0.000,33.207,538.850,2210.350,367.364,0.000,461.695,157.835,-6.368,-2182.078,0.000,0.000,105.466,113.568,-644.320,0.000,-6297.329,0.000,5023.512,0.000,0.000,2777.856,0.000,-0.000,0.000,0.000,0.000,969.906,0.000,0.000,2873.171,0.000,9865.179,-0.207,4225.353,0.000,-5653.009,645.558,259.394,0.000,0.000,0.000,2813.162,1300.337,0.000,0.000,0,0.000,88.459,484.965,0.000,0.000,0.000,88.570,0.000,-2860.285,-5.371,-162.848,0.000,0.000,-0.000,-76.917,0.000,0.284,387.950,0.000,0.000,0.000
B010,24457.651,4068.139,32545.111,2100.000,34.706,0.000,0.577,-5597.535,0.000,-2393.823,350.310,0.000,0.000,0.000,0.000,0.000,0.000,0,149.498,0.000,0.000,-278.265,571.180,1.159,0.000,7727.771,0,0.000,0.000,321.171,1886.429,0.000,0,57.909,0.000,0.000,0.000,437.967,0.000,21.731,0.000,210.221,0.000,1191.280,0.000,0.000,179.775,5602.567,-0.000,0.000,13330.338,1186.895,-768.577,813.042,0.000,0.000,147.000,7445.596,1.105,0,1046.605,0.000,1482.200,0.000,0.000,2393.823,0.000,968.114,2161.386,0,0.000,17.499,401.486,1646.889,283.960,0.000,558.587,117.579,-3.910,-1625.246,0.000,0.000,78.578,144.765,-479.901,0.000,-5051.773,0.000,3742.920,0.000,0.000,2089.076,0.000,-0.000,0.000,0.000,0.000,722.658,0.000,0.000,2161.386,0.000,7727.771,-0.154,3247.368,0.000,-4571.872,784.523,209.052,0.000,0.000,0.000,2096.032,1044.341,0.000,0.000,0,0.000,43.100,361.338,0.000,0.000,0.000,112.622,0.000,-2130.236,-6.690,-183.591,0.000,0.000,-0.000,-57.309,0.000,0.635,289.054,0.000,0.000,0.000
