Name,Af_m2,Aroof_m2,GFA_m2,people0,Q_gain_sen_base0_kW,Qhs_sen_ahu_MWhyr,Eauxf_cs0_kW,Qcsf_aru_MWhyr,Qhsf_aru0_kW,Qcs_lat_sys_MWhyr,Q_gain_lat_peop_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,Qhprof0_kW,Qhsf_lat0_kW,Qhs_sen_ahu0_kW,Qwwf_MWhyr,Q_loss_sen_ref0_kW,Q_gain_sen_vent_MWhyr,Qcsf_scu0_kW,Edataf_MWhyr,Qcs_em_ls_MWhyr,I_sol0_kW,Eauxf_fw_MWhyr,Qhs_lat_aru_MWhyr,Qcsf_MWhyr,Qcdataf0_kW,Qcs_lat_sys0_kW,Qhs_sen_sys0_kW,Eaf0_kW,Q_gain_sen_light_MWhyr,Qcs_sen_scu_MWhyr,Qcref_MWhyr,Q_gain_sen_wind0_kW,Q_gain_sen_data0_kW,Qcs_em_ls0_kW,Edataf0_kW,Q_gain_sen_peop_MWhyr,Qcsf_scu_MWhyr,Q_gain_sen_roof_MWhyr,Qcs_lat_aru0_kW,Eauxf0_kW,Qhsf_ahu0_kW,Qcsf_lat0_kW,Eauxf_hs0_kW,Eprof_MWhyr,Q_gain_sen_wall_MWhyr,Ef_MWhyr,Qcs_lat_ahu0_kW,Qhs_lat_sys0_kW,QEf_MWhyr,Ef0_kW,Qcs_lat_aru_MWhyr,Egenf_cs_MWhyr,Qhsf_shu0_kW,Qhsf_MWhyr,Q_gain_sen_peop0_kW,Qcs_MWhyr,Eauxf_cs_MWhyr,Qcref0_kW,Eauxf_MWhyr,Qcsf_aru0_kW,Q_gain_sen_app_MWhyr,Eauxf_ww_MWhyr,Qwwf0_kW,Qcsf_lat_MWhyr,Qhs_sen_aru0_kW,I_sol_MWhyr,Qcsf0_kW,Qcdataf_MWhyr,Qhs_lat_ahu_MWhyr,Q_gain_sen_roof0_kW,Elf0_kW,Eaf_MWhyr,Egenf_cs0_kW,Eref0_kW,I_sol_and_I_rad0_kW,Q_gain_lat_peop0_kW,Qcs_dis_ls_MWhyr,Qcs_lat_ahu_MWhyr,Ecaf0_kW,QHf0_kW,Q_gain_sen_vent0_kW,Q_gain_sen_wall0_kW,Qcs_sen_ahu_MWhyr,Eauxf_hs_MWhyr,Qcs_sen_sys_MWhyr,Eprof0_kW,Ealf_MWhyr,Ecaf_MWhyr,Qhsf_ahu_MWhyr,Qcs0_kW,Qcs_sen_aru0_kW,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhsf0_kW,Qcs_sen_sys0_kW,Ealf0_kW,Qhs_sen_sys_MWhyr,Qcs_dis_ls0_kW,QCf0_kW,Qhs_dis_ls_MWhyr,QCf_MWhyr,Qww0_kW,QEf0_kW,Qhs_lat_aru0_kW,Qcs_sen_aru_MWhyr,I_sol_and_I_rad_MWhyr,Eauxf_ve0_kW,Qhsf_lat_MWhyr,Qcs_sen_scu0_kW,Eauxf_ww0_kW,Elf_MWhyr,Eauxf_ve_MWhyr,Eref_MWhyr,Qhprof_MWhyr,Q_loss_sen_ref_MWhyr,Qhs_sen_aru_MWhyr,Q_gain_sen_base_MWhyr,Q_gain_sen_light0_kW,Qhs_sen_shu_MWhyr,Qhs_MWhyr,Qhsf_aru_MWhyr,Q_gain_sen_wind_MWhyr,Qhs_sen_shu0_kW,Qcsf_ahu_MWhyr,I_rad0_kW,I_rad_MWhyr,Qhsf_shu_MWhyr,Qhs_em_ls0_kW,Qcsf_ahu0_kW,Qww_MWhyr,Qhs0_kW,Eauxf_fw0_kW,Q_gain_sen_app0_kW,Q_gain_sen_data_MWhyr,QHf_MWhyr,Qhs_em_ls_MWhyr
B001,12630.702,7725.200,23175.600,727.000,115.537,0.000,0.337,-4709.964,0.000,-1048.198,169.494,0.000,0.000,0.000,0.000,0.000,126.864,0,167.194,0.000,0.000,-139.351,388.007,0.000,0.000,4709.964,0,0.000,0.000,150.074,1417.403,0.000,0,75.315,0.000,0.000,0.000,207.767,0.000,51.504,0.000,148.236,0.000,383.867,0.000,0.000,37.762,3850.454,0.000,0.000,8687.281,739.669,-1048.198,682.801,0.000,0.000,50.890,4564.596,0.962,0,737.667,0.000,769.584,0.055,33.966,1048.198,0.000,703.566,953.187,0,0.000,34.149,273.355,855.093,170.004,0.000,380.525,41.516,-6.017,0.000,0.000,33.966,78.567,25.037,0.000,0.000,-3516.398,0.000,2429.986,0.000,0.000,932.151,0.000,0.000,0.000,0.000,0.000,423.429,0.000,0.000,953.187,0.000,4709.964,31.050,1720.444,0.000,-3516.398,579.877,147.890,0.000,0.000,0.022,1574.893,736.650,0.000,0.000,0,0.000,174.256,246.020,0.000,0.000,0.000,164.049,0.000,0.000,-5.175,-123.689,0.000,0.000,0.000,109.607,0.000,0.000,135.066,0.000,126.864,0.000
B002,12630.702,7725.200,23175.600,727.000,116.061,0.000,0.337,-4703.871,0.000,-1048.198,169.494,0.000,0.000,0.000,0.000,0.000,126.864,0,167.200,0.000,0.000,-139.114,386.703,0.000,0.000,4703.871,0,0.000,0.000,150.074,1417.403,0.000,0,75.521,0.000,0.000,0.000,207.767,0.000,51.797,0.000,148.717,0.000,383.867,0.000,0.000,37.977,3848.356,0.000,0.000,8679.091,740.885,-1048.198,681.929,0.000,0.000,50.890,4558.742,0.960,0,736.442,0.000,769.584,0.055,33.966,1048.198,0.000,695.508,952.230,0,0.000,34.304,273.355,855.093,169.828,0.000,378.720,41.516,-6.016,0.000,0.000,33.966,78.567,25.151,0.000,0.000,-3510.544,0.000,2429.986,0.000,0.000,930.786,0.000,0.000,0.000,0.000,0.000,423.429,0.000,0.000,952.230,0.000,4703.871,31.050,1719.082,0.000,-3510.544,571.884,148.370,0.000,0.000,0.022,1574.893,735.426,0.000,0.000,0,0.000,175.248,246.020,0.000,0.000,0.000,164.458,0.000,0.000,-5.161,-123.624,0.000,0.000,0.000,109.607,0.000,0.000,135.066,0.000,126.864,0.000
B003,18386.392,3748.500,33736.500,1058.000,54.937,0.000,0.329,-6933.188,0.000,-1526.085,246.994,0.000,0.000,0.000,0.000,0.000,172.946,0,243.365,0.000,0.000,-205.917,666.151,1.182,0.000,6933.188,0,0.000,0.000,218.461,2063.300,0.000,0,196.597,0.000,0.000,0.000,302.767,0.000,23.242,0.000,220.467,0.000,558.886,0.000,0.000,91.835,5633.663,0.000,0.000,12739.797,1083.004,-1526.085,1005.277,0.000,0.000,74.060,6724.137,0.918,0,1091.079,0.000,1120.276,0.054,47.068,1526.085,0.000,1218.881,1414.958,0,0.000,16.238,397.920,1244.751,250.705,0.000,652.399,60.417,-3.134,0.000,0.000,47.068,114.343,64.159,0.000,0.000,-5198.052,0.000,3537.307,0.000,0.000,1384.881,0.000,0.000,0.000,0.000,0.000,616.381,0.000,0.000,1414.958,0.000,6933.188,45.199,2532.101,0.000,-5198.052,1004.560,219.482,0.000,0.000,0.021,2292.556,1088.925,0.000,0.000,0,0.000,78.636,358.128,0.000,0.000,0.000,419.174,0.000,0.000,-9.150,-214.322,0.000,0.000,0.000,159.554,0.000,0.648,196.615,0.000,172.946,0.000
B004,12975.666,3948.704,23808.562,747.000,54.308,0.000,0.290,-5196.174,0.000,-1076.580,174.086,0.000,0.000,0.000,0.000,0.000,125.941,0,171.554,0.000,0.000,-156.985,745.598,0.209,0.000,5196.174,0,0.000,0.000,154.172,1456.115,0.000,0,132.382,0.000,0.000,0.000,213.396,0.000,19.419,0.000,176.106,0.000,394.362,0.000,0.000,51.239,4079.786,0.000,0.000,9401.902,790.141,-1076.580,753.125,0.000,0.000,52.290,5035.978,0.763,0,830.308,0.000,790.602,0.046,33.764,1076.580,0.000,1202.761,1087.636,0,0.000,15.973,280.821,878.447,183.973,0.000,730.229,42.658,-3.211,0.000,0.000,33.764,80.727,42.146,0.000,0.000,-3959.398,0.000,2496.352,0.000,0.000,1060.231,0.000,0.000,0.000,0.000,0.000,434.993,0.000,0.000,1087.636,0.000,5196.174,31.898,1908.686,0.000,-3959.398,1040.267,175.684,0.000,0.000,0.018,1617.905,829.291,0.000,0.000,0,0.000,66.024,252.739,0.000,0.000,0.000,269.014,0.000,0.000,-6.661,-162.494,0.000,0.000,0.000,112.600,0.000,0.114,138.755,0.000,125.941,0.000
B005,18386.393,3748.500,33736.500,1058.000,51.029,0.000,0.339,-7288.490,0.000,-1526.085,246.994,0.000,0.000,0.000,0.000,0.000,172.944,0,243.073,0.000,0.000,-219.908,1057.837,1.182,0.000,7288.490,0,0.000,0.000,218.461,2063.300,0.000,0,189.135,0.000,0.000,0.000,302.767,0.000,17.510,0.000,243.103,0.000,558.886,0.000,0.000,69.188,5755.317,0.000,0.000,13216.751,1107.636,-1526.085,1055.727,0.000,0.000,74.060,7065.492,0.922,0,1162.284,0.000,1120.276,0.054,47.068,1526.085,0.000,1679.398,1507.458,0,0.000,15.082,397.920,1244.751,255.352,0.000,1036.361,60.417,-3.090,0.000,0.000,47.068,114.343,59.594,0.000,0.000,-5539.407,0.000,3537.307,0.000,0.000,1470.015,0.000,0.000,0.000,0.000,0.000,616.381,0.000,0.000,1507.458,0.000,7288.490,45.199,2658.230,0.000,-5539.407,1460.578,242.096,0.000,0.000,0.021,2292.556,1160.126,0.000,0.000,0,0.000,59.244,358.128,0.000,0.000,0.000,376.465,0.000,0.000,-8.856,-218.820,0.000,0.000,0.000,159.554,0.000,0.648,196.615,0.000,172.944,0.000
B006,8443.140,5164.000,15492.000,486.000,78.069,0.000,0.264,-3102.308,0.000,-700.991,113.607,0.000,0.000,0.000,0.000,0.000,89.666,0,111.757,0.000,0.000,-91.622,242.291,0.000,0.000,3102.308,0,0.000,0.000,100.318,947.480,0.000,0,42.835,0.000,0.000,0.000,139.261,0.000,34.496,0.000,96.713,0.000,256.693,0.000,0.000,21.289,2557.002,0.000,0.000,5748.976,487.640,-700.991,449.045,0.000,0.000,34.020,3005.968,0.773,0,483.605,0.000,514.437,0.044,23.468,700.991,0.000,431.970,621.545,0,0.000,23.075,182.727,571.597,108.152,0.000,234.992,27.753,-4.718,0.000,0.000,23.468,52.525,14.241,0.000,0.000,-2304.977,0.000,1624.352,0.000,0.000,607.491,0.000,0.000,0.000,0.000,0.000,283.046,0.000,0.000,621.545,0.000,3102.308,20.756,1126.683,0.000,-2304.977,356.939,96.442,0.000,0.000,0.017,1052.755,482.787,0.000,0.000,0,0.000,116.710,164.455,0.000,0.000,0.000,92.464,0.000,0.000,-2.873,-75.031,0.000,0.000,0.000,73.268,0.000,0.000,90.287,0.000,89.666,0.000
B007,30901.500,2025.000,56700.000,1777.000,28.798,0.000,0.455,-11046.210,0.000,-2564.362,414.798,0.000,0.000,0.000,0.000,0.000,283.435,0,407.299,0.000,0.000,-325.800,1119.504,11.422,0.000,11046.210,0,0.000,0.000,367.161,3467.732,0.000,0,209.726,0.000,0.000,0.000,508.462,0.000,9.972,0.000,339.908,0.000,939.221,0.000,0.000,77.094,9259.728,0.000,0.000,20589.372,1733.109,-2564.362,1594.939,0.000,0.000,124.390,10718.326,1.123,0,1719.735,0.000,1882.817,0.075,78.345,2564.362,0.000,1757.024,2325.077,0,0.000,8.512,668.774,2092.019,368.984,0.000,1099.154,101.476,-2.084,0.000,0.000,78.345,192.050,65.806,0.000,0.000,-8153.964,0.000,5945.054,0.000,0.000,2248.591,0.000,0.000,0.000,0.000,0.000,1035.935,0.000,0.000,2325.077,0.000,11046.210,75.964,3975.306,0.000,-8153.964,1540.128,333.181,0.000,0.000,0.029,3853.035,1707.114,0.000,0.000,0,0.000,33.738,601.896,0.000,0.000,0.000,407.347,0.000,0.000,-7.908,-216.896,0.000,0.000,0.000,268.157,0.000,6.259,330.445,0.000,283.435,0.000
B008,14126.400,1440.000,25920.000,814.000,20.062,0.000,0.277,-5239.955,0.000,-1172.466,189.786,0.000,0.000,0.000,0.000,0.000,135.491,0,186.378,0.000,0.000,-155.885,617.463,2.951,0.000,5239.955,0,0.000,0.000,167.845,1585.249,0.000,0,113.303,0.000,0.000,0.000,232.640,0.000,6.841,0.000,166.363,0.000,429.411,0.000,0.000,40.903,4297.576,0.000,0.000,9673.022,813.108,-1172.466,757.390,0.000,0.000,56.980,5082.378,0.777,0,822.447,0.000,860.716,0.046,36.506,1172.466,0.000,975.639,1063.272,0,0.000,5.930,305.725,956.351,177.470,0.000,609.377,46.484,-1.692,0.000,0.000,36.506,87.976,35.456,0.000,0.000,-3909.912,0.000,2717.739,0.000,0.000,1028.179,0.000,0.000,0.000,0.000,0.000,473.570,0.000,0.000,1063.272,0.000,5239.955,34.727,1898.570,0.000,-3909.912,853.751,164.454,0.000,0.000,0.018,1761.388,818.673,0.000,0.000,0,0.000,23.144,275.153,0.000,0.000,0.000,220.732,0.000,0.000,-4.627,-121.887,0.000,0.000,0.000,122.586,0.000,1.617,151.060,0.000,135.491,0.000
B009,9417.600,1440.000,17280.000,541.000,20.101,0.000,0.220,-3517.020,0.000,-781.823,126.617,0.000,0.000,0.000,0.000,0.000,93.769,0,124.346,0.000,0.000,-104.731,413.698,1.059,0.000,3517.020,0,0.000,0.000,111.897,1056.833,0.000,0,75.269,0.000,0.000,0.000,155.208,0.000,7.030,0.000,111.703,0.000,286.309,0.000,0.000,28.024,2872.539,0.000,0.000,6483.328,543.923,-781.823,508.535,0.000,0.000,37.870,3410.583,0.634,0,552.178,0.000,573.811,0.036,24.729,781.823,0.000,661.731,707.748,0,0.000,5.941,203.817,637.568,119.787,0.000,406.942,30.894,-1.706,0.000,0.000,24.729,58.472,23.683,0.000,0.000,-2628.760,0.000,1811.826,0.000,0.000,690.540,0.000,0.000,0.000,0.000,0.000,315.713,0.000,0.000,707.748,0.000,3517.020,23.151,1274.327,0.000,-2628.760,577.308,110.889,0.000,0.000,0.014,1174.258,550.448,0.000,0.000,0,0.000,23.785,183.435,0.000,0.000,0.000,148.415,0.000,0.000,-3.232,-84.423,0.000,0.000,0.000,81.724,0.000,0.581,100.707,0.000,93.769,0.000
B010,14126.400,1440.000,25920.000,814.000,20.059,0.000,0.277,-5240.245,0.000,-1172.466,189.786,0.000,0.000,0.000,0.000,0.000,135.491,0,186.377,0.000,0.000,-155.897,617.436,2.951,0.000,5240.245,0,0.000,0.000,167.845,1585.249,0.000,0,113.305,0.000,0.000,0.000,232.640,0.000,6.838,0.000,166.412,0.000,429.411,0.000,0.000,40.888,4297.674,0.000,0.000,9673.410,813.196,-1172.466,757.430,0.000,0.000,56.980,5082.656,0.777,0,822.506,0.000,860.716,0.046,36.506,1172.466,0.000,975.993,1063.323,0,0.000,5.929,305.725,956.351,177.476,0.000,607.709,46.484,-1.692,0.000,0.000,36.506,87.976,35.451,0.000,0.000,-3910.190,0.000,2717.739,0.000,0.000,1028.227,0.000,0.000,0.000,0.000,0.000,473.570,0.000,0.000,1063.323,0.000,5240.245,34.727,1898.897,0.000,-3910.190,854.103,164.503,0.000,0.000,0.018,1761.388,818.731,0.000,0.000,0,0.000,23.135,275.153,0.000,0.000,0.000,220.702,0.000,0.000,-4.628,-121.890,0.000,0.000,0.000,122.586,0.000,1.617,151.060,0.000,135.491,0.000
